Country	Exports (2010)	Exports (2019)	ID
Afghanistan	2566	1509	Q889
Albania	3324	4815	Q222
Algeria	60588	37572	Q262
Angola	51452	35180	Q916
Antigua and Barbuda	524	1152	Q781
Argentina	81123	79339	Q414
Armenia	2211	5274	Q399
Aruba	1825	2542	Q21203
Australia	260249	342651	Q408
Austria	197755	246776	Q40
Azerbaijan	28235	23630	Q227
Bahamas, The	3196	4379	Q778
Bahrain	17880	30097	Q398
Bangladesh	21654	45188	Q902
Belarus	29339	41931	Q184
Belgium	369295	431902	Q31
Belize	830	1077	Q242
Benin	1660	3848	Q962
Bermuda	1416	1578	Q23635
Bhutan	590	745	Q917
Bolivia	6837	10271	Q750
Bosnia and Herzegovina	5094	8074	Q225
Botswana	5273	7341	Q963
Brazil	231996	259792	Q155
Brunei Darussalam	9262	7828	Q921
Bulgaria	25304	43168	Q219
Burkina Faso	1891	4511	Q965
Burundi	181	285	Q967
Cabo Verde	630	1008	Q1011
Cambodia	5931	21073	Q424
Cameroon	5613	7301	Q1009
Canada	469288	548717	Q16
Chile	81956	85725	Q298
China	1603944	2643377	Q148
Hong Kong SAR, China	469442	648982	Q8646
Macao SAR, China	24690	45582	Q14773
Colombia	45883	52362	Q739
Comoros	88	152	Q970
Congo, Dem. Rep.	8867	16082	Q974
Costa Rica	12514	21126	Q800
Cote d'Ivoire	12606	13043	Q1008
Croatia	21500	31073	Q224
Curacao	2102	1921	Q25279
Cyprus	12939	17182	Q229
Czech Republic	137030	186049	Q213
Denmark	162707	194853	Q35
Djibouti	421	4562	Q977
Dominica	174	162	Q784
Dominican Republic	12271	20564	Q786
Ecuador	19609	26059	Q736
Egypt, Arab Rep.	48831	53523	Q79
El Salvador	4971	7983	Q792
Estonia	14647	22820	Q191
Eswatini	2063	2070	Q1050
Ethiopia	4644	7624	Q115
Fiji	1807	2644	Q712
Finland	95827	107421	Q33
France	709353	882761	Q142
Gambia, The	271	348	Q1005
Georgia	4034	9545	Q230
Germany	1443338	1810933	Q183
Ghana	9437	22515	Q117
Greece	59905	81184	Q41
Grenada	184	650	Q769
Guatemala	9600	13582	Q774
Guinea	1534	4082	Q1006
Guinea-Bissau	171	380	Q1007
Guyana	1133	1597	Q734
Haiti	1016	1778	Q790
Honduras	4939	7370	Q783
Hungary	107223	134146	Q28
Iceland	7137	10955	Q189
India	348035	545706	Q668
Indonesia	166636	200100	Q252
Iraq	54594	88903	Q796
Ireland	207840	492706	Q27
Israel	81456	114221	Q801
Italy	535849	632619	Q38
Jamaica	4004	5806	Q766
Japan	869990	904883	Q17
Jordan	12752	15053	Q810
Kazakhstan	65511	65596	Q232
Kenya	8983	10440	Q114
Kiribati	19	19	Q710
Korea, Rep.	546783	669594	Q884
Kosovo	1152	2313	Q1246
Kuwait	76140	85199	Q817
Kyrgyz Republic	2202	2734	Q813
Lao PDR	2257	6216	Q819
Latvia	12853	20434	Q211
Lebanon	20729	19140	Q822
Lesotho	924	1045	Q1013
Liberia	325	527	Q1014
Libya	49345	29964	Q1016
Lithuania	23727	42326	Q37
Luxembourg	82201	133595	Q32
Madagascar	2118	4346	Q1019
Malawi	1223	1118	Q1020
Malaysia	222012	246469	Q833
Maldives	2007	3693	Q826
Mali	2436	4184	Q912
Malta	13392	20809	Q233
Marshall Islands	55	129	Q709
Mauritania	2786	2062	Q1025
Mauritius	4957	5551	Q1027
Mexico	314349	491674	Q96
Moldova	1953	3651	Q217
Mongolia	3394	8416	Q711
Montenegro	1497	2416	Q236
Morocco	27045	44032	Q1028
Mozambique	2578	5975	Q1029
Myanmar	7704	15765	Q836
Namibia	4597	4524	Q1030
Nepal	1572	2678	Q837
Netherlands	602372	750172	Q55
New Zealand	43295	56779	Q664
Nicaragua	3545	5512	Q811
Niger	1271	1450	Q1032
Nigeria	82699	67908	Q1033
North Macedonia	3606	7777	Q221
Norway	170572	147268	Q20
Oman	38408	46186	Q842
Pakistan	28056	30566	Q843
Palau	96	143	Q695
Panama	20558	28312	Q804
Papua New Guinea	6058	10597	Q691
Paraguay	11089	13267	Q733
Peru	39076	56119	Q419
Philippines	54554	94356	Q928
Poland	191942	329839	Q36
Portugal	72003	104620	Q45
Qatar	121838	92015	Q846
Romania	53728	100900	Q218
Russian Federation	441833	481493	Q159
Rwanda	684	2043	Q1037
Samoa	195	306	Q683
Sao Tome and Principe	24	98	Q1039
Saudi Arabia	261831	285712	Q851
Senegal	3216	5287	Q1041
Serbia	12594	26183	Q403
Seychelles	841	1634	Q1042
Sierra Leone	417	755	Q1044
Singapore	474817	645612	Q334
Sint Maarten (Dutch part)	1027	810	Q26273
Slovak Republic	68029	99209	Q214
Slovenia	30923	45387	Q215
Solomon Islands	316	588	Q685
South Africa	107735	104846	Q258
Spain	368536	486053	Q29
Sri Lanka	11100	20264	Q854
St. Kitts and Nevis	208	605	Q763
St. Lucia	609	1217	Q760
St. Vincent and the Grenadines	183	316	Q757
Sudan	11646	4996	Q1049
Suriname	2326	2340	Q730
Sweden	220277	249702	Q34
Switzerland	372128	458921	Q39
Tajikistan	842	1243	Q863
Tanzania	6370	8394	Q924
Thailand	227243	324991	Q869
Timor-Leste	95	117	Q574
Togo	1298	1703	Q945
Tonga	45	112	Q678
Trinidad and Tobago	12094	11333	Q754
Tunisia	22125	19418	Q948
Turkey	157441	247180	Q43
Uganda	3468	6125	Q1036
Ukraine	65626	63421	Q212
United Kingdom	700322	891875	Q145
United States	1853035	2498032	Q30
Uruguay	10719	16008	Q77
Vanuatu	325	517	Q686
Vietnam	79697	258488	Q881
West Bank and Gaza	1367	2903	Q407199
Zambia	8054	8242	Q953
Zimbabwe	3569	4715	Q954
