Country	Imports (2010)	Imports (2019)	ID
Afghanistan	5771	7371	Q889
Albania	5781	6907	Q222
Algeria	50645	60128	Q262
Angola	35421	22299	Q916
Antigua and Barbuda	679	1115	Q781
Argentina	68779	66294	Q414
Armenia	4537	7246	Q399
Aruba	2074	2244	Q21203
Australia	254064	295615	Q408
Austria	185621	230889	Q40
Azerbaijan	10236	17712	Q227
Bahamas, The	3773	5134	Q778
Bahrain	13095	27187	Q398
Bangladesh	29471	64420	Q902
Belarus	36821	42224	Q184
Belgium	364144	431753	Q31
Belize	810	1128	Q242
Benin	2292	4669	Q962
Bermuda	2001	2121	Q23635
Bhutan	935	1257	Q917
Bolivia	6156	11976	Q750
Bosnia and Herzegovina	8794	11130	Q225
Botswana	6634	7312	Q963
Brazil	243661	254149	Q155
Brunei Darussalam	3837	6806	Q921
Bulgaria	26931	40849	Q219
Burkina Faso	2559	5167	Q965
Burundi	607	905	Q967
Cabo Verde	1113	1294	Q1011
Cambodia	7606	25447	Q424
Cameroon	6378	8423	Q1009
Canada	500163	577377	Q16
Chile	67820	85052	Q298
China	1380920	2479255	Q148
Hong Kong SAR, China	456007	642488	Q8646
Macao SAR, China	9183	18321	Q14773
Colombia	48047	64529	Q739
Comoros	272	351	Q970
Congo, Dem. Rep.	10705	17774	Q974
Costa Rica	12930	19593	Q800
Cote d'Ivoire	10786	12934	Q1008
Croatia	22641	31390	Q224
Curacao	2923	2826	Q25279
Cyprus	15101	17224	Q229
Czech Republic	130837	171036	Q213
Denmark	140364	171167	Q35
Djibouti	493	4189	Q977
Dominica	265	431	Q784
Dominican Republic	17797	24181	Q786
Ecuador	22636	25771	Q736
Egypt, Arab Rep.	59862	78951	Q79
El Salvador	8595	12873	Q792
Estonia	13401	21541	Q191
Eswatini	2625	1926	Q1050
Ethiopia	9915	19929	Q115
Fiji	2007	3208	Q712
Finland	92734	106135	Q33
France	752868	910260	Q142
Gambia, The	323	621	Q1005
Georgia	6114	11114	Q230
Germany	1263115	1585975	Q183
Ghana	13925	23220	Q117
Greece	80156	83192	Q41
Grenada	380	645	Q769
Guatemala	14347	21601	Q774
Guinea	1800	4187	Q1006
Guinea-Bissau	299	459	Q1007
Guyana	1763	3038	Q734
Haiti	4287	5671	Q790
Honduras	7775	11526	Q783
Hungary	100281	128184	Q28
Iceland	5784	9815	Q189
India	439059	616082	Q668
Indonesia	145424	204343	Q252
Iraq	47192	72381	Q796
Ireland	169386	436478	Q27
Israel	76941	107072	Q801
Italy	575128	571180	Q38
Jamaica	6454	7950	Q766
Japan	791793	900305	Q17
Jordan	18241	22762	Q810
