Country	Expenditure % (2010)	Expenditure % (2018)	ID
Afghanistan	0	1	Q889
Albania	5	5	Q222
Angola	1	3	Q916
Armenia	20	15	Q399
Australia	9	8	Q408
Austria	6	5	Q40
Azerbaijan	36	32	Q227
Bahamas, The	5	11	Q778
Bangladesh	9	7	Q902
Barbados	2	2	Q244
Belarus	7	3	Q184
Belgium	3	2	Q31
Bhutan	10	30	Q917
Bosnia and Herzegovina	5	8	Q225
Brazil	2	2	Q155
Bulgaria	4	5	Q219
Burkina Faso	21	8	Q965
Cabo Verde	4	3	Q1011
Cambodia	7	8	Q424
Cameroon	8	0	Q1009
Canada	5	5	Q16
Central African Republic	0	24	Q929
Chile	23	32	Q298
Macao SAR, China	36	21	Q14773
Colombia	18	8	Q739
Congo, Rep.	13	13	Q971
Costa Rica	12	13	Q800
Cote d'Ivoire	15	8	Q1008
Croatia	4	3	Q224
Cyprus	5	5	Q229
Czech Republic	7	7	Q213
Denmark	4	4	Q35
Dominican Republic	5	11	Q786
Egypt, Arab Rep.	8	7	Q79
El Salvador	12	14	Q792
Estonia	10	9	Q191
Ethiopia	0	12	Q115
Fiji	7	8	Q712
Finland	5	5	Q33
France	3	3	Q142
Gabon	3	2	Q1000
Georgia	11	12	Q230
Germany	8	4	Q183
Ghana	12	5	Q117
Greece	5	6	Q41
Guatemala	12	6	Q774
Honduras	20	26	Q783
Hungary	9	14	Q28
Iceland	18	11	Q189
India	1	0	Q668
Indonesia	2	11	Q252
Ireland	1	3	Q27
Israel	10	10	Q801
Italy	3	3	Q38
Japan	12	10	Q17
Jordan	2	4	Q810
Kazakhstan	2	2	Q232
Kiribati	2	7	Q710
Korea, Rep.	15	8	Q884
Kuwait	19	19	Q817
Latvia	18	13	Q211
Lebanon	2	2	Q822
Lesotho	13	5	Q1013
Lithuania	5	7	Q37
Luxembourg	3	4	Q32
Madagascar	4	1	Q1019
Malawi	1	0	Q1020
Malaysia	1	0	Q833
Mali	15	3	Q912
Malta	5	5	Q233
Marshall Islands	9	13	Q709
Mauritius	10	11	Q1027
Mexico	8	4	Q96
Micronesia, Fed. Sts.	11	21	Q702
Moldova	5	2	Q217
Mongolia	7	1	Q711
Morocco	15	7	Q1028
Mozambique	6	1	Q1029
Myanmar	17	2	Q836
Namibia	0	0	Q1030
Nepal	1	0	Q837
Netherlands	5	6	Q55
New Zealand	13	13	Q664
Nicaragua	5	7	Q811
North Macedonia	4	2	Q221
Norway	8	10	Q20
Palau	33	23	Q695
Paraguay	8	5	Q733
Peru	8	8	Q419
Philippines	3	1	Q928
Poland	4	4	Q36
Portugal	4	4	Q45
Romania	4	4	Q218
Russian Federation	9	7	Q159
Samoa	5	4	Q683
San Marino	8	6	Q238
Saudi Arabia	13	17	Q851
Seychelles	9	4	Q1042
Slovak Republic	6	6	Q214
Slovenia	4	4	Q215
Solomon Islands	5	1	Q685
South Africa	3	3	Q258
Spain	8	8	Q29
Sweden	12	11	Q34
Switzerland	9	10	Q39
Tanzania	2	2	Q924
Thailand	0	5	Q869
Timor-Leste	21	15	Q574
Togo	4	5	Q945
Tonga	3	6	Q678
Trinidad and Tobago	8	2	Q754
Turkey	7	14	Q43
Ukraine	4	2	Q212
United Arab Emirates	18	6	Q878
United Kingdom	10	9	Q145
United States	8	6	Q30
Uruguay	10	9	Q77
Vanuatu	2	4	Q686
West Bank and Gaza	11	2	Q407199
Zambia	1	1	Q953
Zimbabwe	2	2	Q954
