Country	Expenditure % (2010)	Expenditure % (2018)	ID
Afghanistan	2	10	Q889
Albania	45	53	Q222
Angola	30	11	Q916
Armenia	39	40	Q399
Australia	69	67	Q408
Austria	71	74	Q40
Azerbaijan	35	36	Q227
Bahamas, The	21	22	Q778
Bangladesh	36	34	Q902
Barbados	40	38	Q244
Belarus	69	62	Q184
Belgium	81	84	Q31
Bhutan	4	10	Q917
Bosnia and Herzegovina	42	46	Q225
Brazil	58	59	Q155
Bulgaria	46	46	Q219
Burkina Faso	12	18	Q965
Cabo Verde	31	33	Q1011
Cambodia	24	22	Q424
Cameroon	25	19	Q1009
Canada	67	71	Q16
Chile	46	34	Q298
Macao SAR, China	22	32	Q14773
Colombia	42	55	Q739
Congo, Rep.	14	35	Q971
Costa Rica	21	22	Q800
Cote d'Ivoire	11	39	Q1008
Croatia	41	42	Q224
Cyprus	34	33	Q229
Czech Republic	46	49	Q213
Denmark	16	14	Q35
Dominican Republic	26	15	Q786
Egypt, Arab Rep.	42	37	Q79
El Salvador	22	18	Q792
Equatorial Guinea	37	10	Q983
Estonia	62	63	Q191
Ethiopia	60	53	Q115
Fiji	25	35	Q712
Finland	50	54	Q33
France	51	56	Q142
Gabon	32	15	Q1000
Georgia	51	55	Q230
Germany	78	83	Q183
Ghana	34	20	Q117
Greece	41	45	Q41
Guatemala	32	36	Q774
Honduras	7	2	Q783
Hungary	60	46	Q28
Iceland	35	41	Q189
India	37	42	Q668
Indonesia	63	49	Q252
Ireland	28	40	Q27
Israel	37	41	Q801
Italy	45	48	Q38
Japan	68	69	Q17
Jordan	29	29	Q810
Kazakhstan	67	67	Q232
Kiribati	14	26	Q710
Korea, Rep.	58	67	Q884
Kuwait	28	17	Q817
Latvia	52	56	Q211
Lebanon	34	38	Q822
Lesotho	24	23	Q1013
Lithuania	39	42	Q37
Luxembourg	55	54	Q32
Madagascar	17	30	Q1019
Malawi	32	19	Q1020
Malaysia	42	36	Q833
Mali	16	22	Q912
Malta	33	31	Q233
Marshall Islands	16	20	Q709
Mauritius	31	34	Q1027
Mexico	61	64	Q96
Micronesia, Fed. Sts.	6	1	Q702
Moldova	59	64	Q217
Mongolia	42	55	Q711
Morocco	26	27	Q1028
Mozambique	19	14	Q1029
Myanmar	15	20	Q836
Namibia	32	30	Q1030
Nepal	56	64	Q837
Netherlands	78	78	Q55
New Zealand	47	47	Q664
Nicaragua	37	32	Q811
North Macedonia	65	73	Q221
Norway	65	65	Q20
Palau	10	16	Q695
Paraguay	22	25	Q733
Peru	47	46	Q419
Philippines	23	27	Q928
Poland	44	44	Q36
Portugal	43	45	Q45
Romania	39	33	Q218
Russian Federation	61	69	Q159
Samoa	8	4	Q683
San Marino	34	45	Q238
Saudi Arabia	7	8	Q851
Seychelles	16	23	Q1042
Singapore	0	22	Q334
Slovak Republic	51	49	Q214
Slovenia	49	47	Q215
Solomon Islands	6	8	Q685
South Africa	62	60	Q258
Spain	69	67	Q29
Sri Lanka	20	29	Q854
St. Kitts and Nevis	11	26	Q763
St. Lucia	20	24	Q760
St. Vincent and the Grenadines	28	23	Q757
Sudan	48	25	Q1049
Sweden	71	73	Q34
Switzerland	75	75	Q39
Tanzania	58	54	Q924
Thailand	18	31	Q869
Timor-Leste	15	19	Q574
Togo	31	12	Q945
Tonga	8	9	Q678
Trinidad and Tobago	42	38	Q754
Turkey	48	46	Q43
Ukraine	69	60	Q212
United Arab Emirates	21	21	Q878
United Kingdom	57	55	Q145
United States	63	65	Q30
Uruguay	46	46	Q77
Vanuatu	13	14	Q686
West Bank and Gaza	17	22	Q407199
Zambia	19	12	Q953
Zimbabwe	6	44	Q954
