Country	Revenue % (2010)	Revenue % (2018)	ID
Afghanistan	0	1	Q889
Albania	17	21	Q222
Angola	3	5	Q916
Argentina	28	34	Q414
Armenia	13	1	Q399
Austria	32	34	Q40
Azerbaijan	6	7	Q227
Barbados	0	0	Q244
Belarus	37	31	Q184
Belgium	36	35	Q31
Belize	0	0	Q242
Bhutan	0	0	Q917
Bosnia and Herzegovina	39	39	Q225
Brazil	32	32	Q155
Bulgaria	22	25	Q219
Cabo Verde	12	18	Q1011
Cameroon	1	1	Q1009
Canada	23	21	Q16
Chile	6	7	Q298
Macao SAR, China	0	0	Q14773
Colombia	12	16	Q739
Costa Rica	35	34	Q800
Croatia	33	30	Q224
Cyprus	22	23	Q229
Czech Republic	46	47	Q213
Denmark	3	2	Q35
Dominican Republic	3	1	Q786
El Salvador	12	10	Q792
Estonia	34	32	Q191
Finland	34	32	Q33
France	42	40	Q142
Gabon	1	2	Q1000
Germany	56	56	Q183
Ghana	1	1	Q117
Greece	33	31	Q41
Guatemala	3	3	Q774
Honduras	13	13	Q783
Hungary	30	30	Q28
Iceland	10	9	Q189
India	0	0	Q668
Ireland	18	17	Q27
Israel	18	17	Q801
Italy	34	33	Q38
Japan	1	1	Q17
Jordan	0	0	Q810
Kazakhstan	3	3	Q232
Korea, Rep.	16	26	Q884
Latvia	30	30	Q211
Lebanon	1	1	Q822
Lithuania	36	39	Q37
Luxembourg	30	29	Q32
Malta	18	16	Q233
Mauritius	7	4	Q1027
Mexico	11	11	Q96
Moldova	30	32	Q217
Mongolia	13	19	Q711
Mozambique	1	3	Q1029
Myanmar	0	1	Q836
Netherlands	35	36	Q55
New Zealand	4	2	Q664
North Macedonia	30	28	Q221
Norway	20	21	Q20
Paraguay	17	22	Q733
Peru	9	12	Q419
Poland	37	40	Q36
Portugal	32	30	Q45
Romania	31	38	Q218
Russian Federation	20	22	Q159
Samoa	2	2	Q683
San Marino	32	32	Q238
Slovak Republic	37	39	Q214
Slovenia	41	40	Q215
South Africa	2	2	Q258
Spain	7	5	Q29
Sri Lanka	1	1	Q854
Sweden	9	9	Q34
Switzerland	36	37	Q39
Thailand	6	5	Q869
Trinidad and Tobago	6	9	Q754
Turkey	28	25	Q43
Ukraine	36	20	Q212
United Arab Emirates	7	7	Q878
United Kingdom	22	22	Q145
United States	39	38	Q30
Uruguay	30	31	Q77
Uzbekistan	19	21	Q265
Zimbabwe	0	3	Q954
