Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)	ID
Albania	3.6	3.9	Q222
Algeria	1.9	3.3	Q262
Andorra	3.4	0.5	Q228
Angola	2.1	6.1	Q916
Antigua and Barbuda	3.7	1.8	Q781
Argentina	4.1	2.9	Q414
Armenia	-1.9	5.5	Q399
Aruba	4.7	0.2	Q21203
Australia	3.6	2.9	Q408
Austria	2.5	1.4	Q40
Azerbaijan	-6.3	8.7	Q227
Bahamas, The	2.6	0.4	Q778
Bahrain	5	4.6	Q398
Bangladesh	4.7	6.2	Q902
Barbados	1.7	0.4	Q244
Belarus	-1.6	4.6	Q184
Belgium	2.2	1.5	Q31
Belize	4.6	2.6	Q242
Benin	4.6	4.2	Q962
Bermuda	2.9	0.5	Q23635
Bhutan	5.2	7.5	Q917
Bolivia	4	4.6	Q750
Bosnia and Herzegovina	28.5	2.9	Q225
Botswana	5	4.4	Q963
Brazil	2.8	2.6	Q155
Brunei Darussalam	2.1	0.5	Q921
Bulgaria	-1.9	3.2	Q219
Burkina Faso	5.5	5.8	Q965
Burundi	-2.9	3	Q967
Cabo Verde	12.1	4.3	Q1011
Cambodia	3	7.4	Q424
Cameroon	1.6	4.2	Q1009
Canada	2.8	2.5	Q16
Central African Republic	1.8	0.3	Q929
Chad	2.2	6.4	Q657
Chile	6.4	3.9	Q298
China	10.6	9.4	Q148
Hong Kong SAR, China	3.6	3.6	Q8646
Macao SAR, China	2.2	8.1	Q14773
Colombia	3	4.2	Q739
Comoros	1.6	2.9	Q970
Congo, Dem. Rep.	-4.9	5.9	Q974
Congo, Rep.	1	3.8	Q971
Costa Rica	4.9	4.1	Q800
Cote d'Ivoire	3.1	3.8	Q1008
Croatia	3.1	1.2	Q224
Cuba	-0.7	4.2	Q241
Cyprus	4.6	1.7	Q229
Czech Republic	1.4	2.5	Q213
Denmark	2.8	1.1	Q35
Dominica	2.1	1.5	Q784
Dominican Republic	6.2	5.1	Q786
Ecuador	2.2	3.8	Q736
Egypt, Arab Rep.	4.6	4.3	Q79
El Salvador	3.5	2.1	Q792
Equatorial Guinea	36.7	5.6	Q983
Eritrea	6.5	0.5	Q986
Estonia	5.3	2.8	Q191
Eswatini	3.2	3.2	Q1050
Ethiopia	3.8	9.7	Q115
Fiji	2.7	2.4	Q712
Finland	2.9	1.1	Q33
France	2	1.1	Q142
Gabon	2.3	2.8	Q1000
Gambia, The	3	2.6	Q1005
Georgia	-7.1	5.5	Q230
Germany	1.6	1.3	Q183
Ghana	4.3	6.5	Q117
Greece	2.4	-0.9	Q41
Greenland	1.9	2.4	Q223
Grenada	3.5	2.2	Q769
Guatemala	4.2	3.5	Q774
Guinea	4.2	4.3	Q1006
Guinea-Bissau	0.6	3.4	Q1007
Guyana	5.4	3.5	Q734
Haiti	0.1	1.6	Q790
Honduras	3.4	3.9	Q783
Hungary	1.9	1.8	Q28
Iceland	3	2.7	Q189
India	6	6.8	Q668
Indonesia	3.9	5.5	Q252
Iran, Islamic Rep.	2.3	3	Q794
Iraq	10.3	5.6	Q796
Ireland	7.3	3.8	Q27
Isle of Man	6.4	4.5	Q9676
Israel	5.5	3.5	Q801
Italy	1.6	-0.1	Q38
Jamaica	1.6	0.5	Q766
Japan	1.2	0.7	Q17
Jordan	5	4.6	Q810
Kazakhstan	-4.1	6	Q232
Kenya	2.2	5.1	Q114
Kiribati	1.7	2	Q710
Korea, Rep.	6.8	3.8	Q884
Kuwait	4.9	3.4	Q817
Kyrgyz Republic	-4.1	4.4	Q813
Lao PDR	6.4	7.5	Q819
Latvia	5.5	2.8	Q211
Lebanon	8.4	4.1	Q822
Lesotho	4.1	3.5	Q1013
Lithuania	4.8	3.4	Q37
Luxembourg	4.3	2.7	Q32
Madagascar	2	3	Q1019
Malawi	3.7	5	Q1020
Malaysia	7	5	Q833
Maldives	6.9	5.5	Q826
Mali	4	4.5	Q912
Malta	5.2	3.7	Q233
Marshall Islands	0.5	1	Q709
Mauritania	2.4	3.9	Q1025
Mauritius	5.1	4	Q1027
Mexico	3.2	2.1	Q96
Micronesia, Fed. Sts.	1.8	0.1	Q702
Moldova	-2.7	4.3	Q217
Monaco	1.9	3.1	Q235
Mongolia	1	7.7	Q711
Morocco	3	4.2	Q1028
Mozambique	6.9	6.9	Q1029
Myanmar	7	9.5	Q836
Namibia	3.3	4.2	Q1030
Nepal	4.9	4.3	Q837
Netherlands	3.3	1.2	Q55
New Zealand	3.4	2.5	Q664
Nicaragua	3.7	3.6	Q811
Niger	2	5.3	Q1032
Nigeria	1.4	5.8	Q1033
North Macedonia	-0.8	3	Q221
Norway	3.9	1.5	Q20
Oman	4.5	3.8	Q842
Pakistan	3.8	4.2	Q843
Panama	4.9	6.8	Q804
Papua New Guinea	3.8	5.1	Q691
Paraguay	3	4.2	Q733
Peru	4.5	5.4	Q419
Philippines	3.3	5.5	Q928
Poland	4.6	3.9	Q36
Portugal	2.8	0.3	Q45
Puerto Rico	4.3	-0.5	Q1183
Romania	-0.2	3.6	Q218
Russian Federation	-4.7	3.2	Q159
Rwanda	-0.4	7.6	Q1037
Samoa	2.6	1.7	Q683
Saudi Arabia	1.7	3.9	Q851
Senegal	3	4.4	Q1041
Serbia	1.9	2.9	Q403
Seychelles	4.4	3.8	Q1042
Sierra Leone	-3	5.7	Q1044
Singapore	7.1	5.5	Q334
Slovak Republic	4.5	3.8	Q214
Slovenia	2.7	1.8	Q215
Solomon Islands	3.4	4.4	Q685
South Africa	2.1	2.7	Q258
Spain	2.7	1.2	Q29
Sri Lanka	5.3	5.7	Q854
St. Kitts and Nevis	4.7	1.9	Q763
St. Lucia	2.4	1.8	Q760
St. Vincent and the Grenadines	3.3	1.8	Q757
Sudan	5.5	4.5	Q1049
Suriname	0.9	3.1	Q730
Sweden	2.3	2.1	Q34
Switzerland	1.2	1.9	Q39
Tajikistan	-10.4	7.3	Q863
Tanzania	3	6.4	Q924
Thailand	4.1	3.8	Q869
Togo	3.5	4	Q945
Tonga	2.6	1.3	Q678
Trinidad and Tobago	5.6	2.6	Q754
Tunisia	4.7	3.1	Q948
Turkey	3.9	5.3	Q43
Turkmenistan	-3.2	9.3	Q874
Tuvalu	3.2	2	Q672
Uganda	7	6.5	Q1036
Ukraine	-9.3	1.3	Q212
United Arab Emirates	4.8	3.9	Q878
United Kingdom	2.7	1.5	Q145
United States	3.6	1.8	Q30
Uruguay	3.9	3.9	Q77
Uzbekistan	-0.2	7.2	Q265
Vanuatu	3.4	3.1	Q686
Venezuela, RB	1.6	3.9	Q717
Vietnam	7.9	6.4	Q881
West Bank and Gaza	7.5	5.2	Q407199
Yemen, Rep.	5.6	-0.4	Q805
Zambia	1.6	6.5	Q953
Zimbabwe	2.5	1.5	Q954
