Country	Preprimary	Primary	Secondary	Tertiary	ID
Albania	80.5	107	95.4	55	Q222
Argentina	76.1	109.7	108.7	90	Q414
Armenia	38	92.7	83.2	54.6	Q399
Australia	164.6	100.3	150.3	113.1	Q408
Austria	104.4	103.1	100.5	85.1	Q40
Azerbaijan	39.7	99.7	94.5	27.7	Q227
Bahrain	53.7	99.4	98.6	50.5	Q398
Bangladesh	40.8	116.5	72.7	20.6	Q902
Belarus	98.9	100.5	102.4	87.4	Q184
Belgium	115.1	103.9	158.5	79.7	Q31
Belize	47.4	111.7	85.4	24.7	Q242
Benin	25.5	122	59	12.3	Q962
Bhutan	34.4	100.1	90.1	15.6	Q917
Brazil	96.3	115.4	100.8	51.3	Q155
Brunei Darussalam	64.8	103.2	93.5	31.4	Q921
Bulgaria	77	89.3	98.2	71	Q219
Burkina Faso	4.4	96.1	40.7	6.5	Q965
Burundi	15.4	121.4	48.5	6.1	Q967
Cabo Verde	73.2	104	88.2	23.6	Q1011
Cameroon	34.5	103.4	60.1	12.8	Q1009
Chile	81.8	101.4	101.8	88.5	Q298
Hong Kong SAR, China	106.4	108.6	107.5	76.9	Q8646
Macao SAR, China	95.6	100.4	101	90.7	Q14773
Costa Rica	97.9	113.3	132.8	55.2	Q800
Cote d'Ivoire	8.2	99.8	51	9.3	Q1008
Croatia	70	96.5	99.4	67.9	Q224
Cuba	98.2	101.9	101.1	41.4	Q241
Cyprus	83.7	99.3	100.3	75.9	Q229
Czech Republic	106.4	100.7	103.5	64.1	Q213
Denmark	95.9	101.3	129.1	80.6	Q35
Dominican Republic	51.4	105.7	79.9	59.9	Q786
Egypt, Arab Rep.	28.7	106.3	87.9	35.2	Q79
El Salvador	66.7	94.8	71.7	29.4	Q792
Eritrea	23.3	68.4	47.7	3.4	Q986
Estonia	92.4	97.2	117.5	69.6	Q191
Finland	83.6	100.2	154	88.2	Q33
France	106	102.5	103.8	65.6	Q142
Germany	109.1	104	98.4	70.2	Q183
Ghana	114.5	103.6	71.3	15.7	Q117
Greece	74.4	99.6	104.5	136.6	Q41
Grenada	100.5	106.9	120.1	104.6	Q769
Honduras	41.1	91.5	52.2	26.2	Q783
Hungary	82.3	100.8	103.5	48.5	Q28
Iceland	94.1	100.4	117.5	71.8	Q189
India	13.7	113	75.2	28.1	Q668
Indonesia	62.3	106.4	88.9	36.3	Q252
Iran, Islamic Rep.	53.9	110.7	86.3	68.1	Q794
Ireland	163.4	100.9	125.3	77.8	Q27
Israel	110.8	104.9	105.1	63.4	Q801
Italy	94	101.9	101.3	61.9	Q38
Jordan	27.1	81.5	63.1	34.4	Q810
Kazakhstan	62.5	105.8	114.2	54	Q232
Korea, Rep.	95	98.1	100.3	94.3	Q884
Kyrgyz Republic	39.8	107.6	95.1	41.3	Q813
Lao PDR	46.7	102.4	67.4	15	Q819
Latvia	95.6	99.4	110.7	88.1	Q211
Lesotho	38.9	120.9	62	10.2	Q1013
Liechtenstein	103.1	104.7	117.1	35.6	Q347
Lithuania	88.2	103.9	108.4	72.4	Q37
Luxembourg	91.9	102.3	103.7	19.2	Q32
Madagascar	39.6	142.5	36.5	5.4	Q1019
Malaysia	99.2	105.3	82	45.1	Q833
Mali	7	75.6	41	4.5	Q912
Malta	107.7	105	104.8	54.3	Q233
Mauritius	98.1	101.1	95.1	40.6	Q1027
Mexico	73.7	105.8	104.4	40.2	Q96
Moldova	86.7	90.6	86.9	39.8	Q217
Montenegro	69.3	100	89.9	56.1	Q236
Morocco	50.9	113.9	80.2	35.9	Q1028
Myanmar	8.5	112.3	68.4	18.8	Q836
Nepal	87.4	142.1	80.2	12.4	Q837
Netherlands	94.3	104.2	135.6	85	Q55
New Zealand	91.5	100	114.6	82	Q664
Niger	8	74.7	24.3	4.4	Q1032
North Macedonia	41	97.1	81.4	42.5	Q221
Norway	95.4	100.3	116.9	82	Q20
Oman	52.2	103.4	106.7	38	Q842
Pakistan	83.1	94.3	42.7	9	Q843
Panama	62.2	94.4	76.1	47.8	Q804
Peru	103.5	106.9	106.4	70.7	Q419
Philippines	80.7	107.5	86.2	35.5	Q928
Poland	81.1	100	109.9	67.8	Q36
Portugal	93.9	106.2	119.9	63.9	Q45
Romania	84	85.2	91.3	49.4	Q218
Russian Federation	86.8	102.6	103.4	81.9	Q159
Rwanda	22.5	133	40.9	6.7	Q1037
San Marino	96.4	108.1	67.9	42.5	Q238
Saudi Arabia	21.2	99.8	110.1	68	Q851
Senegal	16.5	81	43.7	12.8	Q1041
Serbia	62.3	100.3	95.1	67.2	Q403
Seychelles	95.4	100.4	81.4	17.1	Q1042
Slovak Republic	95.2	98.7	91.1	46.6	Q214
Slovenia	91.7	100.4	115.6	78.6	Q215
South Africa	24.6	100.9	104.7	22.4	Q258
Spain	92.5	102.7	126	88.9	Q29
St. Lucia	73.9	102.6	89.4	14.1	Q760
Sweden	96.3	126.6	152.9	67	Q34
Switzerland	103.6	105.2	102.5	59.6	Q39
Thailand	79	99.8	117.7	49.3	Q869
Togo	22.8	123.8	61.8	14.5	Q945
Tunisia	44.6	115.4	92.9	31.7	Q948
United Kingdom	106.4	101.2	125.9	60	Q145
United States	72.9	101.8	99	88.2	Q30
Uruguay	93.4	108.5	120.2	63.1	Q77
Uzbekistan	27.9	104.2	93.3	10.1	Q265
West Bank and Gaza	56.5	98.6	89.5	44.3	Q407199
