Country	Male	Female	ID
Afghanistan	130	90	Q889
Albania	107	111	Q222
Algeria	102	102	Q262
Antigua and Barbuda	97	100	Q781
Argentina	106	106	Q414
Armenia	91	93	Q399
Austria	101	101	Q40
Azerbaijan	95	95	Q227
Bahamas, The	83	84	Q778
Bahrain	89	90	Q398
Bangladesh	102	109	Q902
Barbados	98	99	Q244
Belarus	94	94	Q184
Belgium	97	98	Q31
Belize	99	98	Q242
Benin	150	144	Q962
Bhutan	106	105	Q917
Bolivia	99	99	Q750
Brunei Darussalam	100	101	Q921
Bulgaria	91	91	Q219
Burkina Faso	114	108	Q965
Burundi	129	127	Q967
Cabo Verde	99	98	Q1011
Cambodia	107	102	Q424
Cameroon	123	110	Q1009
Central African Republic	140	116	Q929
Chad	121	97	Q657
Chile	100	99	Q298
China	102	103	Q148
Hong Kong SAR, China	111	117	Q8646
Macao SAR, China	94	96	Q14773
Colombia	116	111	Q739
Comoros	95	102	Q970
Costa Rica	110	111	Q800
Cote d'Ivoire	105	99	Q1008
Croatia	97	98	Q224
Cuba	104	105	Q241
Cyprus	96	98	Q229
Czech Republic	100	101	Q213
Denmark	98	99	Q35
Djibouti	69	65	Q977
Dominica	115	113	Q784
Dominican Republic	107	105	Q786
Ecuador	103	107	Q736
Egypt, Arab Rep.	101	102	Q79
El Salvador	98	95	Q792
Eritrea	78	69	Q986
Estonia	95	97	Q191
Eswatini	98	95	Q1050
Fiji	113	110	Q712
Finland	99	99	Q33
Gambia, The	100	107	Q1005
Georgia	101	102	Q230
Germany	105	105	Q183
Ghana	100	101	Q117
Greece	99	101	Q41
Grenada	98	100	Q769
Guatemala	106	105	Q774
Guinea	123	107	Q1006
Honduras	91	91	Q783
Hungary	98	95	Q28
Iceland	101	102	Q189
India	101	101	Q668
Indonesia	104	101	Q252
Iran, Islamic Rep.	105	105	Q794
Ireland	94	96	Q27
Israel	103	105	Q801
Italy	97	96	Q38
Jamaica	79	79	Q766
Jordan	82	80	Q810
Kazakhstan	98	101	Q232
Kenya	96	92	Q114
Kiribati	102	102	Q710
Korea, Dem. Peopleâ€™s Rep.	93	92	Q423
Korea, Rep.	101	100	Q884
Kuwait	86	93	Q817
Kyrgyz Republic	107	105	Q813
Lao PDR	104	100	Q819
Latvia	100	99	Q211
Lesotho	126	114	Q1013
Liberia	100	99	Q1014
Liechtenstein	91	99	Q347
Lithuania	104	104	Q37
Luxembourg	106	105	Q32
Madagascar	154	157	Q1019
Malawi	131	130	Q1020
Malaysia	104	106	Q833
Maldives	96	99	Q826
Mali	84	76	Q912
Malta	106	109	Q233
Marshall Islands	81	86	Q709
Mauritania	104	106	Q1025
Mauritius	103	103	Q1027
Mexico	104	105	Q96
Moldova	94	92	Q217
Mongolia	104	100	Q711
Montenegro	111	89	Q236
Morocco	109	111	Q1028
Mozambique	174	169	Q1029
Myanmar	140	131	Q836
Namibia	113	114	Q1030
Nepal	146	148	Q837
New Zealand	98	99	Q664
Niger	79	71	Q1032
North Macedonia	105	105	Q221
Norway	100	101	Q20
Oman	99	102	Q842
Pakistan	127	107	Q843
Panama	92	91	Q804
Papua New Guinea	131	124	Q691
Peru	107	106	Q419
Philippines	96	93	Q928
Qatar	103	108	Q846
Romania	87	87	Q218
Russian Federation	102	102	Q159
Rwanda	131	124	Q1037
Samoa	114	116	Q683
San Marino	90	116	Q238
Sao Tome and Principe	91	92	Q1039
Saudi Arabia	91	92	Q851
Senegal	89	100	Q1041
Serbia	99	100	Q403
Seychelles	104	105	Q1042
Sierra Leone	168	176	Q1044
Singapore	101	101	Q334
Slovak Republic	97	98	Q214
Slovenia	101	102	Q215
Solomon Islands	108	108	Q685
South Africa	107	100	Q258
Spain	93	94	Q29
Sri Lanka	99	98	Q854
St. Kitts and Nevis	111	100	Q763
St. Lucia	99	107	Q760
St. Vincent and the Grenadines	115	112	Q757
Sudan	88	84	Q1049
Suriname	93	93	Q730
Sweden	102	102	Q34
Switzerland	99	102	Q39
Tajikistan	107	105	Q863
Tanzania	108	110	Q924
Thailand	97	97	Q869
Timor-Leste	92	87	Q574
Togo	144	140	Q945
Tunisia	105	106	Q948
Turkey	96	95	Q43
Tuvalu	79	83	Q672
Uganda	139	140	Q1036
United Kingdom	98	98	Q145
Uruguay	100	101	Q77
Uzbekistan	103	100	Q265
Venezuela, RB	96	95	Q717
Vietnam	114	117	Q881
West Bank and Gaza	99	101	Q407199
Yemen, Rep.	107	99	Q805
Zambia	105	110	Q953
