Country	$ billions	$ per capita	ID
Afghanistan	20.7	540	Q889
Albania	14.9	5,24	Q222
Algeria	170.7	3,97	Q262
Angola	97.0	3,05	Q916
Antigua and Barbuda	1.6	16,66	Q781
Argentina	503.1	11,2	Q414
Armenia	13.8	4,68	Q399
Aruba	2.8	26,81	Q21203
Australia	1,392.8	54,91	Q408
Austria	455.4	51,3	Q40
Azerbaijan	44.9	4,48	Q227
Bahamas, The	12.4	31,78	Q778
Bahrain	36.3	22,11	Q398
Bangladesh	316.2	1,94	Q902
Barbados	5.0	17,38	Q244
Belarus	59.5	6,28	Q184
Belgium	543.7	47,35	Q31
Belize	1.7	4,45	Q242
Benin	14.8	1,25	Q962
Bhutan	2.2	2,97	Q917
Bolivia	40.6	3,53	Q750
Bosnia and Herzegovina	20.3	6,15	Q225
Botswana	17.6	7,66	Q963
Brazil	1,926.3	9,13	Q155
Brunei Darussalam	14.0	32,23	Q921
Bulgaria	65.6	9,41	Q219
Burkina Faso	16.1	790	Q965
Burundi	3.2	280	Q967
Cambodia	24.4	1,48	Q424
Cameroon	38.9	1,5	Q1009
Canada	1,742.8	46,37	Q16
Cabo Verde	2.0	3,63	Q1011
Cayman Islands	3.0	47,14	Q5785
Central African Republic	2.4	520	Q929
Chad	11.2	700	Q657
Chile	284.5	15,01	Q298
China	14,554.3	10,41	Q148
Hong Kong SAR, China	381.7	50,84	Q8646
Macao SAR, China	49.7	78,64	Q14773
Colombia	327.7	6,51	Q739
Comoros	1.2	1,42	Q970
Congo, Dem. Rep.	45.3	520	Q974
Congo, Rep.	9.4	1,75	Q971
Costa Rica	59.1	11,7	Q800
Cote d'Ivoire	58.9	2,29	Q1008
Croatia	60.6	14,91	Q224
Curacao	3.1	19,61	Q25279
Cyprus	24.4	27,71	Q229
Czech Republic	234.7	22	Q213
Denmark	367.9	63,24	Q35
Djibouti	3.4	3,54	Q977
Dominica	0.6	8,09	Q784
Dominican Republic	86.9	8,09	Q786
Ecuador	105.6	6,08	Q736
Egypt, Arab Rep.	270.2	2,69	Q79
El Salvador	25.8	4	Q792
Equatorial Guinea	8.8	6,46	Q983
Estonia	30.8	23,22	Q191
Eswatini	4.1	3,59	Q1050
Ethiopia	95.1	850	Q115
Fiji	5.2	5,86	Q712
Finland	273.7	49,58	Q33
France	2,843.0	42,4	Q142
Gabon	15.7	7,21	Q1000
Gambia, The	1.7	740	Q1005
Georgia	17.6	4,74	Q230
Germany	4,033.5	48,52	Q183
Ghana	67.5	2,22	Q117
Greece	217.8	20,32	Q41
Grenada	1.1	9,98	Q769
Guatemala	76.5	4,61	Q774
Guinea	12.1	950	Q1006
Guinea-Bissau	1.6	820	Q1007
Guyana	4.1	5,18	Q734
Haiti	8.9	790	Q790
Honduras	23.3	2,39	Q783
Hungary	157.7	16,14	Q28
Iceland	26.3	72,85	Q189
India	2,910.8	2,13	Q668
Indonesia	1,097.2	4,05	Q252
Iran, Islamic Rep.	437.6	5,42	Q794
Iraq	225.7	5,74	Q796
Ireland	307.4	62,21	Q27
Isle of Man	6.3	75,34	Q9676
Israel	391.9	43,29	Q801
Italy	2,077.7	34,46	Q38
Jamaica	15.5	5,25	Q766
Japan	5,263.5	41,69	Q17
Jordan	43.5	4,3	Q810
Kazakhstan	163.1	8,81	Q232
Kenya	91.8	1,75	Q114
Kiribati	0.4	3,35	Q710
Korea, Rep.	1,743.7	33,72	Q884
Kosovo	8.3	4,64	Q1246
Kuwait	141.9	34,29	Q817
Kyrgyz Republic	8.0	1,24	Q813
Lao PDR	18.4	2,57	Q819
Latvia	33.9	17,73	Q211
Lebanon	52.1	7,6	Q822
Lesotho	2.9	1,36	Q1013
Liberia	2.9	580	Q1014
Libya	51.8	7,64	Q1016
Lithuania	52.9	18,99	Q37
Luxembourg	45.8	73,91	Q32
Madagascar	14.1	520	Q1019
Malawi	7.2	380	Q1020
Malaysia	358.0	11,2	Q833
Maldives	5.1	9,65	Q826
Mali	17.3	880	Q912
Malta	13.7	27,29	Q233
Marshall Islands	0.3	4,86	Q709
Mauritania	7.5	1,66	Q1025
Mauritius	16.1	12,74	Q1027
Mexico	1,203.6	9,43	Q96
Micronesia, Fed. Sts.	0.4	3,4	Q702
Moldova	10.6	3,93	Q217
Mongolia	12.2	3,78	Q711
Montenegro	5.6	9,01	Q236
Morocco	118.1	3,19	Q1028
Mozambique	14.5	480	Q1029
Myanmar	75.2	1,39	Q836
Namibia	12.6	5,06	Q1030
Nauru	0.2	14,23	Q697
Nepal	31.1	1,09	Q837
Netherlands	922.1	53,2	Q55
New Zealand	209.8	42,67	Q664
Nicaragua	12.5	1,91	Q811
Niger	13.1	560	Q1032
Nigeria	407.9	2,03	Q1033
North Macedonia	12.3	5,91	Q221
Norway	441.2	82,5	Q20
Oman	76.3	15,33	Q842
Pakistan	331.6	1,53	Q843
Palau	0.3	17,28	Q695
Panama	63.5	14,95	Q804
Papua New Guinea	24.4	2,78	Q691
Paraguay	38.8	5,51	Q733
Peru	219.2	6,74	Q419
Philippines	415.8	3,85	Q928
Poland	577.3	15,2	Q36
Portugal	237.0	23,08	Q45
Puerto Rico	70.2	21,97	Q1183
Qatar	179.6	63,41	Q846
Romania	244.5	12,63	Q218
Russian Federation	1,651.6	11,26	Q159
Rwanda	10.4	820	Q1037
Samoa	0.8	4,18	Q683
Sao Tome and Principe	0.4	1,96	Q1039
Saudi Arabia	782.9	22,85	Q851
Senegal	23.6	1,45	Q1041
Serbia	48.8	7,02	Q403
Seychelles	1.6	16,87	Q1042
Sierra Leone	3.9	500	Q1044
Singapore	339.9	59,59	Q334
Slovak Republic	105.3	19,32	Q214
Slovenia	53.8	25,75	Q215
Solomon Islands	1.4	2,05	Q685
South Africa	353.5	6,04	Q258
Spain	1,430.8	30,39	Q29
Sri Lanka	87.7	4,02	Q854
St. Kitts and Nevis	1.0	19,03	Q763
St. Lucia	2.0	11,02	Q760
St. Vincent and the Grenadines	0.8	7,46	Q757
Sudan	25.5	590	Q1049
Suriname	3.2	5,54	Q730
Sweden	574.3	55,84	Q34
Switzerland	733.1	85,5	Q39
Tajikistan	9.6	1,03	Q863
Tanzania	60.8	1,08	Q924
Thailand	505.2	7,26	Q869
Timor-Leste	2.4	1,89	Q574
Togo	5.6	690	Q945
Tonga	0.4	4,3	Q678
Trinidad and Tobago	23.6	16,89	Q754
Tunisia	39.3	3,36	Q948
Turkey	801.4	9,61	Q43
Turkmenistan	39.4	6,74	Q874
Turks and Caicos Islands	1.0	26,74	Q18221
Tuvalu	0.1	5,62	Q672
Uganda	34.4	780	Q1036
Ukraine	141.6	3,37	Q212
United Arab Emirates	424.8	43,47	Q878
United Kingdom	2,831.8	42,37	Q145
United States	21,584.4	65,76	Q30
Uruguay	56.2	16,23	Q77
Uzbekistan	60.4	1,8	Q265
Vanuatu	1.0	3,17	Q686
Vietnam	244.9	2,54	Q881
West Bank and Gaza	17.0	3,71	Q407199
Yemen, Rep.	26.7	940	Q805
Zambia	25.9	1,45	Q953
Zimbabwe	20.4	1,39	Q954
