Country	$ (1990-2000)	$ (2000-2019)	ID
Algeria	19.5	3.3	Q262
Argentina	4.3	1	Q414
Armenia	4.5	2.5	Q399
Australia	3.3	2.6	Q408
Austria	2.1	0.8	Q40
Bahamas, The	3.4	1.6	Q778
Bangladesh	2.6	5.7	Q902
Belarus	-0.9	2.9	Q184
Belgium	1.8	1.2	Q31
Belize	8.1	2.1	Q242
Benin	3.9	3.6	Q962
Bolivia	3.6	4.9	Q750
Botswana	5.4	4.7	Q963
Brazil	3.1	0.7	Q155
Brunei Darussalam	2.5	1.7	Q921
Bulgaria	-3.9	2.7	Q219
Burkina Faso	5	4.7	Q965
Cambodia	6	5.6	Q424
Cameroon	3.6	4.5	Q1009
Canada	2	2.1	Q16
Chile	7.1	3.7	Q298
China	10.7	8.2	Q148
Hong Kong SAR, China	3.9	3.9	Q8646
Macao SAR, China	3.9	5.2	Q14773
Colombia	3.9	3.8	Q739
Comoros	1.6	2.8	Q970
Congo, Dem. Rep.	-2.5	4.9	Q974
Congo, Rep.	2.3	-1.7	Q971
Costa Rica	3.9	3.6	Q800
Croatia	2.2	0.7	Q224
Cuba	-0.6	2.9	Q241
Cyprus	6	0.5	Q229
Czech Republic	1.7	2.1	Q213
Denmark	2.3	1.3	Q35
Dominican Republic	4.9	4.6	Q786
Ecuador	2	2.3	Q736
Egypt, Arab Rep.	4	4.2	Q79
El Salvador	3.6	2	Q792
Estonia	5.2	3.4	Q191
Eswatini	7.4	2.1	Q1050
Finland	1.7	1	Q33
France	1.7	1.1	Q142
Gabon	0.8	2.2	Q1000
Germany	1.8	1.7	Q183
Greece	2.4	-1.5	Q41
Guatemala	4.3	3.8	Q774
Haiti	3.8	0.4	Q790
Honduras	3.3	3.5	Q783
Hungary	0.1	2.5	Q28
Iceland	3.1	3.4	Q189
India	5.2	7	Q668
Indonesia	5.2	4.9	Q252
Iran, Islamic Rep.	2.4	0.5	Q794
Ireland	5.2	2.2	Q27
Israel	5.2	3.9	Q801
Italy	1.2	0	Q38
Japan	1.9	0.7	Q17
Jordan	5	1.9	Q810
Kazakhstan	-7.8	4.5	Q232
Kenya	4.5	5.9	Q114
Korea, Rep.	5.6	2.8	Q884
Kyrgyz Republic	-5.7	3.5	Q813
Latvia	3.2	2.9	Q211
Lebanon	8.8	2.8	Q822
Lesotho	15	1.1	Q1013
Lithuania	4.4	3.1	Q37
Luxembourg	3.5	2.7	Q32
Madagascar	1.9	2.5	Q1019
Malaysia	5.2	6.5	Q833
Mali	3.1	5	Q912
Mauritania	2.1	3.7	Q1025
Mauritius	4.9	2.9	Q1027
Mexico	3.1	2.5	Q96
Moldova	1.8	2.9	Q217
Morocco	2.5	3.3	Q1028
Mozambique	4.1	6.8	Q1029
Namibia	3.8	5.4	Q1030
Netherlands	3	0.7	Q55
New Zealand	2.9	3.5	Q664
Nicaragua	3.2	3.2	Q811
Niger	1.8	5.9	Q1032
Nigeria	1.3	1.5	Q1033
North Macedonia	2.2	2.1	Q221
Norway	3.3	2.1	Q20
Pakistan	4.3	5.3	Q843
Panama	3.5	5.4	Q804
Paraguay	2.3	4.1	Q733
Peru	3.8	4.7	Q419
Philippines	3.7	6.4	Q928
Poland	5.3	2.8	Q36
Portugal	2.9	0.5	Q45
Puerto Rico	4.4	-0.9	Q1183
Romania	1.6	4.7	Q218
Russian Federation	-1.1	0.8	Q159
Rwanda	2.2	5.9	Q1037
Senegal	2.3	4.3	Q1041
Serbia	1.7	0.5	Q403
Sierra Leone	-2.2	6.1	Q1044
Singapore	6.7	3.8	Q334
Slovak Republic	2.9	2.1	Q214
Slovenia	3.7	1	Q215
South Africa	2.2	1.8	Q258
Spain	2.3	0.7	Q29
Sri Lanka	5.5	5.1	Q854
Sudan	3.8	1.3	Q1049
Sweden	1.2	2	Q34
Switzerland	1.2	1.5	Q39
Tanzania	3.3	4	Q924
Thailand	4.3	2.8	Q869
Togo	4.2	5	Q945
Turkey	3.9	4.8	Q43
Uganda	6.6	4.4	Q1036
Ukraine	-6.2	0.9	Q212
United Kingdom	2.9	2	Q145
United States	3.3	2.1	Q30
Uruguay	4.5	2.7	Q77
Uzbekistan	2	8.6	Q265
Vietnam	5.2	6.8	Q881
West Bank and Gaza	6.6	3.2	Q407199
