Country	HDI 2018 data (2019 report)​	Average annual HDI growth % (2010–2018)	ID
Norway	954	0.16	Q20
Switzerland	946	0.18	Q39
Ireland	942	0.71	Q27
Germany	939	0.25	Q183
Hong Kong	939	0.51	Q8646
Australia	938	0.17	Q408
Iceland	938	0.64	Q189
Sweden	937	0.42	Q34
Singapore	935	0.35	Q334
Netherlands	933	0.31	Q55
Denmark	930	0.27	Q35
Finland	925	0.3	Q33
Canada	922	0.38	Q16
New Zealand	921	0.3	Q664
United Kingdom	920	0.21	Q145
United States	920	0.12	Q30
Belgium	919	0.22	Q31
Liechtenstein	917	0.17	Q347
Japan	915	0.42	Q17
Austria	914	0.26	Q40
Luxembourg	909	0.22	Q32
Israel	906	0.27	Q801
South Korea	906	0.33	Q884
Slovenia	902	0.29	Q215
Spain	893	0.4	Q29
Czech Republic	891	0.41	Q213
France	891	0.27	Q142
Malta	885	0.55	Q233
Italy	883	0.17	Q38
Estonia	882	0.54	Q191
Cyprus	873	0.34	Q229
Greece	872	0.22	Q41
Poland	872	0.54	Q36
Lithuania	869	0.67	Q37
United Arab Emirates	866	0.68	Q878
Andorra	857	0.43	Q228
Saudi Arabia	857	0.71	Q851
Slovakia	857	0.42	Q214
Latvia	854	0.56	Q211
Portugal	850	0.42	Q45
Qatar	848	0.22	Q846
Chile	847	0.71	Q298
Brunei	845	0.19	Q921
Hungary	845	0.28	Q28
Bahrain	838	0.64	Q398
Croatia	837	0.41	Q224
Oman	834	0.63	Q842
Argentina	830	0.18	Q414
Russia	824	0.69	Q159
Belarus	817	0.39	Q184
Kazakhstan	817	0.84	Q232
Bulgaria	816	0.58	Q219
Montenegro	816	0.36	Q236
Romania	816	0.29	Q218
Palau	814	0.6	Q695
Barbados	813	0.22	Q244
Kuwait	808	0.22	Q817
Uruguay	808	0.54	Q77
Turkey	806	1.03	Q43
Bahamas	805	0.16	Q778
Malaysia	804	0.49	Q833
Seychelles	801	0.63	Q1042
Serbia	799	0.6	Q403
Trinidad and Tobago	799	0.17	Q754
Iran	797	0.68	Q794
Mauritius	796	0.79	Q1027
Panama	795	0.6	Q804
Costa Rica	794	0.64	Q800
Albania	791	0.84	Q222
Georgia	786	0.91	Q230
Sri Lanka	780	0.49	Q854
Cuba	778	0.02	Q241
Saint Kitts and Nevis	777	0.48	Q763
Antigua and Barbuda	776	0.08	Q781
Bosnia and Herzegovina	769	0.93	Q225
Mexico	767	0.47	Q96
Thailand	765	0.74	Q869
Grenada	763	0.33	Q769
Brazil	761	0.59	Q155
Colombia	761	0.54	Q739
Armenia	760	0.52	Q399
Algeria	759	0.49	Q262
North Macedonia	759	0.41	Q221
Peru	759	0.65	Q419
China	758	0.95	Q148
Ecuador	758	0.71	Q736
Azerbaijan	754	0.36	Q227
Ukraine	750	0.29	Q212
Dominican Republic	745	0.76	Q786
Saint Lucia	745	0.26	Q760
Tunisia	739	0.39	Q948
Mongolia	735	0.66	Q711
Lebanon	730	0.36	Q822
Botswana	728	1.22	Q963
Saint Vincent and the Grenadines	728	0.29	Q757
Jamaica	726	0.05	Q766
Venezuela	726	0.45	Q717
Dominica	724	0.15	Q784
Fiji	724	0.52	Q712
Paraguay	724	0.56	Q733
Suriname	724	0.41	Q730
Jordan	723	0.07	Q810
Belize	720	0.49	Q242
Maldives	719	0.9	Q826
Tonga	717	0.45	Q678
Philippines	712	0.73	Q928
Moldova	711	0.56	Q217
Turkmenistan	710	0.67	Q874
Uzbekistan	710	0.83	Q265
Libya	708	0.84	Q1016
Indonesia	707	0.74	Q252
Samoa	707	0.3	Q683
South Africa	705	0.78	Q258
Bolivia	703	0.88	Q750
Gabon	702	0.81	Q1000
Egypt	700	0.62	Q79
Vietnam	693	0.74	Q881
Palestine	690	0.35	Q219060
Iraq	689	0.68	Q796
Morocco	676	1.14	Q1028
Kyrgyzstan	674	0.73	Q813
Guyana	670	0.61	Q734
El Salvador	667	0.14	Q792
Tajikistan	656	0.5	Q863
Cape Verde	651	0.48	Q1011
Guatemala	651	0.98	Q774
Nicaragua	651	0.74	Q811
India	647	1.34	Q668
Namibia	645	1.17	Q1030
East Timor	626	0.13	Q574
Honduras	623	0.51	Q783
Kiribati	623	0.71	Q710
Bhutan	617	0.98	Q917
Bangladesh	614	1.4	Q902
Micronesia	614	0.41	Q702
São Tomé and Príncipe	609	1.36	Q1039
Congo, Republic of the	608	1.12	Q971
Eswatini	608	2.15	Q1050
Laos	604	1.28	Q819
Vanuatu	597	0.26	Q686
Ghana	596	0.91	Q117
Zambia	591	1.35	Q953
Equatorial Guinea	588	0.18	Q983
Myanmar	584	1.39	Q836
Cambodia	581	1.05	Q424
Kenya	579	1.04	Q114
Nepal	579	1.18	Q837
Angola	574	1.5	Q916
Cameroon	563	2.26	Q1009
Zimbabwe	563	2.22	Q954
Pakistan	560	0.85	Q843
Solomon Islands	557	0.78	Q685
Syria	549	1.98	Q858
Papua New Guinea	543	0.8	Q691
Comoros	538	0.6	Q970
Rwanda	536	1.19	Q1037
Nigeria	534	1.25	Q1033
Tanzania	528	1.03	Q924
Uganda	528	0.97	Q1036
Mauritania	527	0.91	Q1025
Madagascar	521	0.42	Q1019
Benin	520	1.19	Q962
Lesotho	518	1.46	Q1013
Ivory Coast	516	1.61	Q1008
Senegal	514	1.17	Q1041
Togo	513	1.16	Q945
Sudan	507	0.93	Q1049
Haiti	503	0.92	Q790
Afghanistan	496	0.83	Q889
Djibouti	495	1.32	Q977
Malawi	485	1.32	Q1020
Ethiopia	470	1.66	Q115
The Gambia	466	0.79	Q1005
Guinea	466	1.67	Q1006
Liberia	465	0.67	Q1014
Yemen	463	0.94	Q805
Guinea-Bissau	461	1.01	Q1007
Congo, Democratic Republic of the	459	1.24	Q974
Mozambique	446	1.51	Q1029
Sierra Leone	438	1.45	Q1044
Burkina Faso	434	1.84	Q965
Eritrea	434	0.02	Q986
Mali	427	0.72	Q912
Burundi	423	0.65	Q967
South Sudan	413	0.35	Q958
Chad	401	0.89	Q657
Central African Republic	381	0.89	Q929
Niger	377	2.09	Q1032
