Country	Exports	ID
Albania	0	Q222
Algeria	0.6	Q262
Andorra	28.5	Q228
Angola	5.3	Q916
Antigua and Barbuda	0.6	Q781
Argentina	5.3	Q414
Armenia	7.1	Q399
Aruba	8.3	Q21203
Australia	16.7	Q408
Austria	11.6	Q40
Azerbaijan	4	Q227
Bahrain	0.4	Q398
Bangladesh	0.3	Q902
Belarus	4	Q184
Belgium	10.4	Q31
Belize	0.1	Q242
Benin	2.8	Q962
Bermuda	17.1	Q23635
Bolivia	4.9	Q750
Bosnia and Herzegovina	5.2	Q225
Botswana	0.7	Q963
Brazil	13	Q155
Brunei Darussalam	0	Q921
Bulgaria	10.3	Q219
Burkina Faso	6	Q965
Burundi	17	Q967
Cambodia	1.4	Q424
Cameroon	4.9	Q1009
Canada	15.8	Q16
Cabo Verde	0	Q1011
Central African Republic	27.9	Q929
Chile	6.4	Q298
China	31.4	Q148
Hong Kong SAR, China	64.6	Q8646
Colombia	7.3	Q739
Comoros	0.2	Q970
Congo, Rep.	2.2	Q971
Costa Rica	18.5	Q800
Cote d'Ivoire	6.8	Q1008
Croatia	8.9	Q224
Cyprus	19.9	Q229
Czech Republic	19.6	Q213
Denmark	13.09	Q35
Dominican Republic	8.6	Q786
Ecuador	5.3	Q736
Egypt, Arab Rep.	0.9	Q79
El Salvador	6.1	Q792
Estonia	16.8	Q191
Ethiopia	51.8	Q115
Fiji	2.9	Q712
Finland	8.9	Q33
France	25.9	Q142
French Polynesia	11.8	Q30971
Gambia, The	0.2	Q1005
Georgia	3.3	Q230
Germany	15.08	Q183
Ghana	8.3	Q117
Greece	12.8	Q41
Greenland	1.7	Q223
Guatemala	4.9	Q774
Guinea	1	Q1006
Guyana	0.1	Q734
Honduras	3.1	Q783
Hungary	16.9	Q28
Iceland	23.05	Q189
India	9	Q668
Indonesia	8	Q252
Iran, Islamic Rep.	1.3	Q794
Ireland	24.7	Q27
Israel	22.8	Q801
Italy	7.5	Q38
Jamaica	2.1	Q766
Japan	17.3	Q17
Jordan	2.9	Q810
Kazakhstan	22	Q232
Kenya	3.6	Q114
Kiribati	2.8	Q710
Korea, Rep.	36.3	Q884
Kuwait	4.1	Q817
Kyrgyz Republic	8.1	Q813
Lao PDR	37.1	Q819
Latvia	20.3	Q211
Lebanon	2.4	Q822
Lesotho	0.2	Q1013
Lithuania	12.1	Q37
Luxembourg	7	Q32
North Macedonia	4	Q221
Madagascar	0.3	Q1019
Malawi	11.5	Q1020
Malaysia	52.8	Q833
Maldives	0.1	Q826
Mali	1.2	Q912
Malta	32.2	Q233
Mauritania	0	Q1025
Mauritius	2.6	Q1027
Mexico	21.1	Q96
Moldova	2.5	Q217
Mongolia	5	Q711
Montenegro	3.2	Q236
Morocco	4	Q1028
Mozambique	5.6	Q1029
Myanmar	4.3	Q836
Namibia	0.2	Q1030
Nepal	1.2	Q837
Netherlands	22.7	Q55
New Caledonia	5.3	Q33788
New Zealand	9.7	Q664
Nicaragua	0.7	Q811
Niger	3	Q1032
Nigeria	1.9	Q1033
Norway	21.02	Q20
Oman	1.3	Q842
Pakistan	2.2	Q843
Palau	51.7	Q695
Panama	9.2	Q804
Paraguay	9.7	Q733
Peru	4.6	Q419
Philippines	61.1	Q928
Poland	10.6	Q36
Portugal	5.3	Q45
Qatar	0	Q846
Romania	10.1	Q218
Russian Federation	11	Q159
Rwanda	12.5	Q1037
Samoa	3.1	Q683
Sao Tome and Principe	46	Q1039
Saudi Arabia	0.6	Q851
Senegal	2.8	Q1041
Seychelles	5.3	Q1042
Sierra Leone	0.1	Q1044
Singapore	51.7	Q334
Slovak Republic	10.6	Q214
Slovenia	6.8	Q215
Solomon Islands	1.4	Q685
South Africa	5.3	Q258
Spain	7.2	Q29
Sri Lanka	1	Q854
St. Kitts and Nevis	34.6	Q763
St. Lucia	4.6	Q760
St. Vincent and the Grenadines	0	Q757
Suriname	7.9	Q730
Eswatini	0.9	Q1050
Sweden	14.4	Q34
Switzerland	13.4	Q39
Tanzania	6.9	Q924
Thailand	23.3	Q869
Togo	0.2	Q945
Trinidad and Tobago	0.1	Q754
Tunisia	7.4	Q948
Turkey	2.3	Q43
Uganda	3.5	Q1036
Ukraine	5.4	Q212
United Arab Emirates	10.8	Q878
United Kingdom	22.6	Q145
United States	18.9	Q30
Uruguay	7.2	Q77
Uzbekistan	0.5	Q265
Vietnam	40.2	Q881
West Bank and Gaza	0.7	Q407199
Yemen, Rep.	8	Q805
Zambia	2	Q953
Zimbabwe	2.1	Q954
