Country	average annual (1990-2000)	average annual (2000-2019)	ID
Algeria	19.3	3.8	Q262
Argentina	2.8	0.7	Q414
Armenia	5.5	2.6	Q399
Australia	3.4	2.5	Q408
Austria	1.9	0.8	Q40
Bahamas, The	3.6	1.7	Q778
Bangladesh	2.5	5.5	Q902
Belarus	-0.5	3.8	Q184
Belgium	1.9	1.4	Q31
Belize	9.2	1.7	Q242
Benin	4.1	3.5	Q962
Bolivia	3.6	4.8	Q750
Botswana	5.1	4	Q963
Brazil	3.8	0.8	Q155
Brunei Darussalam	3	3	Q921
Bulgaria	-3.8	2.8	Q219
Burkina Faso	5.7	4.2	Q965
Cambodia	6	5.6	Q424
Cameroon	4.4	4.7	Q1009
Canada	2.8	2.4	Q16
Chile	7.6	3.6	Q298
China	8.5	9.4	Q148
Hong Kong SAR, China	3.8	4.1	Q8646
Macao SAR, China	3.6	4.1	Q14773
Colombia	2.4	3.5	Q739
Comoros	1.6	2.8	Q970
Congo, Dem. Rep.	-1	6	Q974
Congo, Rep.	5.3	-4.8	Q971
Costa Rica	4.2	3.9	Q800
Croatia	2.5	0.7	Q224
Cuba	-1	4.2	Q241
Cyprus	7	0.9	Q229
Czech Republic	2.5	2.3	Q213
Denmark	2.2	1.5	Q35
Dominican Republic	4.9	4.7	Q786
Ecuador	2.3	1.8	Q736
Egypt, Arab Rep.	3.9	4.1	Q79
El Salvador	3.5	2.2	Q792
Estonia	6.3	3.9	Q191
Eswatini	7.4	1.3	Q1050
Finland	2	1.1	Q33
France	1.8	1	Q142
Gabon	-0.3	3.8	Q1000
Germany	1.6	1.4	Q183
Greece	2.6	-1.4	Q41
Guatemala	4.2	4	Q774
Hungary	0.8	2.8	Q28
Iceland	3.4	4.2	Q189
India	5	7	Q668
Indonesia	5.9	5.2	Q252
Iran, Islamic Rep.	2.6	0.2	Q794
Ireland	5.5	2.3	Q27
Israel	6.8	4.1	Q801
Italy	1.6	0.1	Q38
Japan	1.5	0.5	Q17
Jordan	4.6	2.4	Q810
Kazakhstan	-7.9	4.7	Q232
Kenya	3.6	5.9	Q114
Korea, Rep.	5.8	2.3	Q884
Kyrgyz Republic	-7.3	4.1	Q813
Latvia	3.3	3	Q211
Lebanon	8.1	1.7	Q822
Lesotho	14.4	-0.2	Q1013
Lithuania	5.5	3.8	Q37
Luxembourg	3.5	2.7	Q32
Madagascar	2.4	2.5	Q1019
Malaysia	5.3	6.9	Q833
Mali	2.6	5.2	Q912
Mauritania	3.2	3.6	Q1025
Mauritius	5.1	2.9	Q1027
Mexico	3.3	2.6	Q96
Moldova	6.7	3.5	Q217
Morocco	3.5	3.4	Q1028
Mozambique	4.1	5.1	Q1029
Namibia	3.9	6	Q1030
Netherlands	3.3	0.9	Q55
New Zealand	3.3	3.8	Q664
Nicaragua	4.9	3	Q811
Niger	2	5.8	Q1032
Nigeria	1.3	2.3	Q1033
North Macedonia	2.8	2.4	Q221
Norway	3.5	2.3	Q20
Pakistan	4.9	5.2	Q843
Panama	4	5.6	Q804
Paraguay	2.1	4.1	Q733
Peru	3.6	4.5	Q419
Philippines	3.9	6.2	Q928
Poland	5.8	2.9	Q36
Portugal	2.9	0.8	Q45
Puerto Rico	4.8	-0.7	Q1183
Romania	1.8	5.3	Q218
Rwanda	2.6	5.1	Q1037
Senegal	2.6	4.3	Q1041
Serbia	0.4	0.5	Q403
Sierra Leone	-2.4	6.4	Q1044
Singapore	6.3	3.7	Q334
Slovak Republic	3.9	2.1	Q214
Slovenia	3.9	1.1	Q215
South Africa	2.9	1.9	Q258
Spain	2.2	0.8	Q29
Sri Lanka	5.3	5.4	Q854
Sudan	3.7	0.9	Q1049
Sweden	1.5	2.3	Q34
Switzerland	1.2	1.6	Q39
Tanzania	5.1	3.6	Q924
Thailand	3.9	2.9	Q869
Togo	5	3.7	Q945
Turkey	3.8	4.6	Q43
Uganda	6.6	4.4	Q1036
Ukraine	-6.9	0.8	Q212
United Kingdom	3.4	2.3	Q145
United States	3.8	2.5	Q30
Uruguay	4.9	2.7	Q77
Vietnam	5.4	6.8	Q881
West Bank and Gaza	5.5	3.3	Q407199
