Country	Imports (2010)	Imports (2019)	ID
Afghanistan	36	38	Q889
Albania	49	45	Q222
Algeria	31	29	Q262
American Samoa	93	99	Q16641
Angola	43	26	Q916
Argentina	16	15	Q414
Armenia	45	53	Q399
Aruba	78	72	Q21203
Australia	21	22	Q408
Austria	48	52	Q40
Azerbaijan	21	37	Q227
Bahamas, The	44	41	Q778
Bahrain	51	72	Q398
Bangladesh	22	21	Q902
Barbados	49	42	Q244
Belarus	65	67	Q184
Belgium	74	82	Q31
Belize	59	58	Q242
Benin	28	34	Q962
Bhutan	72	56	Q917
Bolivia	34	31	Q750
Bosnia and Herzegovina	51	56	Q225
Botswana	51	41	Q963
Brazil	12	15	Q155
Brunei Darussalam	28	51	Q921
Bulgaria	53	60	Q219
Burkina Faso	29	32	Q965
Burundi	30	33	Q967
Cabo Verde	62	65	Q1011
Cambodia	60	62	Q424
Cameroon	27	24	Q1009
Canada	31	33	Q16
Central African Republic	23	47	Q929
Chad	44	38	Q657
Chile	31	29	Q298
China	24	17	Q148
Hong Kong SAR, China	199	176	Q8646
Macao SAR, China	33	33	Q14773
Colombia	18	22	Q739
Comoros	30	30	Q970
Congo, Dem. Rep.	50	35	Q974
Congo, Rep.	55	35	Q971
Costa Rica	35	32	Q800
Cote d'Ivoire	43	22	Q1008
Croatia	38	52	Q224
Cuba	18	13	Q241
Cyprus	59	72	Q229
Czech Republic	63	69	Q213
Denmark	44	49	Q35
Dominica	56	88	Q784
Dominican Republic	33	29	Q786
Ecuador	32	23	Q736
Egypt, Arab Rep.	27	29	Q79
El Salvador	47	48	Q792
Equatorial Guinea	59	52	Q983
Estonia	68	69	Q191
Eswatini	60	44	Q1050
Ethiopia	32	21	Q115
Finland	37	39	Q33
France	28	33	Q142
Gabon	31	22	Q1000
Gambia, The	26	44	Q1005
Georgia	50	63	Q230
Germany	37	41	Q183
Ghana	46	35	Q117
Greece	31	37	Q41
Greenland	76	45	Q223
Grenada	49	55	Q769
Guam	56	54	Q16635
Guatemala	36	28	Q774
Guinea	43	66	Q1006
Guinea-Bissau	35	34	Q1007
Guyana	62	46	Q734
Haiti	65	57	Q790
Honduras	64	56	Q783
Hungary	76	80	Q28
Iceland	42	41	Q189
India	27	21	Q668
Indonesia	22	19	Q252
Iran, Islamic Rep.	19	24	Q794
Iraq	34	39	Q796
Ireland	86	112	Q27
Israel	33	29	Q801
Italy	27	29	Q38
Jamaica	50	51	Q766
Japan	14	18	Q17
Jordan	68	50	Q810
Kazakhstan	30	28	Q232
Kenya	34	21	Q114
Kiribati	79	89	Q710
Korea, Rep.	44	37	Q884
Kosovo	55	56	Q1246
Kuwait	30	44	Q817
Kyrgyz Republic	82	66	Q813
Latvia	55	60	Q211
Lebanon	60	42	Q822
Lesotho	106	91	Q1013
Liberia	93	99	Q1014
Libya	42	53	Q1016
Lithuania	66	72	Q37
Luxembourg	142	173	Q32
Madagascar	36	33	Q1019
Malawi	35	36	Q1020
Malaysia	71	58	Q833
Maldives	65	69	Q826
Mali	35	34	Q912
Malta	154	120	Q233
Marshall Islands	110	85	Q709
Mauritania	48	52	Q1025
Mauritius	62	54	Q1027
Mexico	31	39	Q96
Micronesia, Fed. Sts.	82	65	Q702
Moldova	60	55	Q217
Mongolia	57	64	Q711
Montenegro	63	65	Q236
Morocco	43	48	Q1028
Mozambique	42	74	Q1029
Myanmar	15	30	Q836
Namibia	61	48	Q1030
Nepal	36	46	Q837
Netherlands	62	72	Q55
New Zealand	28	28	Q664
Nicaragua	60	50	Q811
Niger	36	28	Q1032
Nigeria	18	18	Q1033
North Macedonia	58	76	Q221
Northern Mariana Islands	51	55	Q16644
Norway	28	35	Q20
Oman	42	43	Q842
Pakistan	19	20	Q843
Palau	77	76	Q695
Panama	78	47	Q804
Paraguay	38	34	Q733
Peru	24	23	Q419
Philippines	33	40	Q928
Poland	42	50	Q36
Portugal	38	44	Q45
Puerto Rico	41	46	Q1183
Qatar	24	36	Q846
Romania	39	44	Q218
Russian Federation	21	21	Q159
Rwanda	28	35	Q1037
Samoa	52	53	Q683
Saudi Arabia	33	26	Q851
Senegal	32	38	Q1041
Serbia	44	61	Q403
Seychelles	108	86	Q1042
Sierra Leone	34	39	Q1044
Singapore	172	146	Q334
Sint Maarten (Dutch part)	104	101	Q26273
Slovak Republic	78	92	Q214
Slovenia	63	75	Q215
South Africa	27	29	Q258
Spain	27	32	Q29
Sri Lanka	27	29	Q854
St. Kitts and Nevis	48	59	Q763
Sudan	16	14	Q1049
Sweden	40	43	Q34
Switzerland	53	53	Q39
Tajikistan	59	41	Q863
Tanzania	28	17	Q924
Thailand	61	51	Q869
Timor-Leste	126	60	Q574
Togo	53	42	Q945
Tonga	60	76	Q678
Tunisia	55	61	Q948
Turkey	25	30	Q43
Turkmenistan	51	12	Q874
Uganda	25	27	Q1036
Ukraine	51	49	Q212
United Arab Emirates	62	68	Q878
United Kingdom	30	33	Q145
United States	16	15	Q30
Uruguay	25	19	Q77
Uzbekistan	20	42	Q265
Vietnam	80	104	Q881
Virgin Islands (U.S.)	285	79	Q11703
West Bank and Gaza	59	60	Q407199
Zambia	31	35	Q953
Zimbabwe	53	31	Q954
