Country	Imports (2007)	Imports (2017)	ID
American Samoa	18.9	17.3	Q16641
Cambodia	47.7	61	Q424
China	9.7	11.5	Q148
Fiji	8.7	22.3	Q712
Indonesia	27.9	37.2	Q252
Kiribati	14.3	38	Q710
Korea, Dem. Peopleâ€™s Rep.	49.8	94.1	Q423
Lao PDR	85.7	90.7	Q819
Malaysia	25.8	34	Q833
Marshall Islands	0	22.4	Q709
Micronesia, Fed. Sts.	8.9	30.9	Q702
Mongolia	29.5	35.6	Q711
Myanmar	43.6	56.1	Q836
Papua New Guinea	18.1	37.7	Q691
Philippines	19.4	39.2	Q928
Samoa	18.4	21.3	Q683
Solomon Islands	16.2	43.3	Q685
Thailand	25.2	35	Q869
Timor-Leste	66.9	59.5	Q574
Tonga	18.1	17.3	Q678
Tuvalu	15.6	9.5	Q672
Vanuatu	16.6	21.4	Q686
Vietnam	33.5	36.2	Q881
Albania	20.7	21.3	Q222
Armenia	41.8	41.7	Q399
Azerbaijan	44.5	43.9	Q227
Belarus	67	64.6	Q184
Bosnia and Herzegovina	21.9	23.9	Q225
Bulgaria	33.8	29.7	Q219
Georgia	54.8	50.9	Q230
Kazakhstan	48	50.1	Q232
Kosovo	24.8	39.7	Q1246
Kyrgyz Republic	68.6	52.2	Q813
North Macedonia	36.8	24.5	Q221
Moldova	54.3	47.8	Q217
Montenegro	33.6	36.9	Q236
Romania	17.5	15.2	Q218
Russian Federation	17.9	13.8	Q159
Serbia	29.9	22.4	Q403
Tajikistan	63.3	66.4	Q863
Turkey	21.4	13.9	Q43
Turkmenistan	50.4	45.6	Q874
Ukraine	44.9	27.9	Q212
Uzbekistan	33.4	39.6	Q265
Argentina	39.3	34.7	Q414
Belize	34.1	25.7	Q242
Bolivia	49.6	42.5	Q750
Brazil	13.5	13.2	Q155
Colombia	27.6	18.5	Q739
Costa Rica	22	18.6	Q800
Cuba	13.3	21.4	Q241
Dominica	14.2	10.5	Q784
Dominican Republic	24	15.2	Q786
Ecuador	36.3	24.6	Q736
El Salvador	36.9	34.3	Q792
Grenada	9.5	15.6	Q769
Guatemala	27.2	27.7	Q774
Guyana	10	13.4	Q734
Haiti	21.1	19.7	Q790
Honduras	33.7	33.1	Q783
Jamaica	20.7	17	Q766
Mexico	4	2.6	Q96
Nicaragua	51.6	42.8	Q811
Paraguay	47.3	38.8	Q733
Peru	33.7	22.6	Q419
St. Lucia	7.2	9.2	Q760
St. Vincent and the Grenadines	9.4	10.1	Q757
Suriname	9.1	13.6	Q730
Venezuela, RB	32.2	25.3	Q717
Algeria	1.9	5.7	Q262
Djibouti	1.9	7.1	Q977
Egypt, Arab Rep.	3.6	3.3	Q79
Iran, Islamic Rep.	0.6	0.3	Q794
Iraq	28.7	2.7	Q796
Jordan	8.6	4.9	Q810
Lebanon	8.2	6.8	Q822
Libya	9.8	7.5	Q1016
Morocco	7.4	2.9	Q1028
Syrian Arab Republic	10.2	12.8	Q858
Tunisia	7.1	6.2	Q948
West Bank and Gaza	2.3	3.8	Q407199
Yemen, Rep.	3.1	4.3	Q805
Afghanistan	24.5	20.1	Q889
Bangladesh	15.6	16.4	Q902
Bhutan	74	90.4	Q917
India	0.8	0.6	Q668
Maldives	18.7	18.9	Q826
Nepal	62.2	65.2	Q837
Pakistan	4.5	4	Q843
Sri Lanka	30.7	24.4	Q854
Angola	9.7	9.7	Q916
Benin	22.1	13.4	Q962
Botswana	85	72.8	Q963
Burkina Faso	30.3	24.4	Q965
Burundi	30.2	26.1	Q967
Cabo Verde	2.2	2.9	Q1011
Cameroon	6.9	15.5	Q1009
Central African Republic	16.7	17.9	Q929
Chad	22.3	25.1	Q657
Comoros	7.6	16.5	Q970
Congo, Dem. Rep.	35.2	35.2	Q974
Congo, Rep.	60.1	36.1	Q971
Cote d'Ivoire	30.4	17.3	Q1008
Eritrea	5.1	9	Q986
Ethiopia	1.9	1.4	Q115
Gabon	8	7.7	Q1000
Gambia, The	11.5	47.9	Q1005
Ghana	17.5	7.3	Q117
Guinea	8	9	Q1006
Guinea-Bissau	26.4	13.2	Q1007
Kenya	9.7	9.5	Q114
Lesotho	93.9	68.6	Q1013
Liberia	15	15	Q1014
Madagascar	10.5	8.5	Q1019
Malawi	55.7	28.7	Q1020
Mali	50	40.3	Q912
Mauritania	6.2	1.6	Q1025
Mauritius	9.6	11.8	Q1027
Mozambique	34.8	32.6	Q1029
Namibia	79.3	67	Q1030
Niger	24.7	18.2	Q1032
Nigeria	5.8	3.8	Q1033
Rwanda	46.1	31.1	Q1037
Sao Tome and Principe	21.5	23.5	Q1039
Senegal	15.4	14.2	Q1041
Sierra Leone	33.2	6.8	Q1044
Somalia	39.4	18.2	Q1045
South Africa	6.2	9.6	Q258
Sudan	2.6	3.1	Q1049
Eswatini	37.2	78.6	Q1050
Tanzania	13.1	6.2	Q924
Togo	14.3	15.6	Q945
Uganda	22.2	15.6	Q1036
Zambia	59.1	58.7	Q953
Zimbabwe	75.4	76.6	Q954
