Country	Total	ID
Afghanistan	189	Q889
Albania	18	Q222
Algeria	69	Q262
American Samoa	0	Q16641
Andorra	3	Q228
Angola	355	Q916
Antigua and Barbuda	6	Q781
Argentina	27	Q414
Armenia	31	Q399
Aruba	5	Q21203
Australia	7	Q408
Austria	7	Q40
Azerbaijan	63	Q227
Bahamas, The	14	Q778
Bahrain	11	Q398
Bangladesh	221	Q902
Barbados	0	Q244
Belarus	31	Q184
Belgium	9	Q31
Belize	30	Q242
Benin	56	Q962
Bermuda	4	Q23635
Bhutan	149	Q917
Bolivia	108	Q750
Bosnia and Herzegovina	25	Q225
Botswana	275	Q963
Brazil	45	Q155
Brunei Darussalam	68	Q921
Bulgaria	22	Q219
Burkina Faso	48	Q965
Burundi	111	Q967
Cabo Verde	46	Q1011
Cambodia	302	Q424
Cameroon	186	Q1009
Canada	6	Q16
Cayman Islands	5	Q5785
Central African Republic	540	Q929
Chad	142	Q657
Chile	18	Q298
China	61	Q148
Hong Kong SAR, China	67	Q8646
Macao SAR, China	60	Q14773
Colombia	33	Q739
Comoros	35	Q970
Congo, Dem. Rep.	321	Q974
Congo, Rep.	375	Q971
Costa Rica	10	Q800
Cote d'Ivoire	142	Q1008
Croatia	8	Q224
Cuba	7	Q241
Curacao	6	Q25279
Cyprus	5	Q229
Czech Republic	5	Q213
Denmark	5	Q35
Djibouti	260	Q977
Dominica	6	Q784
Dominican Republic	45	Q786
Ecuador	44	Q736
Egypt, Arab Rep.	12	Q79
El Salvador	70	Q792
Equatorial Guinea	201	Q983
Eritrea	89	Q986
Estonia	13	Q191
Eswatini	329	Q1050
Ethiopia	151	Q115
Fiji	54	Q712
Finland	5	Q33
France	9	Q142
French Polynesia	22	Q30971
Gabon	525	Q1000
Gambia, The	174	Q1005
Georgia	80	Q230
Germany	7	Q183
Ghana	148	Q117
Greece	5	Q41
Greenland	100	Q223
Grenada	2	Q769
Guam	49	Q16635
Guatemala	26	Q774
Guinea	176	Q1006
Guinea-Bissau	361	Q1007
Guyana	83	Q734
Haiti	176	Q790
Honduras	37	Q783
Hungary	6	Q28
Iceland	3	Q189
India	199	Q668
Indonesia	316	Q252
Iran, Islamic Rep.	14	Q794
Iraq	42	Q796
Ireland	7	Q27
Israel	4	Q801
Italy	7	Q38
Jamaica	3	Q766
Japan	14	Q17
Jordan	5	Q810
Kazakhstan	68	Q232
Kenya	292	Q114
Kiribati	349	Q710
Korea, Dem. People’s Rep.	513	Q423
Korea, Rep.	66	Q884
Kuwait	23	Q817
Kyrgyz Republic	116	Q813
Lao PDR	162	Q819
Latvia	29	Q211
Lebanon	11	Q822
Lesotho	611	Q1013
Liberia	308	Q1014
Libya	40	Q1016
Lithuania	44	Q37
Luxembourg	8	Q32
Madagascar	233	Q1019
Malawi	181	Q1020
Malaysia	92	Q833
Maldives	33	Q826
Mali	53	Q912
Malta	14	Q233
Marshall Islands	434	Q709
Mauritania	93	Q1025
Mauritius	13	Q1027
Mexico	23	Q96
Micronesia, Fed. Sts.	108	Q702
Moldova	86	Q217
Monaco	0	Q235
Mongolia	428	Q711
Montenegro	15	Q236
Morocco	99	Q1028
Mozambique	551	Q1029
Myanmar	338	Q836
Namibia	524	Q1030
Nepal	151	Q837
Netherlands	5	Q55
New Caledonia	15	Q33788
New Zealand	7	Q664
Nicaragua	41	Q811
Niger	87	Q1032
Nigeria	219	Q1033
North Macedonia	13	Q221
Northern Mariana Islands	95	Q16644
Norway	4	Q20
Oman	6	Q842
Pakistan	265	Q843
Palau	109	Q695
Panama	52	Q804
Papua New Guinea	432	Q691
Paraguay	43	Q733
Peru	123	Q419
Philippines	554	Q928
Poland	16	Q36
Portugal	24	Q45
Puerto Rico	1	Q1183
Qatar	31	Q846
Romania	68	Q218
Russian Federation	54	Q159
Rwanda	59	Q1037
Samoa	6	Q683
San Marino	0	Q238
Sao Tome and Principe	124	Q1039
Saudi Arabia	10	Q851
Senegal	118	Q1041
Serbia	17	Q403
Seychelles	18	Q1042
Sierra Leone	298	Q1044
Singapore	47	Q334
Sint Maarten (Dutch part)	19	Q26273
Slovak Republic	6	Q214
Slovenia	5	Q215
Solomon Islands	74	Q685
Somalia	262	Q1045
South Africa	520	Q258
South Sudan	146	Q958
Spain	9	Q29
Sri Lanka	64	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	3	Q760
St. Vincent and the Grenadines	6	Q757
Sudan	71	Q1049
Suriname	38	Q730
Sweden	6	Q34
Switzerland	6	Q39
Syrian Arab Republic	19	Q858
Tajikistan	84	Q863
Tanzania	253	Q924
Thailand	153	Q869
Timor-Leste	498	Q574
Togo	36	Q945
Tonga	10	Q678
Trinidad and Tobago	21	Q754
Tunisia	35	Q948
Turkey	16	Q43
Turkmenistan	46	Q874
Turks and Caicos Islands	6	Q18221
Tuvalu	270	Q672
Uganda	200	Q1036
Ukraine	80	Q212
United Arab Emirates	1	Q878
United Kingdom	8	Q145
United States	3	Q30
Uruguay	33	Q77
Uzbekistan	70	Q265
Vanuatu	46	Q686
Venezuela, RB	48	Q717
Vietnam	182	Q881
West Bank and Gaza	1	Q407199
Yemen, Rep.	48	Q805
Zambia	346	Q953
Zimbabwe	210	Q954
