Country	Residents	Nonresidents	ID
Algeria	1033	385	Q262
Argentina	932	675	Q414
Armenia	61	437	Q399
Australia	3095	4934	Q408
Austria	701	1439	Q40
Azerbaijan	54	535	Q227
Bahrain	5	79	Q398
Bangladesh	1897	117	Q902
Barbados	1	1	Q244
Belarus	183	265	Q184
Belize	2	213	Q242
Bolivia	16	43	Q750
Bosnia and Herzegovina	76	793	Q225
Brazil	3696	2415	Q155
Brunei Darussalam	1	89	Q921
Bulgaria	433	112	Q219
Cambodia	9	60	Q424
Canada	774	6044	Q16
Cabo Verde	31	7	Q1011
Chile	49	553	Q298
China	689097	19702	Q148
Hong Kong SAR, China	1247	3188	Q8646
Macao SAR, China	67	141	Q14773
Colombia	288	350	Q739
Costa Rica	8	62	Q800
Croatia	367	459	Q224
Cuba	11	10	Q241
Czech Republic	627	91	Q213
Denmark	177	275	Q35
Dominican Republic	5	26	Q786
Ecuador	246	107	Q736
Egypt, Arab Rep.	1668	1144	Q79
El Salvador	19	27	Q792
Estonia	62	80	Q191
Finland	157	105	Q33
France	11661	834	Q142
Georgia	204	429	Q230
Germany	38815	5645	Q183
Ghana	796	92	Q117
Greece	541	482	Q41
Guatemala	35	223	Q774
Honduras	4	25	Q783
Hungary	595	94	Q28
Iceland	15	609	Q189
India	8928	3704	Q668
Indonesia	2432	1367	Q252
Iran, Islamic Rep.	14610	164	Q794
Iraq	81	8	Q796
Ireland	88	467	Q27
Israel	981	707	Q801
Italy	34812	1212	Q38
Jamaica	114	7	Q766
Japan	23459	8009	Q17
Jordan	26	23	Q810
Kazakhstan	83	170	Q232
Kenya	170	7	Q114
Korea, Rep.	60075	7979	Q884
Kyrgyz Republic	11	502	Q813
Latvia	154	39	Q211
Liechtenstein	261	712	Q347
Lithuania	160	371	Q37
North Macedonia	63	783	Q221
Madagascar	293	7	Q1019
Malaysia	528	1317	Q833
Mauritius	75	24	Q1027
Mexico	1627	2322	Q96
Moldova	432	548	Q217
Monaco	74	853	Q235
Mongolia	739	370	Q711
Montenegro	1	737	Q236
Morocco	3879	1673	Q1028
Mozambique	5	64	Q1029
Nepal	15	25	Q837
New Zealand	463	1118	Q664
Nigeria	1146	26	Q1033
Norway	555	3646	Q20
Oman	25	948	Q842
Pakistan	453	135	Q843
Panama	3	68	Q804
Papua New Guinea	3	36	Q691
Paraguay	159	62	Q733
Peru	134	247	Q419
Philippines	929	660	Q928
Portugal	1288	62	Q45
Romania	438	309	Q218
Russian Federation	3822	5121	Q159
Rwanda	5	63	Q1037
San Marino	17	4	Q238
Saudi Arabia	345	572	Q851
Serbia	196	904	Q403
Singapore	342	3705	Q334
Slovak Republic	272	58	Q214
Slovenia	40	492	Q215
South Africa	977	966	Q258
Spain	18219	634	Q29
Sri Lanka	228	60	Q854
Sudan	114	47	Q1049
Sweden	457	122	Q34
Switzerland	3446	8194	Q39
Syrian Arab Republic	359	88	Q858
Thailand	4044	1425	Q869
Trinidad and Tobago	160	14	Q754
Tunisia	164	1164	Q948
Turkey	35461	6859	Q43
Ukraine	5261	2905	Q212
United Kingdom	22904	4538	Q145
United States	22824	24313	Q30
Uruguay	53	62	Q77
Uzbekistan	307	26	Q265
Vietnam	1891	1475	Q881
Yemen, Rep.	17	3	Q805
Zambia	30	1	Q953
