Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)	ID
Albania	1.6	3.9	Q222
Antigua and Barbuda	4.3	2.6	Q781
Argentina	3.6	2.1	Q414
Australia	2.7	2.5	Q408
Austria	2.5	1.2	Q40
Azerbaijan	-2.1	9.4	Q227
Bahamas, The	0.1	5.8	Q778
Bangladesh	7.3	8.6	Q902
Belarus	-1.9	6	Q184
Belgium	3.3	0.9	Q31
Belize	2.8	1.5	Q242
Benin	3.9	2.5	Q962
Bhutan	6.6	8.4	Q917
Bolivia	4.1	5	Q750
Botswana	2.6	0.6	Q963
Brazil	2.1	1.6	Q155
Brunei Darussalam	2	-1.3	Q921
Bulgaria	-0.5	2.8	Q219
Burkina Faso	5.5	7.1	Q965
Burundi	-5.2	1.4	Q967
Cabo Verde	9	4.2	Q1011
Cambodia	14.5	9.9	Q424
Cameroon	-2	4.1	Q1009
Chile	6.2	1.8	Q298
China	13.7	9.9	Q148
Colombia	1.1	3.7	Q739
Comoros	1.6	2.8	Q970
Congo, Dem. Rep.	-8.3	8.5	Q974
Congo, Rep.	4.5	2.6	Q971
Costa Rica	4.3	1.9	Q800
Croatia	3.6	0	Q224
Cuba	-1.4	2.9	Q241
Cyprus	0.8	-1.1	Q229
Czech Republic	1.8	3.2	Q213
Denmark	2.6	0	Q35
Dominica	3.9	1.2	Q784
Dominican Republic	7.9	4.4	Q786
Ecuador	1.5	3.7	Q736
Egypt, Arab Rep.	4.5	3.6	Q79
El Salvador	4.3	1.9	Q792
Estonia	6.2	3.5	Q191
Eswatini	3.1	2.9	Q1050
Ethiopia	4.2	13.9	Q115
Fiji	4	2.8	Q712
Finland	3.5	0.5	Q33
France	1.2	0.1	Q142
Gabon	1.6	0	Q1000
Germany	-0.2	1.4	Q183
Greece	4.3	-2.8	Q41
Grenada	6.4	0.3	Q769
Guatemala	3.8	2.6	Q774
Guinea	4.7	3	Q1006
Guyana	6.2	4.1	Q734
Haiti	-3.9	3.4	Q790
Honduras	3.8	2.9	Q783
Hungary	6.7	1.4	Q28
Iceland	5.2	2	Q189
India	6	6.9	Q668
Indonesia	5.3	4.4	Q252
Iran, Islamic Rep.	1.5	1.8	Q794
Iraq	16.1	5.1	Q796
Ireland	12.5	4.4	Q27
Israel	4.3	2.4	Q801
Italy	0.9	-1	Q38
Jamaica	-0.8	-0.8	Q766
Japan	0.4	0.5	Q17
Jordan	4.4	4.7	Q810
Kazakhstan	-8.6	5.4	Q232
Kenya	1.2	5.2	Q114
Kiribati	6.9	4.7	Q710
Korea, Rep.	6.3	3.9	Q884
Kyrgyz Republic	-10.3	4.3	Q813
Latvia	5.5	1.1	Q211
Lebanon	4.9	3.5	Q822
Lesotho	8	1.9	Q1013
Lithuania	4.8	3.9	Q37
Luxembourg	4	0.3	Q32
Madagascar	0.5	4.9	Q1019
Malawi	2	5.9	Q1020
Malaysia	7.8	2.9	Q833
Maldives	12.5	7.5	Q826
Mali	7	2.4	Q912
Mauritania	1.1	1.4	Q1025
Mauritius	5.3	1.7	Q1027
Mexico	3.1	0.9	Q96
Micronesia, Fed. Sts.	-0.8	-1.5	Q702
Moldova	-7.1	2.1	Q217
Mongolia	1.5	6.8	Q711
Morocco	2.8	3.3	Q1028
Mozambique	11	7.8	Q1029
Namibia	1.9	3.7	Q1030
Nepal	7.1	3.1	Q837
Netherlands	1.9	0.6	Q55
New Zealand	2.7	1.4	Q664
Nicaragua	2.4	4	Q811
Niger	0.5	5.5	Q1032
Nigeria	-0.6	1.8	Q1033
North Macedonia	-1.6	4.3	Q221
Norway	3.9	-0.2	Q20
Pakistan	4.1	4.4	Q843
Panama	6.1	9.7	Q804
Paraguay	2.6	3.2	Q733
Peru	4.7	4.7	Q419
Philippines	3.2	5.3	Q928
Poland	1.9	4.8	Q36
Portugal	4.6	-1	Q45
Romania	-2.9	3.2	Q218
Russian Federation	-7.1	2.5	Q159
Rwanda	-2	9	Q1037
Samoa	0.7	1.1	Q683
Saudi Arabia	1.4	2.7	Q851
Senegal	3.8	5.1	Q1041
Serbia	3.1	2	Q403
Seychelles	11.6	1	Q1042
Sierra Leone	-3.3	7.4	Q1044
Singapore	7.6	5.2	Q334
Slovak Republic	4.9	5.4	Q214
Slovenia	4.8	1.6	Q215
South Africa	0.9	1.3	Q258
Spain	4.3	-1.1	Q29
Sri Lanka	6.7	5.8	Q854
St. Kitts and Nevis	7	-0.4	Q763
St. Lucia	3.2	2.8	Q760
St. Vincent and the Grenadines	2.5	0.6	Q757
Sudan	8.9	5.3	Q1049
Suriname	0.2	2.7	Q730
Sweden	4	1	Q34
Switzerland	0.3	1.9	Q39
Tajikistan	-11.4	7	Q863
Tanzania	3.1	8.8	Q924
Thailand	2	3.5	Q869
Togo	1.8	5.4	Q945
Tonga	2.6	1.9	Q678
Trinidad and Tobago	3	2.9	Q754
Tunisia	4.4	1.3	Q948
Turkey	4.8	6.4	Q43
Tuvalu	3.1	1.6	Q672
Uganda	12.3	7.7	Q1036
Ukraine	-12.6	-0.9	Q212
United Kingdom	1.2	0	Q145
Uruguay	1.5	2.9	Q77
Uzbekistan	-3.4	8.6	Q265
Vanuatu	1.3	2.6	Q686
Venezuela, RB	1.2	1.7	Q717
Vietnam	11.9	5.9	Q881
West Bank and Gaza	1.6	5.5	Q407199
Yemen, Rep.	5.2	-2.1	Q805
Zambia	-2.2	7.3	Q953
Zimbabwe	1.4	2.4	Q954
