Country	Annual Growth % (2010)	Annual Growth % (2019)	ID
Afghanistan	11.4	12.6	Q889
Albania	8	5.9	Q222
Algeria	-7	8.7	Q262
Angola	-6.9	-12.2	Q916
Antigua and Barbuda	9.3	6	Q781
Argentina	-8.6	10.4	Q414
Armenia	10.6	10.5	Q399
Aruba	11.1	5.2	Q21203
Australia	6	1.7	Q408
Azerbaijan	6	17.6	Q227
Bahamas, The	5.9	2.8	Q778
Bangladesh	4.7	4.9	Q902
Barbados	4.7	5.1	Q244
Belarus	-1.9	2.3	Q184
Belize	12.2	8.9	Q242
Benin	4.2	5.5	Q962
Bhutan	7.6	12	Q917
Bolivia	1	9.2	Q750
Bosnia and Herzegovina	6.3	1.2	Q225
Botswana	2.3	5.7	Q963
Brazil	29.1	32	Q155
Brunei Darussalam	-9.6	9.1	Q921
Bulgaria	9.9	-0.1	Q219
Burkina Faso	1.3	3.1	Q965
Burundi	3.6	13.6	Q967
Cabo Verde	10.5	8.5	Q1011
Canada	-0.3	0.2	Q16
Chile	-3.9	1.8	Q298
China	-1	2.7	Q148
Hong Kong SAR, China	4.7	1.3	Q8646
Macao SAR, China	0.4	2.7	Q14773
Colombia	5.4	7.2	Q739
Comoros	8.7	6.9	Q970
Congo, Dem. Rep.	29.6	28.9	Q974
Costa Rica	9.9	6.9	Q800
Cote d'Ivoire	-0.3	7.1	Q1008
Czech Republic	7.4	0.2	Q213
Dominica	9.1	5	Q784
Dominican Republic	6.3	10.8	Q786
Egypt, Arab Rep.	0.8	2.2	Q79
Eswatini	6.3	8.2	Q1050
Fiji	3.1	4.7	Q712
Gambia, The	20.2	21.7	Q1005
Georgia	1.5	3.9	Q230
Grenada	10	5.6	Q769
Guatemala	7.8	9	Q774
Guinea-Bissau	2.1	-0.8	Q1007
Guyana	8.3	4.4	Q734
Haiti	14.2	-0.4	Q790
Honduras	13.6	12.5	Q783
Hungary	5.1	-2.6	Q28
Iceland	3.6	2.5	Q189
India	-2	7	Q668
Indonesia	-1.7	8.6	Q252
Iran, Islamic Rep.	-3.4	16.1	Q794
Iraq	-1.9	29.8	Q796
Israel	3.4	1.3	Q801
Italy	3.6	1.7	Q38
Jamaica	9.7	5	Q766
Japan	3.6	1.2	Q17
Jordan	0.5	7	Q810
Kenya	12	10.4	Q114
Korea, Rep.	2.7	4.4	Q884
Kosovo	9.2	5.6	Q1246
Kuwait	-5.1	9.3	Q817
Kyrgyz Republic	12.4	20	Q813
Lebanon	7.7	7.4	Q822
Lesotho	1.4	8.4	Q1013
Liberia	7.3	15.8	Q1014
Madagascar	32.5	41.5	Q1019
Malawi	11.1	24	Q1020
Malaysia	-2.1	4.8	Q833
Maldives	7.3	9.2	Q826
Mali	0.7	3.1	Q912
Mauritania	-4.4	12.9	Q1025
Mauritius	7.7	7.4	Q1027
Mexico	0.7	5	Q96
Micronesia, Fed. Sts.	11.1	5.8	Q702
Moldova	-12.7	2.6	Q217
Mongolia	-13.7	7.9	Q711
Mozambique	7.7	15.5	Q1029
Myanmar	9.3	7.5	Q836
Namibia	5.9	8.2	Q1030
New Zealand	3	1.1	Q664
Nicaragua	6.8	7.4	Q811
Niger	1.7	3.8	Q1032
Nigeria	1.1	4.5	Q1033
North Macedonia	8.5	3.2	Q221
Oman	-4.8	-2.1	Q842
Pakistan	2.9	3.3	Q843
Panama	5	5.7	Q804
Papua New Guinea	0.5	4.6	Q691
Paraguay	20.5	15.6	Q733
Peru	12.5	13	Q419
Philippines	3.2	6.3	Q928
Qatar	0.3	9.4	Q846
Romania	10.2	0.2	Q218
Russian Federation	-3	4.8	Q159
Rwanda	13.4	16.1	Q1037
Samoa	5.5	6.6	Q683
San Marino	3.9	0.8	Q238
Sao Tome and Principe	14.6	14.5	Q1039
Senegal	4	4.5	Q1041
Seychelles	17.7	9.1	Q1042
Sierra Leone	3.5	13.5	Q1044
Singapore	4.2	5.2	Q334
Solomon Islands	7.1	7	Q685
South Africa	3.3	5.9	Q258
Sri Lanka	-10.2	8.9	Q854
St. Kitts and Nevis	6.2	7	Q763
St. Lucia	5.9	6.7	Q760
St. Vincent and the Grenadines	4.5	6.9	Q757
Suriname	4.1	-1	Q730
Switzerland	2.4	2.2	Q39
Tajikistan	9.7	21.3	Q863
Tanzania	4.7	11.8	Q924
Thailand	0.2	3.3	Q869
Timor-Leste	0.2	11.8	Q574
Togo	4.5	4.2	Q945
Tonga	7.6	4.3	Q678
Trinidad and Tobago	-3.1	8.2	Q754
Uganda	13.8	15.1	Q1036
Ukraine	1.7	10.8	Q212
United States	2.1	3.5	Q30
Uruguay	5.2	3.6	Q77
Uzbekistan	4	3.7	Q265
Vanuatu	2.8	0	Q686
Vietnam	0.9	5.8	Q881
West Bank and Gaza	-6.3	1	Q407199
Zambia	6.1	6.6	Q953
Zimbabwe	7.3	21.1	Q954
