Country	Index	ID
Afghanistan	2.7	Q889
Burkina Faso	3.6	Q965
Burundi	2.9	Q967
Cameroon	3.3	Q1009
Central African Republic	2.6	Q929
Chad	2.7	Q657
Comoros	2.8	Q970
Congo, Dem. Rep.	2.9	Q974
Congo, Rep.	2.7	Q971
Cote d'Ivoire	3.5	Q1008
Eritrea	2	Q986
Gambia, The	3	Q1005
Guinea-Bissau	2.5	Q1007
Haiti	2.8	Q790
Kiribati	2.9	Q710
Kosovo	3.5	Q1246
Liberia	2.9	Q1014
Mali	3.4	Q912
Marshall Islands	2.6	Q709
Micronesia, Fed. Sts.	2.8	Q702
Myanmar	3	Q836
Niger	3.4	Q1032
Nigeria	3.1	Q1033
Papua New Guinea	3	Q691
Solomon Islands	2.9	Q685
Somalia	1.8	Q1045
South Sudan	1.5	Q958
Sudan	2.3	Q1049
Timor-Leste	2.8	Q574
Tuvalu	2.9	Q672
Yemen, Rep.	2	Q805
Zimbabwe	2.8	Q954
