Country	Reference Year	Population below $1.90 a day	Population below $3.20 a day	Population below $5.50 a day	ID
Albania	2017	1.7	10.4	38	Q222
Algeria	2011	0.5	3.9	29.2	Q262
Angola	2018	47.6	69.8	87.2	Q916
Argentina	2018	1	3	9.6	Q414
Armenia	2018	2.1	13	50.4	Q399
Australia	2014	0.5	0.7	0.7	Q408
Austria	2017	0.3	0.4	0.7	Q40
Azerbaijan	2005	0	0	8.2	Q227
Bangladesh	2016	14.8	52.9	84.5	Q902
Belarus	2018	0	0	0.4	Q184
Belgium	2017	0.1	0.2	0.3	Q31
Belize	1999	13.9	28.1	53	Q242
Benin	2015	49.5	76.2	90.6	Q962
Bhutan	2017	1.5	12	38.6	Q917
Bolivia	2018	4.5	10.6	23.1	Q750
Bosnia and Herzegovina	2011	0.1	0.8	3.9	Q225
Botswana	2015	16.1	38.5	60.4	Q963
Brazil	2018	4.4	9.2	19.9	Q155
Bulgaria	2017	1.3	3.1	7.5	Q219
Burkina Faso	2014	43.7	76.4	92.3	Q965
Burundi	2013	71.8	89.3	96.8	Q967
Cabo Verde	2015	3.2	14.9	40.8	Q1011
Cameroon	2014	23.8	44.7	68.9	Q1009
Canada	2013	0.5	0.5	0.7	Q16
Central African Republic	2008	66.3	83.1	92.8	Q929
Chad	2011	38.4	66.5	86.2	Q657
Chile	2017	0.3	0.7	3.7	Q298
China	2016	0.5	5.4	23.9	Q148
Colombia	2018	4.1	10.9	27.8	Q739
Comoros	2014	17.6	36.9	62.3	Q970
Congo, Dem. Rep.	2012	76.6	91	97.7	Q974
Congo, Rep.	2011	37	61.3	82.4	Q971
Costa Rica	2018	1.4	3.6	10.9	Q800
Cote d'Ivoire	2015	28.2	57.4	82.3	Q1008
Croatia	2017	0.5	1.2	3.8	Q224
Cyprus	2017	0	0.1	0.1	Q229
Czech Republic	2017	0	0.1	0.4	Q213
Denmark	2017	0.1	0.2	0.2	Q35
Djibouti	2017	17.1	40.2	70.6	Q977
Dominican Republic	2018	0.4	2.6	13.8	Q786
Ecuador	2018	3.3	9.7	24.2	Q736
Egypt, Arab Rep.	2017	3.2	26.1	70.4	Q79
El Salvador	2018	1.5	7.7	25.7	Q792
Estonia	2017	0.3	0.6	1.1	Q191
Ethiopia	2015	30.8	68.9	90.2	Q115
Fiji	2013	1.4	14.1	48.6	Q712
Finland	2017	0.1	0.1	0.1	Q33
France	2017	0	0	0.1	Q142
Gabon	2017	3.4	11.2	32.2	Q1000
Gambia, The	2015	10.1	37.8	72.5	Q1005
Georgia	2018	4.5	15.7	42.9	Q230
Germany	2016	0	0.2	0.5	Q183
Ghana	2016	13.3	30.5	56.9	Q117
Greece	2017	0.9	1.6	4.4	Q41
Guatemala	2014	8.7	24.2	48.8	Q774
Guinea	2012	35.3	70.3	92.3	Q1006
Guinea-Bissau	2010	67.1	84.5	93.4	Q1007
Guyana	1998	13.7	28.9	55.5	Q734
Haiti	2012	24.2	49.9	78.4	Q790
Honduras	2018	16.5	30	50.3	Q783
Hungary	2017	0.6	1.2	3	Q28
Iceland	2015	0	0	0.1	Q189
India	2011	21.2	60.4	86.8	Q668
Indonesia	2018	4.6	24.2	56	Q252
Iran, Islamic Rep.	2017	0.3	2.3	10.9	Q794
Iraq	2012	2.5	17.9	57.3	Q796
Ireland	2016	0.1	0.4	0.7	Q27
Israel	2016	0.2	0.7	2.7	Q801
Italy	2017	1.4	1.8	3.2	Q38
Jamaica	2004	1.7	9.1	29.7	Q766
Japan	2013	0.7	0.9	1.2	Q17
Jordan	2010	0.1	2.1	18.1	Q810
Kazakhstan	2017	0	0.4	8.6	Q232
Kenya	2015	36.8	66.2	86.5	Q114
Kiribati	2006	12.9	34.6	69.4	Q710
Korea, Rep.	2012	0.2	0.5	1.2	Q884
Kosovo	2017	0.2	2.6	21.6	Q1246
Kyrgyz Republic	2018	0.9	15.5	61.3	Q813
