Country	Individuals using the Internet	ID
Afghanistan	11.4	Q889
Albania	69.6	Q222
Algeria	49	Q262
Andorra	91.6	Q228
Angola	14.3	Q916
Antigua and Barbuda	73	Q781
Argentina	74.3	Q414
Armenia	68.2	Q399
Aruba	97.2	Q21203
Australia	86.5	Q408
Austria	87.5	Q40
Azerbaijan	79.8	Q227
Bahamas, The	85	Q778
Bahrain	98.6	Q398
Bangladesh	12.9	Q902
Barbados	81.8	Q244
Belarus	79.1	Q184
Belgium	88.7	Q31
Belize	47.1	Q242
Benin	14.1	Q962
Bermuda	98.4	Q23635
Bhutan	41.8	Q917
Bolivia	44.3	Q750
Bosnia and Herzegovina	70.1	Q225
Botswana	41.4	Q963
Brazil	70.4	Q155
British Virgin Islands	77.7	Q25305
Brunei Darussalam	95	Q921
Bulgaria	64.8	Q219
Burkina Faso	15.9	Q965
Burundi	2.7	Q967
Cabo Verde	57.2	Q1011
Cambodia	40.5	Q424
Cameroon	23.2	Q1009
Canada	92.7	Q16
Cayman Islands	81.1	Q5785
Central African Republic	4.3	Q929
Chad	6.5	Q657
Chile	82.3	Q298
China	54.3	Q148
Colombia	64.1	Q739
Comoros	8.5	Q970
Congo, Dem. Rep.	8.6	Q974
Congo, Rep.	8.7	Q971
Costa Rica	73.5	Q800
Cote d'Ivoire	37.5	Q1008
Croatia	75.3	Q224
Cuba	62.7	Q241
Curacao	68.1	Q25279
Cyprus	84.4	Q229
Czech Republic	80.7	Q213
Denmark	97.3	Q35
Djibouti	55.7	Q977
Dominica	69.6	Q784
Dominican Republic	74.8	Q786
Ecuador	54.1	Q736
Egypt, Arab Rep.	46.9	Q79
El Salvador	33.8	Q792
Equatorial Guinea	26.2	Q983
Eritrea	1.3	Q986
Estonia	89.4	Q191
Eswatini	30.3	Q1050
Ethiopia	18.6	Q115
Faroe Islands	97.6	Q4628
Fiji	50	Q712
Finland	88.9	Q33
France	82	Q142
French Polynesia	72.7	Q30971
Gabon	50.3	Q1000
Gambia, The	19.8	Q1005
Georgia	62.7	Q230
Germany	87	Q183
Ghana	37.9	Q117
Gibraltar	94.4	Q1410
Greece	72.2	Q41
Greenland	69.5	Q223
Grenada	59.1	Q769
Guam	80.5	Q16635
Guatemala	40.7	Q774
Guinea	21.8	Q1006
Guinea-Bissau	3.9	Q1007
Guyana	37.3	Q734
Haiti	32.5	Q790
Honduras	32.1	Q783
Hong Kong SAR, China	90.5	Q8646
Hungary	76.1	Q28
Iceland	99	Q189
India	20.1	Q668
Indonesia	39.9	Q252
Iran, Islamic Rep.	70	Q794
Iraq	75	Q796
Ireland	84.5	Q27
Israel	83.7	Q801
Italy	74.4	Q38
Jamaica	55.1	Q766
Japan	91.3	Q17
Jordan	66.8	Q810
Kazakhstan	78.9	Q232
Kenya	22.6	Q114
Kiribati	14.6	Q710
Korea, Rep.	96	Q884
Kosovo	89.4	Q1246
Kuwait	99.6	Q817
Kyrgyz Republic	38.2	Q813
Lao PDR	25.5	Q819
Latvia	83.6	Q211
Lebanon	78.2	Q822
Lesotho	29.8	Q1013
Liberia	8	Q1014
Libya	21.8	Q1016
Liechtenstein	99.5	Q347
Lithuania	79.7	Q37
Luxembourg	97.1	Q32
Macao SAR, China	83.8	Q14773
North Macedonia	79.2	Q221
Madagascar	4.7	Q1019
Malawi	13.8	Q1020
Malaysia	81.2	Q833
Maldives	63.2	Q826
Mali	12.7	Q912
Malta	81.7	Q233
Marshall Islands	38.7	Q709
Mauritania	20.8	Q1025
Mauritius	58.6	Q1027
Mexico	65.8	Q96
Micronesia, Fed. Sts.	35.3	Q702
Moldova	76.1	Q217
Monaco	97.1	Q235
Mongolia	47.1	Q711
Montenegro	71.5	Q236
Morocco	64.8	Q1028
Mozambique	20.8	Q1029
Myanmar	23.6	Q836
Namibia	36.8	Q1030
Nauru	62.4	Q697
Nepal	21.4	Q837
Netherlands	92.6	Q55
New Caledonia	82	Q33788
New Zealand	90.8	Q664
Nicaragua	27.9	Q811
Niger	5.3	Q1032
Nigeria	7.5	Q1033
Norway	96.5	Q20
Oman	92.4	Q842
Pakistan	17.1	Q843
Panama	61.8	Q804
Papua New Guinea	11.2	Q691
Paraguay	65	Q733
Peru	55.1	Q419
Philippines	43	Q928
Poland	77.5	Q36
Portugal	74.7	Q45
Puerto Rico	70.9	Q1183
Qatar	99.7	Q846
Romania	70.7	Q218
Russian Federation	80.9	Q159
Rwanda	21.8	Q1037
Samoa	33.6	Q683
San Marino	60.2	Q238
Sao Tome and Principe	29.9	Q1039
Saudi Arabia	93.3	Q851
Senegal	29.6	Q1041
Serbia	73.4	Q403
Seychelles	58.8	Q1042
Sierra Leone	13.2	Q1044
Singapore	88.2	Q334
Slovak Republic	80.4	Q214
Slovenia	79.7	Q215
Solomon Islands	11.9	Q685
Somalia	2	Q1045
South Africa	56.2	Q258
South Sudan	8	Q958
Spain	86.1	Q29
Sri Lanka	34.1	Q854
St. Kitts and Nevis	80.7	Q763
St. Lucia	50.8	Q760
St. Vincent and the Grenadines	20.7	Q757
Sudan	30.9	Q1049
Suriname	48.9	Q730
Sweden	94.5	Q34
Switzerland	93.1	Q39
Syrian Arab Republic	34.3	Q858
Tajikistan	22	Q863
Tanzania	16	Q924
Thailand	56.8	Q869
Timor-Leste	27.5	Q574
Togo	12.4	Q945
Tonga	41.2	Q678
Trinidad and Tobago	77.3	Q754
Tunisia	64.2	Q948
Turkey	71	Q43
Turkmenistan	21.3	Q874
Tuvalu	49.3	Q672
Uganda	23.7	Q1036
Ukraine	62.6	Q212
United Arab Emirates	98.5	Q878
United Kingdom	90.7	Q145
United States	88.5	Q30
Uruguay	74.4	Q77
Uzbekistan	55.2	Q265
Vanuatu	25.7	Q686
Venezuela, RB	64.3	Q717
Vietnam	69.8	Q881
Virgin Islands (U.S.)	64.4	Q11703
West Bank and Gaza	64.4	Q407199
Yemen, Rep.	26.7	Q805
Zambia	14.3	Q953
Zimbabwe	27.1	Q954
