Country	Articles	ID
Afghanistan	112	Q889
Albania	180	Q222
Algeria	5231	Q262
Andorra	4	Q228
Angola	30	Q916
Antigua and Barbuda	6	Q781
Argentina	8811	Q414
Armenia	521	Q399
Australia	53610	Q408
Austria	12362	Q40
Azerbaijan	761	Q227
Bahamas, The	20	Q778
Bahrain	322	Q398
Bangladesh	3135	Q902
Barbados	38	Q244
Belarus	1180	Q184
Belgium	15688	Q31
Belize	9	Q242
Benin	228	Q962
Bhutan	53	Q917
Bolivia	103	Q750
Bosnia and Herzegovina	704	Q225
Botswana	281	Q963
Brazil	60148	Q155
Brunei Darussalam	294	Q921
Bulgaria	3311	Q219
Burkina Faso	252	Q965
Burundi	21	Q967
Cambodia	146	Q424
Cameroon	876	Q1009
Canada	59968	Q16
Cabo Verde	9	Q1011
Central African Republic	20	Q929
Chad	15	Q657
Chile	7122	Q298
China	528263	Q148
Colombia	7195	Q739
Comoros	3	Q970
Congo, Dem. Rep.	149	Q974
Congo, Rep.	67	Q971
Costa Rica	507	Q800
Cote d'Ivoire	248	Q1008
Croatia	4277	Q224
Cuba	969	Q241
Cyprus	1245	Q229
Czech Republic	15577	Q213
Denmark	13979	Q35
Djibouti	6	Q977
Dominica	13	Q784
Dominican Republic	49	Q786
Ecuador	2142	Q736
Egypt, Arab Rep.	13327	Q79
El Salvador	45	Q792
Equatorial Guinea	3	Q983
Eritrea	21	Q986
Estonia	1415	Q191
Ethiopia	1994	Q115
Fiji	140	Q712
Finland	10599	Q33
France	66352	Q142
Gabon	64	Q1000
Gambia, The	34	Q1005
Georgia	550	Q230
Germany	104396	Q183
Ghana	1276	Q117
Greece	10907	Q41
Greenland	30	Q223
Grenada	46	Q769
Guatemala	100	Q774
Guinea	28	Q1006
Guinea-Bissau	15	Q1007
Guyana	14	Q734
Haiti	29	Q790
Honduras	45	Q783
Hungary	6701	Q28
Iceland	681	Q189
India	135788	Q668
Indonesia	26948	Q252
Iran, Islamic Rep.	48306	Q794
Iraq	6073	Q796
Ireland	7174	Q27
Israel	12235	Q801
Italy	71240	Q38
Jamaica	164	Q766
Japan	98793	Q17
Jordan	2627	Q810
Kazakhstan	2367	Q232
Kenya	1247	Q114
Kiribati	1	Q710
Korea, Dem. Peopleâ€™s Rep.	87	Q423
Korea, Rep.	66376	Q884
Kosovo	278	Q1246
Kuwait	1004	Q817
Kyrgyz Republic	137	Q813
Lao PDR	87	Q819
Latvia	1418	Q211
Lebanon	1776	Q822
Lesotho	19	Q1013
Liberia	25	Q1014
Libya	162	Q1016
Liechtenstein	30	Q347
Lithuania	2267	Q37
Luxembourg	869	Q32
North Macedonia	493	Q221
Madagascar	127	Q1019
Malawi	231	Q1020
Malaysia	23661	Q833
Maldives	7	Q826
Mali	90	Q912
Malta	422	Q233
Marshall Islands	2	Q709
Mauritania	20	Q1025
Mauritius	127	Q1027
Mexico	16346	Q96
Micronesia, Fed. Sts.	4	Q702
Moldova	210	Q217
Monaco	45	Q235
Mongolia	141	Q711
Montenegro	250	Q236
Morocco	5057	Q1028
Mozambique	139	Q1029
Myanmar	231	Q836
Namibia	156	Q1030
Nepal	792	Q837
Netherlands	30457	Q55
New Zealand	7889	Q664
Nicaragua	44	Q811
Niger	55	Q1032
Nigeria	5602	Q1033
Norway	11803	Q20
Oman	856	Q842
Pakistan	12904	Q843
Palau	7	Q695
Panama	173	Q804
Papua New Guinea	64	Q691
Paraguay	98	Q733
Peru	1630	Q419
Philippines	2237	Q928
Poland	35663	Q36
Portugal	14295	Q45
Puerto Rico	515	Q1183
Qatar	1503	Q846
Romania	10345	Q218
Russian Federation	81579	Q159
Rwanda	170	Q1037
Samoa	11	Q683
San Marino	11	Q238
Sao Tome and Principe	1	Q1039
Saudi Arabia	10898	Q851
Senegal	388	Q1041
Serbia	4523	Q403
Seychelles	10	Q1042
Sierra Leone	41	Q1044
Singapore	11459	Q334
Slovak Republic	5322	Q214
Slovenia	3206	Q215
Solomon Islands	13	Q685
Somalia	10	Q1045
South Africa	13009	Q258
South Sudan	9	Q958
Spain	54537	Q29
Sri Lanka	1348	Q854
St. Kitts and Nevis	26	Q763
St. Lucia	4	Q760
St. Vincent and the Grenadines	1	Q757
Sudan	398	Q1049
Suriname	17	Q730
Eswatini	34	Q1050
Sweden	20421	Q34
Switzerland	21379	Q39
Syrian Arab Republic	275	Q858
Tajikistan	62	Q863
Tanzania	603	Q924
Thailand	12514	Q869
Timor-Leste	14	Q574
Togo	86	Q945
Tonga	5	Q678
Trinidad and Tobago	211	Q754
Tunisia	5565	Q948
Turkey	33536	Q43
Turkmenistan	4	Q874
Tuvalu	1	Q672
Uganda	673	Q1036
Ukraine	10380	Q212
United Arab Emirates	3145	Q878
United Kingdom	97681	Q145
United States	422808	Q30
Uruguay	852	Q77
Uzbekistan	354	Q265
Vanuatu	6	Q686
Venezuela, RB	639	Q717
Vietnam	4286	Q881
West Bank and Gaza	376	Q407199
Yemen, Rep.	137	Q805
Zambia	213	Q953
Zimbabwe	359	Q954
