Country	Total_2000	Total_2018	Female_2000	Female_2018	ID
Afghanistan	5	10.3	15	21.3	Q889
Albania	1.3	1.3	41.6	41.5	Q222
Algeria	8.9	12.2	13.5	17.6	Q262
Angola	6.7	12.7	49	50.2	Q916
Argentina	16.3	20.6	42.1	43	Q414
Armenia	1.2	1.3	46.7	46.2	Q399
Australia	9.6	13.3	43.6	46.5	Q408
Austria	3.9	4.6	43.5	46.4	Q40
Azerbaijan	3.5	5.1	46.7	48.8	Q227
Bahamas, The	0.2	0.2	47.9	47.5	Q778
Bahrain	0.3	0.9	21.3	20.5	Q398
Bangladesh	46.5	68.8	22.6	30.3	Q902
Barbados	0.1	0.2	48.4	49.4	Q244
Belarus	4.8	5.1	48.8	49	Q184
Belgium	4.4	5.1	43	46.2	Q31
Belize	0.1	0.2	32.8	38.7	Q242
Benin	2.7	4.7	45.9	49.2	Q962
Bhutan	0.2	0.4	42.9	40.8	Q917
Bolivia	3.7	5.6	42.1	44.2	Q750
Bosnia and Herzegovina	1.3	1.3	38.2	39.2	Q225
Botswana	0.6	1	45	48.8	Q963
Brazil	78.5	105.5	40	43.6	Q155
Brunei Darussalam	0.2	0.2	40.8	42.7	Q921
Bulgaria	3.4	3.3	45.9	46.2	Q219
Burkina Faso	4.8	7.2	45.8	44.7	Q965
Burundi	2.7	4.8	52.2	51.9	Q967
Cabo Verde	0.1	0.2	40.1	44	Q1011
Cambodia	5.6	9.2	51.6	48.4	Q424
Cameroon	7	11	48.3	47.1	Q1009
Canada	16.2	20.3	45.7	47.4	Q16
Central African Republic	1.5	1.9	46.3	45.7	Q929
Chad	3.1	5.8	45.1	45.5	Q657
Channel Islands	0.1	0.1	43.1	44.2	Q42314
Chile	6.3	9.4	35	42.2	Q298
China	734.8	783.4	45.1	43.8	Q148
Hong Kong SAR, China	3.4	4	41.6	49.3	Q8646
Macao SAR, China	0.2	0.4	45.5	48.5	Q14773
Colombia	18.1	26.2	41.1	42.9	Q739
Comoros	0.1	0.2	38.4	42.1	Q970
Congo, Dem. Rep.	18.4	28.8	50.2	48.4	Q974
Congo, Rep.	1.2	2.1	49.9	49	Q971
Costa Rica	1.6	2.4	32.6	38.9	Q800
Cote d'Ivoire	6.1	8.3	35	41.6	Q1008
Croatia	2	1.8	44.4	46.5	Q224
Cuba	4.5	5.1	35.4	38.6	Q241
Cyprus	0.4	0.6	40.7	46	Q229
Czech Republic	5.2	5.5	44.6	44.7	Q213
Denmark	2.9	3	46.5	47.4	Q35
Djibouti	0.3	0.4	37.5	39.8	Q977
Dominican Republic	3.3	4.9	34.1	40.2	Q786
Ecuador	5.6	8.4	38.3	40.8	Q736
Egypt, Arab Rep.	20	30.2	21.7	23.5	Q79
El Salvador	2.3	2.8	39.5	41.9	Q792
Equatorial Guinea	0.2	0.5	40.6	36.8	Q983
Estonia	0.7	0.7	48.6	48.3	Q191
Eswatini	0.3	0.4	46.4	48.2	Q1050
Ethiopia	28.5	51.4	44.8	46.5	Q115
Fiji	0.3	0.4	31.7	32.9	Q712
Finland	2.6	2.7	47.6	48	Q33
France	27.4	30.4	45.6	48	Q142
French Polynesia	0.1	0.1	39.7	43.5	Q30971
Gabon	0.3	0.7	39.5	40	Q1000
Gambia, The	0.4	0.8	41	44	Q1005
Georgia	2	2	46.5	44.9	Q230
Germany	40.3	43.6	43.7	46.3	Q183
