Country	1990	2018	ID
Afghanistan	50	64	Q889
Albania	72	78	Q222
Algeria	67	77	Q262
Angola	45	61	Q916
Antigua and Barbuda	72	77	Q781
Argentina	72	77	Q414
Armenia	68	75	Q399
Aruba	73	76	Q21203
Australia	77	83	Q408
Austria	76	82	Q40
Azerbaijan	65	73	Q227
Bahamas, The	70	74	Q778
Bahrain	72	77	Q398
Bangladesh	58	72	Q902
Barbados	75	79	Q244
Belarus	71	74	Q184
Belgium	76	82	Q31
Belize	71	74	Q242
Benin	54	61	Q962
Bermuda	74	82	Q23635
Bhutan	53	71	Q917
Bolivia	56	71	Q750
Bosnia and Herzegovina	71	77	Q225
Botswana	59	69	Q963
Brazil	66	76	Q155
Brunei Darussalam	70	76	Q921
Bulgaria	72	75	Q219
Burkina Faso	49	61	Q965
Burundi	48	61	Q967
Cabo Verde	65	73	Q1011
Cambodia	54	70	Q424
Cameroon	53	59	Q1009
Canada	77	82	Q16
Central African Republic	49	53	Q929
Chad	47	54	Q657
Channel Islands	75	83	Q42314
Chile	74	80	Q298
China	69	77	Q148
Hong Kong SAR, China	77	85	Q8646
Macao SAR, China	77	84	Q14773
Colombia	70	77	Q739
Comoros	57	64	Q970
Congo, Dem. Rep.	49	60	Q974
Congo, Rep.	55	64	Q971
Costa Rica	76	80	Q800
Cote d'Ivoire	53	57	Q1008
Croatia	72	78	Q224
Cuba	75	79	Q241
Cyprus	77	81	Q229
Czech Republic	71	79	Q213
Denmark	75	81	Q35
Djibouti	57	67	Q977
Dominican Republic	67	74	Q786
Ecuador	69	77	Q736
Egypt, Arab Rep.	65	72	Q79
El Salvador	64	73	Q792
Equatorial Guinea	49	58	Q983
Eritrea	50	66	Q986
Estonia	69	78	Q191
Eswatini	62	59	Q1050
Ethiopia	47	66	Q115
Faroe Islands	76	83	Q4628
Fiji	65	67	Q712
Finland	75	82	Q33
France	77	83	Q142
French Polynesia	69	77	Q30971
Gabon	61	66	Q1000
Gambia, The	52	62	Q1005
Georgia	70	74	Q230
Germany	75	81	Q183
Ghana	57	64	Q117
Greece	77	82	Q41
Greenland	65	71	Q223
Grenada	70	72	Q769
Guam	72	80	Q16635
Guatemala	62	74	Q774
Guinea	50	61	Q1006
Guinea-Bissau	47	58	Q1007
Guyana	63	70	Q734
Haiti	54	64	Q790
Honduras	67	75	Q783
Hungary	69	76	Q28
Iceland	78	83	Q189
India	58	69	Q668
Indonesia	62	72	Q252
Iran, Islamic Rep.	64	76	Q794
Iraq	66	70	Q796
Ireland	75	82	Q27
Israel	77	83	Q801
Italy	77	83	Q38
Jamaica	73	74	Q766
Japan	79	84	Q17
Jordan	70	74	Q810
Kazakhstan	68	73	Q232
Kenya	57	66	Q114
Kiribati	60	68	Q710
Korea, Dem. Peopleâ€™s Rep.	70	72	Q423
Korea, Rep.	72	83	Q884
Kosovo	68	72	Q1246
Kuwait	72	75	Q817
Kyrgyz Republic	68	71	Q813
Lao PDR	53	68	Q819
Latvia	69	75	Q211
Lebanon	70	79	Q822
Lesotho	60	54	Q1013
Liberia	46	64	Q1014
Libya	69	73	Q1016
Lithuania	71	76	Q37
Luxembourg	75	82	Q32
Madagascar	51	67	Q1019
Malawi	46	64	Q1020
Malaysia	71	76	Q833
Maldives	62	79	Q826
Mali	46	59	Q912
Malta	77	82	Q233
Mauritania	60	65	Q1025
Mauritius	69	74	Q1027
Mexico	71	75	Q96
Micronesia, Fed. Sts.	64	68	Q702
Moldova	68	72	Q217
Mongolia	60	70	Q711
Montenegro	75	77	Q236
Morocco	65	76	Q1028
Mozambique	45	60	Q1029
Myanmar	57	67	Q836
Namibia	62	63	Q1030
Nepal	54	70	Q837
Netherlands	77	82	Q55
New Caledonia	70	77	Q33788
New Zealand	75	82	Q664
Nicaragua	64	74	Q811
Niger	44	62	Q1032
Nigeria	46	54	Q1033
North Macedonia	71	76	Q221
Norway	77	83	Q20
Oman	67	78	Q842
Pakistan	60	67	Q843
Panama	73	78	Q804
Papua New Guinea	56	64	Q691
Paraguay	69	74	Q733
Peru	66	77	Q419
Philippines	66	71	Q928
Poland	71	78	Q36
Portugal	74	81	Q45
Puerto Rico	74	80	Q1183
Qatar	76	80	Q846
Romania	70	75	Q218
Russian Federation	69	73	Q159
Rwanda	33	69	Q1037
Samoa	66	73	Q683
Sao Tome and Principe	58	70	Q1039
Saudi Arabia	69	75	Q851
Senegal	57	68	Q1041
Serbia	71	76	Q403
Seychelles	68	73	Q1042
Sierra Leone	39	54	Q1044
Singapore	75	83	Q334
Slovak Republic	71	77	Q214
Slovenia	73	81	Q215
Solomon Islands	64	73	Q685
Somalia	45	57	Q1045
South Africa	63	64	Q258
South Sudan	44	58	Q958
Spain	77	83	Q29
Sri Lanka	70	77	Q854
St. Lucia	71	76	Q760
St. Martin (French part)	75	80	Q126125
St. Vincent and the Grenadines	71	72	Q757
Sudan	56	65	Q1049
Suriname	67	72	Q730
Sweden	78	83	Q34
Switzerland	77	84	Q39
Syrian Arab Republic	71	72	Q858
Tajikistan	59	71	Q863
Tanzania	50	65	Q924
Thailand	70	77	Q869
Timor-Leste	48	69	Q574
Togo	56	61	Q945
Tonga	69	71	Q678
Trinidad and Tobago	68	73	Q754
Tunisia	69	77	Q948
Turkey	64	77	Q43
Turkmenistan	63	68	Q874
Uganda	46	63	Q1036
Ukraine	70	72	Q212
United Arab Emirates	72	78	Q878
United Kingdom	76	81	Q145
United States	75	79	Q30
Uruguay	73	78	Q77
Uzbekistan	66	72	Q265
Vanuatu	65	70	Q686
Venezuela, RB	71	72	Q717
Vietnam	71	75	Q881
Virgin Islands (U.S.)	74	80	Q11703
