Country	2017	ID
Afghanistan	33	Q889
Albania	3800	Q222
Algeria	270	Q262
Angola	69	Q916
Antigua and Barbuda	1200	Q781
Argentina	1100	Q414
Armenia	2000	Q399
Australia	8200	Q408
Austria	13500	Q40
Azerbaijan	1700	Q227
Bahamas, The	820	Q778
Bahrain	3000	Q398
Bangladesh	250	Q902
Barbados	2400	Q244
Belarus	23800	Q184
Belgium	11200	Q31
Belize	1100	Q242
Benin	49	Q962
Bhutan	250	Q917
Bolivia	220	Q750
Bosnia and Herzegovina	8200	Q225
Botswana	220	Q963
Brazil	940	Q155
Brunei Darussalam	1700	Q921
Bulgaria	7000	Q219
Burkina Faso	57	Q965
Burundi	33	Q967
Cabo Verde	670	Q1011
Cambodia	220	Q424
Cameroon	40	Q1009
Canada	6100	Q16
Central African Republic	25	Q929
Chad	15	Q657
Chile	4600	Q298
China	2100	Q148
Colombia	630	Q739
Comoros	83	Q970
Congo, Dem. Rep.	34	Q974
Congo, Rep.	58	Q971
Costa Rica	1900	Q800
Cote d'Ivoire	34	Q1008
Croatia	9100	Q224
Cuba	1800	Q241
Cyprus	11000	Q229
Czech Republic	17900	Q213
Denmark	16200	Q35
Djibouti	140	Q977
Dominican Republic	410	Q786
Ecuador	640	Q736
Egypt, Arab Rep.	730	Q79
El Salvador	960	Q792
Equatorial Guinea	67	Q983
Eritrea	46	Q986
Estonia	6900	Q191
Eswatini	72	Q1050
Ethiopia	55	Q115
Fiji	1000	Q712
Finland	20900	Q33
France	7200	Q142
Gabon	93	Q1000
Gambia, The	31	Q1005
Georgia	1900	Q230
Germany	9400	Q183
Ghana	82	Q117
Greece	26900	Q41
Grenada	1700	Q769
Guatemala	330	Q774
Guinea	35	Q1006
Guinea-Bissau	32	Q1007
Guyana	220	Q734
Haiti	67	Q790
Honduras	560	Q783
Hungary	6200	Q28
Iceland	14400	Q189
India	290	Q668
Indonesia	240	Q252
Iran, Islamic Rep.	2600	Q794
Iraq	320	Q796
Ireland	11300	Q27
Israel	10800	Q801
Italy	51300	Q38
Jamaica	600	Q766
Japan	16700	Q17
Jordan	730	Q810
Kazakhstan	3500	Q232
Kenya	76	Q114
Kiribati	290	Q710
Korea, Dem. Peopleâ€™s Rep.	620	Q423
Korea, Rep.	8300	Q884
Kuwait	4200	Q817
Kyrgyz Republic	480	Q813
Lao PDR	180	Q819
Latvia	3100	Q211
Lebanon	1600	Q822
Lesotho	58	Q1013
Liberia	32	Q1014
Libya	590	Q1016
Lithuania	7500	Q37
Luxembourg	14300	Q32
Madagascar	66	Q1019
Malawi	60	Q1020
Malaysia	1600	Q833
Maldives	840	Q826
Mali	29	Q912
Malta	10200	Q233
Mauritania	28	Q1025
Mauritius	1200	Q1027
Mexico	1300	Q96
Micronesia, Fed. Sts.	370	Q702
Moldova	3900	Q217
Mongolia	710	Q711
Montenegro	9900	Q236
Morocco	560	Q1028
Mozambique	67	Q1029
Myanmar	190	Q836
Namibia	140	Q1030
Nepal	230	Q837
Netherlands	11900	Q55
New Zealand	6100	Q664
Nicaragua	380	Q811
Niger	27	Q1032
Nigeria	21	Q1033
North Macedonia	9000	Q221
Norway	25700	Q20
Oman	1600	Q842
Pakistan	180	Q843
Panama	750	Q804
Papua New Guinea	190	Q691
Paraguay	290	Q733
Peru	480	Q419
Philippines	300	Q928
Poland	30300	Q36
Portugal	10700	Q45
Puerto Rico	4000	Q1183
Qatar	5000	Q846
Romania	3600	Q218
Russian Federation	3100	Q159
Rwanda	94	Q1037
Samoa	590	Q683
Sao Tome and Principe	170	Q1039
Saudi Arabia	2300	Q851
Senegal	65	Q1041
Serbia	5800	Q403
Seychelles	790	Q1042
Sierra Leone	20	Q1044
Singapore	9900	Q334
Slovak Republic	12600	Q214
Slovenia	9300	Q215
Solomon Islands	200	Q685
Somalia	20	Q1045
South Africa	330	Q258
South Sudan	18	Q958
Spain	21500	Q29
Sri Lanka	1300	Q854
St. Lucia	580	Q760
St. Vincent and the Grenadines	750	Q757
Sudan	75	Q1049
Suriname	330	Q730
Sweden	12600	Q34
Switzerland	13900	Q39
Syrian Arab Republic	1000	Q858
Tajikistan	1400	Q863
Tanzania	36	Q924
Thailand	1900	Q869
Timor-Leste	170	Q574
Togo	56	Q945
Tonga	540	Q678
Trinidad and Tobago	840	Q754
Tunisia	970	Q948
Turkey	2800	Q43
Turkmenistan	4400	Q874
Uganda	49	Q1036
Ukraine	3700	Q212
United Arab Emirates	17900	Q878
United Kingdom	8400	Q145
United States	3000	Q30
Uruguay	2900	Q77
Uzbekistan	1200	Q265
Vanuatu	330	Q686
Venezuela, RB	330	Q717
Vietnam	1100	Q881
West Bank and Gaza	880	Q407199
Yemen, Rep.	150	Q805
Zambia	93	Q953
Zimbabwe	55	Q954
