Country	2000	2016	ID
Afghanistan	104.5	98.7	Q889
Albania	89.3	113.1	Q222
Algeria	87.1	147.1	Q262
American Samoa	100.4	100.5	Q16641
Angola	99.3	139.1	Q916
Antigua and Barbuda	89.8	32.6	Q781
Argentina	94	107	Q414
Armenia	73.9	143.9	Q399
Australia	104.2	102	Q408
Austria	101.3	108.3	Q40
Azerbaijan	80.6	182.4	Q227
Bahamas, The	81.1	110.9	Q778
Bahrain	142.7	359.7	Q398
Bangladesh	84.3	135.9	Q902
Barbados	85.4	110.8	Q244
Belarus	82.3	147.9	Q184
Belgium	108.1	81.3	Q31
Belize	64.5	118.1	Q242
Benin	81.5	136.3	Q962
Bermuda	102.7	111.1	Q23635
Bhutan	99.6	92.8	Q917
Bolivia	80.1	135.4	Q750
Bosnia and Herzegovina	76.7	119.7	Q225
Botswana	97.3	119	Q963
Brazil	77.6	127	Q155
Brunei Darussalam	82.1	187	Q921
Bulgaria	153.8	84.4	Q219
Burkina Faso	75.6	84.2	Q965
Burundi	89.4	140.6	Q967
Cabo Verde	84.7	81.6	Q1011
Cambodia	91.4	89.2	Q424
Cameroon	87	125.4	Q1009
Canada	89	83.3	Q16
Cayman Islands	99.3	98.7	Q5785
Central African Republic	91.4	128.3	Q929
Chad	89.7	117.1	Q657
Chile	82.8	110.6	Q298
China	84	130.4	Q148
Hong Kong SAR, China	108.5	51.2	Q8646
Macao SAR, China	107	85.3	Q14773
Colombia	86.1	115.6	Q739
Comoros	99.4	109.4	Q970
Congo, Dem. Rep.	101.8	106.4	Q974
Congo, Rep.	69.5	177.1	Q971
Costa Rica	91.4	127.2	Q800
Cote d'Ivoire	87.8	133.2	Q1008
Croatia	77.2	94	Q224
Cuba	124.7	144.9	Q241
Cyprus	104	88.9	Q229
Czech Republic	104	87.6	Q213
Denmark	95.3	100.3	Q35
Djibouti	82.4	133.8	Q977
Dominica	101.9	104	Q784
Dominican Republic	80.6	110.3	Q786
Ecuador	85.8	124.2	Q736
Egypt, Arab Rep.	80.7	123.4	Q79
El Salvador	90.4	111.6	Q792
Equatorial Guinea	93.1	105	Q983
Eritrea	87.6	123	Q986
Estonia	83.4	125.7	Q191
Eswatini	88.4	114.7	Q1050
Ethiopia	65.4	120.1	Q115
Faroe Islands	100	100.2	Q4628
Fiji	92.6	109.7	Q712
Finland	95.3	99.9	Q33
France	102.8	103.1	Q142
French Polynesia	97.2	120.2	Q30971
Gabon	95.5	114.3	Q1000
Gambia, The	84.6	106.7	Q1005
Georgia	97	69.2	Q230
Germany	98.3	112.5	Q183
Ghana	89.9	134.7	Q117
Greece	93.4	91.9	Q41
Greenland	87.8	97.8	Q223
Grenada	82.9	107.7	Q769
Guam	95.6	112.2	Q16635
Guatemala	72.9	126.2	Q774
Guinea	77.5	136	Q1006
Guinea-Bissau	92.4	129.9	Q1007
Guyana	69.5	144.4	Q734
Haiti	92.9	104.3	Q790
Honduras	78	109.5	Q783
Hungary	121.3	81.9	Q28
Iceland	95.3	124	Q189
India	84.6	152.7	Q668
Indonesia	74.9	145	Q252
Iran, Islamic Rep.	81.4	108.9	Q794
Iraq	113.7	124.9	Q796
Ireland	107	111.2	Q27
Israel	87.5	116.6	Q801
Italy	99.4	93.3	Q38
Jamaica	91.2	102.8	Q766
Japan	100.7	101.4	Q17
Jordan	83.8	152.4	Q810
Kazakhstan	80.8	119	Q232
Kenya	69.6	122.1	Q114
Kiribati	77.8	118.9	Q710
Korea, Dem. Peopleâ€™s Rep.	78.4	103.7	Q423
Korea, Rep.	101.5	117.8	Q884
Kuwait	86	196.9	Q817
Kyrgyz Republic	98.1	111.2	Q813
Lao PDR	83.7	125.6	Q819
Latvia	89.6	109.1	Q211
Lebanon	86.6	74.9	Q822
Lesotho	100.1	99.5	Q1013
Liberia	91.8	141.4	Q1014
Libya	91.1	119	Q1016
Liechtenstein	92.2	96.7	Q347
Lithuania	83.8	88.9	Q37
Luxembourg	113.3	111.9	Q32
North Macedonia	94.3	113	Q221
Madagascar	102.4	124.1	Q1019
Malawi	92.5	243.7	Q1020
Malaysia	78	144.7	Q833
Maldives	121	114	Q826
Mali	75.5	134.9	Q912
Malta	110.4	87.5	Q233
Mauritania	88.3	112.7	Q1025
Mauritius	72.7	129.2	Q1027
Mexico	86.8	115.6	Q96
Micronesia, Fed. Sts.	99.5	102.1	Q702
Moldova	96.2	100.7	Q217
Mongolia	148.7	149.6	Q711
Morocco	87.6	148.2	Q1028
Mozambique	101.6	134.4	Q1029
Myanmar	51.9	208.1	Q836
Namibia	87.4	83.5	Q1030
Nepal	89.3	142.3	Q837
Netherlands	106.5	123.4	Q55
New Caledonia	101.5	109.1	Q33788
New Zealand	86.5	116.9	Q664
Nicaragua	78.6	126.3	Q811
Niger	79.6	103.9	Q1032
Nigeria	86.3	118.9	Q1033
Norway	97.7	109	Q20
Oman	62.7	137.5	Q842
Pakistan	85.6	137.3	Q843
Panama	95.1	136.8	Q804
Papua New Guinea	84	119.4	Q691
Paraguay	91.2	129.5	Q733
Peru	82.8	159	Q419
Philippines	84.2	126.9	Q928
Poland	93.4	109.9	Q36
Portugal	101.5	104.3	Q45
Puerto Rico	113.4	104.7	Q1183
Qatar	110	198.8	Q846
Romania	91.8	84.7	Q218
Russian Federation	96.7	123.5	Q159
Rwanda	72	137.1	Q1037
Samoa	96.6	111.6	Q683
Sao Tome and Principe	88.9	116.5	Q1039
Saudi Arabia	88.5	140.3	Q851
Senegal	91.5	125.2	Q1041
Seychelles	175.2	103.4	Q1042
Sierra Leone	75.3	214.5	Q1044
Singapore	71.8	111.9	Q334
Slovak Republic	103.2	76.9	Q214
Slovenia	92.2	89.6	Q215
Solomon Islands	90.4	106.3	Q685
Somalia	91.4	110.2	Q1045
South Africa	87.9	131.1	Q258
Spain	95.4	95.4	Q29
Sri Lanka	88.5	112.8	Q854
St. Kitts and Nevis	128.7	84.5	Q763
St. Lucia	77.2	127.1	Q760
St. Vincent and the Grenadines	103.2	99	Q757
Suriname	89.6	125.1	Q730
Sweden	103	92.6	Q34
Switzerland	97.4	106	Q39
Syrian Arab Republic	74.9	82.4	Q858
Tajikistan	64.1	128	Q863
Tanzania	89.1	132.8	Q924
Thailand	94.8	131.3	Q869
Timor-Leste	87.4	113.8	Q574
Togo	81.6	143.1	Q945
Tonga	100.6	106.7	Q678
Trinidad and Tobago	75.1	120.6	Q754
Tunisia	100.3	131.2	Q948
Turkey	92	163.7	Q43
Turkmenistan	77	117.6	Q874
Tuvalu	95.7	105.7	Q672
Uganda	67	131.6	Q1036
Ukraine	93.5	97.5	Q212
United Arab Emirates	79.7	149.9	Q878
United Kingdom	102.1	106.6	Q145
United States	97.5	109.7	Q30
Uruguay	89	100.8	Q77
Uzbekistan	82.9	134	Q265
Vanuatu	109.8	111.3	Q686
Venezuela, RB	97	129.8	Q717
Vietnam	68	151.4	Q881
Virgin Islands (U.S.)	91.9	107.2	Q11703
West Bank and Gaza	90.7	88.8	Q407199
Yemen, Rep.	81.3	157.9	Q805
Zambia	91.7	200.6	Q953
Zimbabwe	96.9	106.3	Q954
