Country	Public and publicly guaranteed	Private nonguaranteed	ID
Afghanistan	1949	17	Q889
Albania	4563	2924	Q222
Algeria	1523	202	Q262
Angola	38208	12669	Q916
Argentina	131182	50828	Q414
Armenia	5371	4063	Q399
Azerbaijan	13957	1471	Q227
Bangladesh	36664	4892	Q902
Belarus	19988	8741	Q184
Belize	1259	93	Q242
Benin	3390	0	Q962
Bhutan	2482	55	Q917
Bolivia	9904	2445	Q750
Bosnia and Herzegovina	4966	10125	Q225
Botswana	1418	0	Q963
Brazil	190143	296820	Q155
Bulgaria	11138	18192	Q219
Burkina Faso	3006	11	Q965
Burundi	423	0	Q967
Cabo Verde	1721	0	Q1011
Cambodia	6808	4056	Q424
Cameroon	9015	703	Q1009
Central African Republic	409	0	Q929
Chad	2834	0	Q657
China	243455	490227	Q148
Colombia	76044	42764	Q739
Comoros	168	0	Q970
Congo, Dem. Rep.	4047	0	Q974
Congo, Rep.	4728	0	Q971
Costa Rica	11340	12891	Q800
Cote d'Ivoire	12696	1011	Q1008
Djibouti	2041	943	Q977
Dominica	244	0	Q784
Dominican Republic	23485	8011	Q786
Ecuador	35567	7935	Q736
Egypt, Arab Rep.	78698	446	Q79
El Salvador	9605	5583	Q792
Eritrea	735	0	Q986
Ethiopia	27036	0	Q115
Fiji	714	0	Q712
Gabon	5978	0	Q1000
Gambia, The	579	0	Q1005
Georgia	6280	7754	Q230
Ghana	17921	253	Q117
Grenada	489	0	Q769
Guatemala	8428	12727	Q774
Guinea	1939	0	Q1006
Guinea-Bissau	326	0	Q1007
Guyana	1206	157	Q734
Haiti	2012	0	Q790
Honduras	7194	1641	Q783
India	180508	231179	Q668
Indonesia	215147	113802	Q252
Iran, Islamic Rep.	382	0	Q794
Jamaica	9772	3468	Q766
Jordan	16482	3071	Q810
Kazakhstan	24181	123896	Q232
Kenya	26876	1210	Q114
Kosovo	300	941	Q1246
Kyrgyz Republic	3685	3689	Q813
Lao PDR	9161	5952	Q819
Lebanon	33070	40459	Q822
Lesotho	820	0	Q1013
Liberia	815	51	Q1014
North Macedonia	4061	3248	Q221
Madagascar	2888	92	Q1019
Malawi	1929	0	Q1020
Maldives	2003	55	Q826
Mali	4344	0	Q912
Mauritania	3945	0	Q1025
Mauritius	1430	4849	Q1027
Mexico	295042	92888	Q96
Moldova	1450	3441	Q217
Mongolia	7856	18135	Q711
Montenegro	3422	4286	Q236
Morocco	32115	8700	Q1028
Mozambique	11058	2626	Q1029
Myanmar	13701	14	Q836
Nepal	4941	129	Q837
Nicaragua	5094	4966	Q811
Niger	2878	0	Q1032
Nigeria	25232	19485	Q1033
Pakistan	64493	10887	Q843
Papua New Guinea	3408	13674	Q691
Paraguay	6399	4635	Q733
Peru	18073	37778	Q419
Philippines	36346	25245	Q928
Romania	37954	56930	Q218
Russian Federation	177150	220600	Q159
Rwanda	3221	1769	Q1037
Samoa	403	0	Q683
Sao Tome and Principe	223	0	Q1039
Senegal	11589	442	Q1041
Serbia	15088	16519	Q403
Sierra Leone	1023	0	Q1044
Solomon Islands	96	232	Q685
Somalia	1889	0	Q1045
South Africa	77029	63165	Q258
Sri Lanka	34319	8581	Q854
St. Lucia	500	0	Q760
St. Vincent and the Grenadines	310	0	Q757
Sudan	15672	0	Q1049
Eswatini	418	0	Q1050
Syrian Arab Republic	3652	0	Q858
Tajikistan	2857	2076	Q863
Tanzania	12792	3617	Q924
Thailand	35606	71980	Q869
Timor-Leste	145	0	Q574
Togo	1216	0	Q945
Tonga	180	0	Q678
Tunisia	22151	2136	Q948
Turkey	121361	206867	Q43
Turkmenistan	469	35	Q874
Uganda	7716	3865	Q1036
Ukraine	36221	44604	Q212
Uzbekistan	9481	7061	Q265
Vanuatu	314	0	Q686
Venezuela, RB	70837	34303	Q717
Vietnam	53321	34752	Q881
Yemen, Rep.	6205	0	Q805
Zambia	9987	7748	Q953
Zimbabwe	3970	4471	Q954
