Country	Mathematics	Science	ID
Albania	17	2	Q222
Algeria	51	4	Q262
Argentina	40	5	Q414
Australia	8	1	Q408
Austria	7	1	Q40
Belarus	11	1	Q184
Belgium	7	1	Q31
Bosnia and Herzegovina	29	3	Q225
Brazil	41	4	Q155
Brunei Darussalam	22	2	Q921
Bulgaria	22	3	Q219
Canada	5	0	Q16
Chile	25	1	Q298
China	0	0	Q148
Hong Kong SAR, China	3	0	Q8646
Macao SAR, China	1	0	Q14773
Colombia	36	2	Q739
Costa Rica	28	1	Q800
Croatia	11	1	Q224
Cyprus	17	2	Q229
Czech Republic	7	0	Q213
Denmark	4	1	Q35
Dominican Republic	69	14	Q786
Estonia	2	0	Q191
Finland	4	0	Q33
France	8	1	Q142
Georgia	34	6	Q230
Germany	8	1	Q183
Greece	15	1	Q41
Hungary	10	1	Q28
Iceland	7	0	Q189
Indonesia	41	2	Q252
Ireland	4	0	Q27
Israel	18	3	Q801
Italy	9	1	Q38
Japan	3	0	Q17
Jordan	31	3	Q810
Kazakhstan	22	2	Q232
Korea, Rep.	5	0	Q884
Kosovo	47	4	Q1246
Latvia	4	0	Q211
Lebanon	38	9	Q822
Lithuania	9	0	Q37
Luxembourg	11	1	Q32
Malaysia	16	1	Q833
Malta	14	3	Q233
Mexico	26	1	Q96
Moldova	26	2	Q217
Montenegro	20	2	Q236
Morocco	47	3	Q1028
Netherlands	5	1	Q55
New Zealand	8	1	Q664
North Macedonia	35	5	Q221
Norway	6	1	Q20
Panama	54	10	Q804
Peru	32	3	Q419
Philippines	54	7	Q928
Poland	4	0	Q36
Portugal	9	0	Q45
Qatar	30	5	Q846
Romania	23	3	Q218
Russian Federation	7	0	Q159
Saudi Arabia	43	5	Q851
Serbia	18	2	Q403
Singapore	2	0	Q334
Slovak Republic	11	1	Q214
Slovenia	5	0	Q215
Spain	9	1	Q29
Sweden	6	1	Q34
Switzerland	5	0	Q39
Thailand	25	1	Q869
Trinidad and Tobago	28	3	Q754
Tunisia	47	2	Q948
Turkey	14	0	Q43
Ukraine	16	1	Q212
United Arab Emirates	24	4	Q878
United Kingdom	6	1	Q145
United States	10	1	Q30
Uruguay	25	2	Q77
Vietnam	3	0	Q881
