Country	Temperature (°C)	Date	ID
Algeria	−13.8	28 January 2005	Q262
Burkina Faso	5,00	January 1975	Q965
Guinea	2.5	2 January 1982	Q1006
Morocco	−23.9	11 February 1935	Q1028
Niger	−2.4	13 January 1995	Q1032
Réunion	−5.0	10 September 1975	Q17070
South Africa	−20.1	23 August 2013	Q258
Sudan	−1.0	January 1962	Q1049
Afghanistan	−52.2	January 1964	Q889
Armenia	−42.0	1961	Q399
Bangladesh	2.6	8 January 2018	Q902
Bhutan	−13.5	2013	Q917
China	−58	31 December 2009	Q148
Cambodia	7,00	29 January 2007	Q424
Hong Kong	−6.0	24 January 2016	Q8646
India	−33.9	22 March 1911	Q668
Iran	−36.0	1972	Q794
Israel	−14.2	10 January 2015	Q801
Japan	−41.0	25 January 1902	Q17
Jordan	−16.0	15 December 2013	Q810
Kuwait	−4.8	3 January 2009	Q817
Malaysia	7.8	1 February 1978	Q833
Maldives	17.2	11 April 1978	Q826
Mongolia	−55.3	31 December 1976	Q711
Myanmar	−6.0	30 December 1990	Q836
North Korea	−43.6	12 January 1933	Q423
Pakistan	−24	7 January 1995	Q843
Philippines	6.3	18 January 1961	Q928
Qatar	1.5	5 February 2017	Q846
Siberia	−67.8	6 February 1933	Q5428
Singapore	19,00	14 February 1989	Q334
South Korea	−32.6	5 January 1981	Q884
Syria	−23.0	January 1951	Q858
Taiwan	−18.4	31 January 1970	Q865
Thailand	−1.4	2 January 1974	Q869
Turkey	−46.4	9 January 1990	Q43
United Arab Emirates	−5.4	3 February 2017	Q878
Vietnam	−6.1	4 January 1974	Q881
Austria	−52.6	19 February 1932	Q40
Belarus	−42.2	17 January 1940	Q184
Belgium	−30.1	20 January 1940	Q31
Bosnia and Herzegovina	−42.5	24 January 1963	Q225
Bulgaria	−38.3	25 January 1947	Q219
Croatia	−34.6	13 January 2003	Q224
Cyprus	−12.8	January 1964	Q229
Czech Republic	−42.2	11 February 1929[	Q213
Denmark	−31.2	8 January 1982	Q35
Estonia	−43.5	17 January 1940	Q191
Finland	−51.5	28 January 1999	Q33
France	−41.0	17 January 1985	Q142
Germany	−45.9	24 December 2001	Q183
Greece	−27.8	27 January 1963	Q41
Hungary	−35	16 February 1940	Q28
Iceland	−37.9	21 January 1918	Q189
Ireland	−19.1	16 January 1881	Q27
Italy	−49.6	10 February 2013	Q38
Latvia	−43.2	8 February 1956	Q211
Lithuania	−42.9	1 February 1956	Q37
Malta	1.4	29 January 1981	Q233
Moldova	−35.5	20 January 1963	Q217
Netherlands	−27.4	27 January 1942	Q55
North Macedonia	−31.5	27 January 1954	Q221
Norway	−51.4	1 January 1886	Q20
Poland	−41.0	11 January 1940	Q36
Portugal	−16.0	5 February 1954	Q45
Romania	−38.5	25 January 1942	Q218
European Russia	−58.1	31 December 1978	Q875134
Serbia	−39.8	26 January 2006	Q403
Slovakia	−41.0	11 February 1929	Q214
Slovenia	−34.5	13 January 1968	Q215
Spain	−30	17 December 1963	Q29
Sweden	−52.6	2 February 1966	Q34
Switzerland	−41.8	12 January 1987	Q39
Ukraine	−41.9	8 January 1935	Q212
United Kingdom	−27.2	30 December 1995	Q145
Antigua and Barbuda	16.1	28 January 1976	Q781
Canada	−63.0	3 February 1947	Q16
Cuba	0.6	18 February 1996	Q241
Dominican Republic	−7.0	17 January 1983	Q786
Greenland	−69.6	22 December 1991	Q223
Martinique	14.1	25 December 1964	Q17054
Panama	2,00	20 February 1995	Q804
Puerto Rico	4.4	24 January 1966	Q1183
US Virgin Islands	10.6	31 January 1954	Q11703
Alaska	−62.2	23 January 1971	Q797
United States	−56.7	20 January 1954	Q30
Argentina	−32.8	1 June 1907	Q414
Brazil	−14.0	11 June 1952	Q155
Colombia	−11.0	11 December 1974	Q739
French Guiana	16.9	23 January 1964	Q3769
Paraguay	−7.5	13 July 2000	Q733
Peru	−25.2	30 June 1966	Q419
Uruguay	−11.0	14 June 1967	Q77
Australia	−23.0	29 June 1994	Q408
Hawaii	−11.1	17 may. 1979	Q782
New Zealand	−25.6	18 July 1903	Q664
Samoa	11.1	29 September 1971	Q683
Solomon Islands	17,00	30 June 2016	Q685
Chile	−37.0	June 2002	Q298
