Country	Manufactoring %	ID
Albania	20	Q222
Argentina	29	Q414
Australia	21	Q408
Austria	10	Q40
Azerbaijan	42	Q227
Bahamas, The	54	Q778
Bahrain	7	Q398
Bangladesh	24	Q902
Belgium	12	Q31
Bermuda	10	Q23635
Bolivia	37	Q750
Botswana	20	Q963
Brazil	17	Q155
Bulgaria	20	Q219
Cambodia	7	Q424
Cameroon	36	Q1009
Canada	12	Q16
China	14	Q148
Hong Kong SAR, China	7	Q8646
Macao SAR, China	3	Q14773
Colombia	30	Q739
Congo, Dem. Rep.	73	Q974
Congo, Rep.	73	Q971
Costa Rica	45	Q800
Croatia	24	Q224
Cyprus	37	Q229
Czech Republic	12	Q213
Denmark	18	Q35
Ecuador	20	Q736
Egypt, Arab Rep.	16	Q79
El Salvador	29	Q792
Eritrea	60	Q986
Estonia	17	Q191
Ethiopia	54	Q115
Fiji	53	Q712
Finland	6	Q33
France	13	Q142
Georgia	37	Q230
Germany	8	Q183
Greece	25	Q41
Hungary	15	Q28
Iceland	37	Q189
India	13	Q668
Indonesia	18	Q252
Iran, Islamic Rep.	10	Q794
Ireland	14	Q27
Israel	12	Q801
Italy	9	Q38
Japan	11	Q17
Jordan	30	Q810
Kenya	29	Q114
Korea, Rep.	8	Q884
Kuwait	8	Q817
Kyrgyz Republic	35	Q813
Lao PDR	42	Q819
Latvia	27	Q211
Lebanon	26	Q822
Lithuania	27	Q37
Luxembourg	8	Q32
Madagascar	0	Q1019
Malawi	71	Q1020
Malaysia	8	Q833
Malta	14	Q233
Mauritius	20	Q1027
Mexico	25	Q96
Moldova	65	Q217
Mongolia	49	Q711
Morocco	34	Q1028
Nepal	45	Q837
Netherlands	17	Q55
New Zealand	33	Q664
Niger	16	Q1032
North Macedonia	32	Q221
Norway	16	Q20
Oman	12	Q842
Pakistan	21	Q843
Panama	56	Q804
Papua New Guinea	52	Q691
Paraguay	66	Q733
Peru	33	Q419
Philippines	28	Q928
Poland	5	Q36
Portugal	13	Q45
Puerto Rico	8	Q1183
Qatar	4	Q846
Romania	32	Q218
Russian Federation	20	Q159
Rwanda	75	Q1037
Saudi Arabia	12	Q851
Senegal	33	Q1041
Serbia	31	Q403
Singapore	3	Q334
Slovak Republic	10	Q214
Slovenia	10	Q215
South Africa	15	Q258
Spain	14	Q29
Sri Lanka	39	Q854
Sudan	66	Q1049
Sweden	7	Q34
Switzerland	8	Q39
Syrian Arab Republic	-63	Q858
Tanzania	45	Q924
Thailand	18	Q869
Trinidad and Tobago	21	Q754
Tunisia	19	Q948
Turkey	18	Q43
Uganda	64	Q1036
United Kingdom	14	Q145
United States	13	Q30
Uruguay	39	Q77
Venezuela, RB	22	Q717
Vietnam	30	Q881
West Bank and Gaza	32	Q407199
Yemen, Rep.	43	Q805
