Country	Manufactoring %	ID
Albania	3	Q222
Argentina	11	Q414
Australia	15	Q408
Austria	25	Q40
Azerbaijan	11	Q227
Bangladesh	3	Q902
Belgium	19	Q31
Bermuda	11	Q23635
Bolivia	0	Q750
Brazil	19	Q155
Bulgaria	14	Q219
Cambodia	0	Q424
Cameroon	1	Q1009
Canada	32	Q16
China	14	Q148
Hong Kong SAR, China	12	Q8646
Macao SAR, China	3	Q14773
Colombia	4	Q739
Congo, Dem. Rep.	7	Q974
Congo, Rep.	7	Q971
Costa Rica	3	Q800
Cyprus	4	Q229
Czech Republic	24	Q213
Denmark	20	Q35
Ecuador	2	Q736
Egypt, Arab Rep.	12	Q79
El Salvador	2	Q792
Eritrea	1	Q986
Estonia	11	Q191
Ethiopia	7	Q115
Fiji	1	Q712
Finland	33	Q33
France	26	Q142
Georgia	12	Q230
Germany	33	Q183
Ghana	0	Q117
Greece	12	Q41
Hungary	27	Q28
Iceland	8	Q189
India	16	Q668
Indonesia	20	Q252
Iran, Islamic Rep.	20	Q794
Ireland	20	Q27
Israel	32	Q801
Italy	23	Q38
Japan	34	Q17
Jordan	3	Q810
Kenya	2	Q114
Korea, Rep.	41	Q884
Kuwait	2	Q817
Kyrgyz Republic	2	Q813
Lao PDR	8	Q819
Latvia	8	Q211
Lebanon	3	Q822
Lithuania	12	Q37
Luxembourg	9	Q32
Madagascar	0	Q1019
Malawi	0	Q1020
Malaysia	38	Q833
Malta	37	Q233
Mauritius	1	Q1027
Mexico	24	Q96
Moldova	5	Q217
Mongolia	0	Q711
Morocco	4	Q1028
Nepal	1	Q837
Netherlands	21	Q55
New Zealand	9	Q664
North Macedonia	9	Q221
Norway	23	Q20
Oman	1	Q842
Pakistan	5	Q843
Panama	3	Q804
Papua New Guinea	9	Q691
Paraguay	0	Q733
Peru	3	Q419
Philippines	23	Q928
Poland	15	Q36
Portugal	16	Q45
Puerto Rico	9	Q1183
Qatar	0	Q846
Romania	13	Q218
Russian Federation	19	Q159
Senegal	1	Q1041
Serbia	10	Q403
Singapore	57	Q334
Slovak Republic	20	Q214
Slovenia	17	Q215
South Africa	14	Q258
Spain	19	Q29
Sri Lanka	4	Q854
Sudan	4	Q1049
Sweden	35	Q34
Switzerland	21	Q39
Tanzania	2	Q924
Thailand	26	Q869
Trinidad and Tobago	0	Q754
Tunisia	3	Q948
Turkey	15	Q43
United Kingdom	25	Q145
United States	30	Q30
Uruguay	3	Q77
Vietnam	12	Q881
West Bank and Gaza	1	Q407199
Yemen, Rep.	1	Q805
