Country	exports (2010)	exports (2019)	ID
Afghanistan	40	65.1	Q889
Albania	4.5	9	Q222
Algeria	0.6	1	Q262
Andorra	0.9	0.6	Q228
Angola	0.1	0.3	Q916
Antigua and Barbuda	50.7	77.9	Q781
Argentina	51.1	60.5	Q414
Armenia	16.7	35	Q399
Aruba	82.3	41.6	Q21203
Australia	11.3	12.5	Q408
Austria	6.9	7.5	Q40
Azerbaijan	2.8	3.9	Q227
Bahrain	1.9	3.4	Q398
Barbados	32.9	32.9	Q244
Belarus	12.6	14.9	Q184
Belgium	8.9	9.9	Q31
Belize	60.9	89.8	Q242
Benin	67.6	37.1	Q962
Bermuda	23.5	19.3	Q23635
Bolivia	15.3	17.8	Q750
Bosnia and Herzegovina	7.3	6.9	Q225
Botswana	5.1	1.7	Q963
Brazil	30.4	34.4	Q155
Brunei Darussalam	0	0.1	Q921
Bulgaria	16.1	14.7	Q219
Burkina Faso	33.3	42.3	Q965
Burundi	81.4	76.7	Q967
Cabo Verde	81.6	83.5	Q1011
Cambodia	1.4	5.2	Q424
Cameroon	24.4	21.8	Q1009
Canada	10.5	12.4	Q16
Central African Republic	1.5	1.4	Q929
Chile	16.8	26.5	Q298
China	2.8	2.9	Q148
Hong Kong SAR, China	6.8	2.2	Q8646
Macao SAR, China	0.2	34.1	Q14773
Colombia	11.9	14.2	Q739
Comoros	66	43.5	Q970
Congo, Rep.	0.5	0.3	Q971
Costa Rica	34.7	41.2	Q800
Cote d'Ivoire	49.5	57.8	Q1008
Croatia	11.3	13.9	Q224
Cyprus	34.4	31.2	Q229
Czech Republic	3.9	4.2	Q213
Denmark	18.3	19.6	Q35
Dominican Republic	27.5	27.8	Q786
Ecuador	30	46.8	Q736
Egypt, Arab Rep.	17.2	17.5	Q79
El Salvador	21	18.9	Q792
Estonia	9.9	10	Q191
Eswatini	30.5	28.7	Q1050
Ethiopia	77.5	91	Q115
Fiji	63.3	64	Q712
Finland	2.6	2.3	Q33
France	12	12.2	Q142
Gambia, The	89	52.1	Q1005
Georgia	21	31.9	Q230
Germany	5.5	5.5	Q183
Ghana	60.7	40.5	Q117
Greece	20.2	17.6	Q41
Greenland	87.7	92.3	Q223
Guatemala	42.1	48.2	Q774
Guyana	64.8	49.2	Q734
Honduras	57.3	64.8	Q783
Hungary	7.6	7.9	Q28
Iceland	41.4	46.8	Q189
India	8.3	10.4	Q668
Indonesia	16.4	20.7	Q252
Iran, Islamic Rep.	6.2	5.9	Q794
Ireland	9.1	9	Q27
Israel	3	3.1	Q801
Italy	7.9	9.2	Q38
Jamaica	24.6	22.5	Q766
Japan	0.6	1	Q17
Jordan	16.6	15.3	Q810
Kazakhstan	3.4	5.6	Q232
Kenya	47.9	51.2	Q114
Korea, Rep.	1.1	1.5	Q884
Kuwait	0.3	0.8	Q817
Kyrgyz Republic	30	16.8	Q813
Lao PDR	26	17.6	Q819
Latvia	16.8	20.9	Q211
Lebanon	14.9	23.8	Q822
Lesotho	16.6	3.8	Q1013
Lithuania	17.3	16.3	Q37
Luxembourg	8.3	9.2	Q32
Madagascar	26.7	37.7	Q1019
Malawi	76.4	89.7	Q1020
Malaysia	11.9	9.2	Q833
Maldives	96.2	98.2	Q826
Mali	29.8	38.4	Q912
Malta	5.2	8.4	Q233
Mauritania	16.8	50.7	Q1025
Mauritius	37.2	35.1	Q1027
Mexico	6.1	7.5	Q96
Moldova	72	57.5	Q217
Montenegro	12.3	11.8	Q236
Morocco	19	20.8	Q1028
Mozambique	15.7	11.2	Q1029
Myanmar	17.3	27.7	Q836
Namibia	25.3	31.7	Q1030
Nepal	20.2	26.1	Q837
Netherlands	13.5	15.7	Q55
New Zealand	55.8	65.7	Q664
Nicaragua	88.2	50.3	Q811
Nigeria	3.3	2	Q1033
North Macedonia	16.3	9.4	Q221
Norway	7.2	10.6	Q20
Oman	2.5	3.5	Q842
Pakistan	16.8	20.7	Q843
Palau	86.1	88.7	Q695
Paraguay	59.5	62.6	Q733
Peru	19.8	23.8	Q419
Philippines	7.4	8.8	Q928
Poland	10.8	13.3	Q36
Portugal	11.4	11.8	Q45
Qatar	0	0	Q846
Romania	8.1	10.3	Q218
Russian Federation	1.9	5.5	Q159
Samoa	21	62.1	Q683
Sao Tome and Principe	94.6	74.3	Q1039
Saudi Arabia	1.2	1.2	Q851
Senegal	29.7	38.4	Q1041
Seychelles	85.1	78	Q1042
Singapore	2	3.6	Q334
Slovak Republic	4.4	3.5	Q214
Slovenia	4.1	4.5	Q215
Solomon Islands	38.4	20.2	Q685
South Africa	10	11.5	Q258
Spain	15.1	16.5	Q29
Sri Lanka	26.9	26	Q854
St. Kitts and Nevis	11.5	13.3	Q763
St. Lucia	49.6	30.1	Q760
St. Vincent and the Grenadines	82.3	73.3	Q757
Suriname	2.4	23.6	Q730
Sweden	4.7	6.3	Q34
Switzerland	3.8	3.7	Q39
Tanzania	31.9	21.5	Q924
Thailand	13.2	13.7	Q869
Togo	18.1	22.4	Q945
Tunisia	7.7	10.6	Q948
Turkey	10.6	10.8	Q43
Uganda	66.8	65.7	Q1036
Ukraine	19.2	39.1	Q212
United Arab Emirates	1.7	4.6	Q878
United Kingdom	6.2	7	Q145
United States	9.8	9.4	Q30
Uruguay	61.9	59.8	Q77
Vietnam	19.3	10.6	Q881
Zambia	6.5	7.3	Q953
Zimbabwe	25.2	31.2	Q954
