Country	exports (2010)	exports (2019)	ID
Afghanistan	0.3	1.2	Q889
Albania	12.8	2	Q222
Algeria	0.3	0.2	Q262
Andorra	4.4	3.3	Q228
Angola	2	2.9	Q916
Antigua and Barbuda	1.8	0	Q781
Argentina	4.4	0.5	Q414
Armenia	52.5	40.1	Q399
Aruba	0.2	6.4	Q21203
Australia	33.9	28.3	Q408
Austria	3.9	3	Q40
Azerbaijan	0.1	1	Q227
Bahrain	18.1	22.8	Q398
Barbados	1.2	1.4	Q244
Belarus	0.7	1.1	Q184
Belgium	3.7	3.4	Q31
Belize	0	0.6	Q242
Benin	1	0.2	Q962
Bermuda	0	0	Q23635
Bolivia	33.3	36.3	Q750
Bosnia and Herzegovina	12.2	5.8	Q225
Botswana	14.5	0.8	Q963
Brazil	17.4	13	Q155
Brunei Darussalam	0.1	0	Q921
Bulgaria	16.9	14.1	Q219
Burkina Faso	1.6	17	Q965
Burundi	5.2	12.8	Q967
Cabo Verde	0.9	0	Q1011
Cambodia	0.1	0.3	Q424
Cameroon	3	4.5	Q1009
Canada	8.3	7.2	Q16
Central African Republic	58.7	3.8	Q929
Chile	64.6	52.6	Q298
China	1.4	1.2	Q148
Hong Kong SAR, China	9.5	1.1	Q8646
Macao SAR, China	0	18.8	Q14773
Colombia	1.6	1.2	Q739
Comoros	0.8	0.3	Q970
Congo, Rep.	0	1.6	Q971
Costa Rica	1.1	1.4	Q800
Cote d'Ivoire	0.3	1.5	Q1008
Croatia	4.5	3.9	Q224
Cyprus	13.7	4.6	Q229
Czech Republic	2.1	1.2	Q213
Denmark	1.6	1.5	Q35
Dominican Republic	3.7	1.9	Q786
Ecuador	0.6	1.3	Q736
Egypt, Arab Rep.	6.3	3.6	Q79
El Salvador	1.8	1.1	Q792
Estonia	3.1	1.9	Q191
Eswatini	0.4	0.2	Q1050
Ethiopia	2	0.9	Q115
Fiji	1.7	1.5	Q712
Finland	5.2	5.9	Q33
France	2.5	2.1	Q142
Gambia, The	9.9	0.6	Q1005
Georgia	20.8	32.8	Q230
Germany	3	2.5	Q183
Ghana	11.2	4.3	Q117
Greece	7.9	8.1	Q41
Greenland	0.8	0.1	Q223
Guatemala	6.5	0.8	Q774
Guyana	22.5	21.2	Q734
Honduras	6.4	2.6	Q783
Hungary	1.6	1.3	Q28
Iceland	42	35.1	Q189
India	7	3.4	Q668
Indonesia	9.9	6.7	Q252
Iran, Islamic Rep.	3.1	3.2	Q794
Ireland	0.8	0.5	Q27
Israel	1.5	1.1	Q801
Italy	2.2	2.1	Q38
Jamaica	12	6.9	Q766
Japan	2.7	2.4	Q17
Jordan	8.5	7.7	Q810
Kazakhstan	11.4	13.2	Q232
Kenya	2	6	Q114
Korea, Rep.	2.1	2.2	Q884
Kuwait	0.2	0.2	Q817
Kyrgyz Republic	4.2	24.3	Q813
Lao PDR	54.9	27	Q819
Latvia	3.7	1.7	Q211
Lebanon	10.7	11.6	Q822
Lesotho	0.4	0.4	Q1013
Lithuania	1.4	1.9	Q37
Luxembourg	5.6	4.5	Q32
Madagascar	9.5	24.3	Q1019
Malawi	11.1	0.2	Q1020
Malaysia	2	4.3	Q833
Maldives	3.8	1.4	Q826
Mali	0.7	1	Q912
Malta	0.5	0.2	Q233
Mauritania	40.8	48.7	Q1025
Mauritius	0.4	1	Q1027
Mexico	3	1.8	Q96
Moldova	4.1	1.4	Q217
Montenegro	50	31.2	Q236
Morocco	11.7	5.2	Q1028
Mozambique	54.4	31.8	Q1029
Myanmar	0.7	5.5	Q836
Namibia	27.8	30.4	Q1030
Nepal	4	1.7	Q837
Netherlands	2.4	2.5	Q55
New Zealand	4.2	2.7	Q664
Nicaragua	2	1	Q811
Nigeria	1.1	0.3	Q1033
North Macedonia	7.4	4.8	Q221
Norway	6.4	5.9	Q20
Oman	2.7	5.4	Q842
Pakistan	1.6	2.7	Q843
Palau	2.7	2.1	Q695
Paraguay	0.6	0.9	Q733
Peru	53.3	53.5	Q419
Philippines	3.9	5	Q928
Poland	4.7	3.2	Q36
Portugal	3.5	2.2	Q45
Qatar	0.3	0.1	Q846
Romania	4.2	2.2	Q218
Russian Federation	5.6	5.5	Q159
Samoa	0.3	1.3	Q683
Sao Tome and Principe	0	1.7	Q1039
Saudi Arabia	0.2	1.2	Q851
Senegal	3.9	7.9	Q1041
Seychelles	0.1	0.2	Q1042
Singapore	1.2	0.7	Q334
Slovak Republic	3.1	2	Q214
Slovenia	4.4	4	Q215
Solomon Islands	0.2	3.8	Q685
South Africa	28.3	26.5	Q258
Spain	3.4	3.4	Q29
Sri Lanka	0.9	0.8	Q854
St. Kitts and Nevis	0.1	0	Q763
St. Lucia	2.2	2.9	Q760
St. Vincent and the Grenadines	1.9	0.4	Q757
Suriname	0.3	1.5	Q730
Sweden	4.9	4.4	Q34
Switzerland	4.1	2.3	Q39
Tanzania	33.7	1.3	Q924
Thailand	1.3	1.6	Q869
Togo	13	11.8	Q945
Tunisia	1.6	1.8	Q948
Turkey	4.4	3.7	Q43
Uganda	1.9	0.4	Q1036
Ukraine	7.4	8.3	Q212
United Arab Emirates	1.8	6.5	Q878
United Kingdom	3.9	4	Q145
United States	4.1	2.8	Q30
Uruguay	0.3	0.4	Q77
Vietnam	1	0.9	Q881
Zambia	84.8	75.7	Q953
Zimbabwe	42.9	46.7	Q954
