Country	Total	ID
Afghanistan	15	Q889
Albania	14	Q222
Algeria	24	Q262
Andorra	8	Q228
Angola	24	Q916
Antigua and Barbuda	8	Q781
Argentina	14	Q414
Armenia	17	Q399
Australia	6	Q408
Austria	5	Q40
Azerbaijan	9	Q227
Bahamas, The	14	Q778
Bahrain	8	Q398
Bangladesh	15	Q902
Barbados	6	Q244
Belarus	9	Q184
Belgium	6	Q31
Belize	28	Q242
Benin	28	Q962
Bhutan	17	Q917
Bolivia	16	Q750
Bosnia and Herzegovina	16	Q225
Botswana	24	Q963
Brazil	20	Q155
Brunei Darussalam	8	Q921
Bulgaria	10	Q219
Burkina Faso	31	Q965
Burundi	35	Q967
Cabo Verde	25	Q1011
Cambodia	18	Q424
Cameroon	30	Q1009
Canada	6	Q16
Central African Republic	34	Q929
Chad	28	Q657
Chile	13	Q298
China	18	Q148
Colombia	19	Q739
Comoros	27	Q970
Congo, Dem. Rep.	34	Q974
Congo, Rep.	27	Q971
Costa Rica	17	Q800
Cote d'Ivoire	24	Q1008
Croatia	8	Q224
Cuba	9	Q241
Cyprus	5	Q229
Czech Republic	6	Q213
Denmark	4	Q35
Djibouti	25	Q977
Dominica	11	Q784
Dominican Republic	35	Q786
Ecuador	21	Q736
Egypt, Arab Rep.	10	Q79
El Salvador	22	Q792
Equatorial Guinea	25	Q983
Eritrea	25	Q986
Estonia	6	Q191
Eswatini	27	Q1050
Ethiopia	27	Q115
Fiji	10	Q712
Finland	5	Q33
France	6	Q142
Gabon	23	Q1000
Gambia, The	30	Q1005
Georgia	15	Q230
Germany	4	Q183
Ghana	25	Q117
Greece	9	Q41
Grenada	9	Q769
Guatemala	17	Q774
Guinea	28	Q1006
Guinea-Bissau	31	Q1007
Guyana	25	Q734
Haiti	15	Q790
Honduras	17	Q783
Hungary	8	Q28
Iceland	7	Q189
India	23	Q668
Indonesia	12	Q252
Iran, Islamic Rep.	21	Q794
Iraq	21	Q796
Ireland	4	Q27
Israel	4	Q801
Italy	6	Q38
Jamaica	14	Q766
Japan	4	Q17
Jordan	24	Q810
Kazakhstan	18	Q232
Kenya	28	Q114
Kiribati	4	Q710
Korea, Dem. People’s Rep.	21	Q423
Korea, Rep.	10	Q884
Kuwait	18	Q817
Kyrgyz Republic	15	Q813
Lao PDR	17	Q819
Latvia	9	Q211
Lebanon	18	Q822
Lesotho	29	Q1013
Liberia	36	Q1014
Libya	26	Q1016
Lithuania	8	Q37
Luxembourg	6	Q32
Madagascar	29	Q1019
Malawi	31	Q1020
Malaysia	24	Q833
Maldives	1	Q826
Mali	23	Q912
Malta	6	Q233
Marshall Islands	6	Q709
Mauritania	25	Q1025
Mauritius	14	Q1027
Mexico	13	Q96
Micronesia, Fed. Sts.	2	Q702
Moldova	10	Q217
Monaco	0	Q235
Mongolia	17	Q711
Montenegro	11	Q236
Morocco	20	Q1028
Mozambique	30	Q1029
Myanmar	20	Q836
Namibia	30	Q1030
Nepal	16	Q837
Netherlands	4	Q55
New Zealand	8	Q664
Nicaragua	15	Q811
Niger	26	Q1032
Nigeria	21	Q1033
North Macedonia	6	Q221
Norway	3	Q20
Oman	16	Q842
Pakistan	14	Q843
Palau	5	Q695
Panama	14	Q804
Papua New Guinea	14	Q691
Paraguay	23	Q733
Peru	14	Q419
Philippines	12	Q928
Poland	10	Q36
Portugal	7	Q45
Qatar	9	Q846
Romania	10	Q218
Russian Federation	18	Q159
Rwanda	30	Q1037
Samoa	11	Q683
San Marino	0	Q238
Sao Tome and Principe	28	Q1039
Saudi Arabia	29	Q851
Senegal	23	Q1041
Serbia	7	Q403
Seychelles	16	Q1042
Sierra Leone	27	Q1044
Singapore	3	Q334
Slovak Republic	6	Q214
Slovenia	6	Q215
Solomon Islands	17	Q685
Somalia	27	Q1045
South Africa	26	Q258
South Sudan	30	Q958
Spain	4	Q29
Sri Lanka	15	Q854
St. Lucia	35	Q760
St. Vincent and the Grenadines	8	Q757
Sudan	26	Q1049
Suriname	15	Q730
Sweden	3	Q34
Switzerland	3	Q39
Syrian Arab Republic	27	Q858
Tajikistan	18	Q863
Tanzania	29	Q924
Thailand	33	Q869
Timor-Leste	13	Q574
Togo	29	Q945
Tonga	17	Q678
Trinidad and Tobago	12	Q754
Tunisia	23	Q948
Turkey	12	Q43
Turkmenistan	15	Q874
Uganda	29	Q1036
Ukraine	14	Q212
United Arab Emirates	18	Q878
United Kingdom	3	Q145
United States	12	Q30
Uruguay	13	Q77
Uzbekistan	12	Q265
Vanuatu	16	Q686
Venezuela, RB	34	Q717
Vietnam	26	Q881
Yemen, Rep.	22	Q805
Zambia	25	Q953
Zimbabwe	35	Q954
