Country	Oldest (year)	Number of parks	Total area (km²)	Percentage of country area (%)	ID
Algeria	1929.0	10	122,352	5.1	Q262
Botswana	1968.0	4	56,258	9.67	Q963
Burundi	1934.0	3	1,014	3.6	Q967
Chad	1963.0	4	14,54	1.13	Q657
Egypt	1983.0	5	4,353	4.3	Q79
Ethiopia	1959.0	13	45,417	1.8	Q115
Gabon	2002.0	13	26,766	10.0	Q1000
Gambia	1978.0	5	169.9	1.5	Q1005
Madagascar	1958.0	26	14,327	2.4	Q1019
Mauritius	1994.0	3	7,16	3.5	Q1027
Mozambique	1960.0	7	40,97	5.1	Q1029
Namibia	1907.0	20	10,878	13.2	Q1030
Nigeria	1979.0	8	20,156	3.0	Q1033
South Africa	1926.0	21	37	3.0	Q258
Tanzania	1951.0	18	42	4.44	Q924
Zambia	1924.0	28	240,836.48	32.0	Q953
Cambodia	1993.0	8	7,422.5	4.1	Q424
India	1936.0	116	38,136	1.16	Q668
Indonesia	1980.0	54	160,52	8.43	Q252
Iran	1974.0	9	19,757	1.2	Q794
Israel	1964.0	69	6,4	30.0	Q801
Japan	1934.0	33	20,482	5.4	Q17
Kyrgyzstan	1976.0	13	7,246.7	3625.0	Q813
Myanmar	1982.0	9	10,351	1.5	Q836
Nepal	1973.0	12	34,426	23.39	Q837
Pakistan	1972.0	26	132,919.71	6.63	Q843
South Korea	1967.0	22	6,726	6.7	Q884
Republic of China (Taiwan)	1984.0	9	3,104	8.6	Q865
Thailand	1961.0	147	61,413	11.96	Q869
Turkey	1958.0	43	8,481	1.0	Q43
Albania	1966.0	14	1,177	4.1	Q222
Austria	1981.0	7	2,521	3.0	Q40
Belarus	1939.0	4	2,222	1.0	Q184
Belgium	2001.0	2	75	0.2	Q31
Bosnia and Herzegovina	1965.0	4	404	0.8	Q225
Bulgaria	1963.0	3	1,93	1.8	Q219
Croatia	1949.0	8	994	1.8	Q224
Czech Republic	1963.0	4	1,19	1.5	Q213
Denmark	2008.0	5	2,322	5.4	Q35
Estonia	1971.0	5	1,927	4.3	Q191
Finland	1956.0	40	9,892	2.9	Q33
France	1963.0	10	60,728	9.5	Q142
Georgia	1946.0	11	5,111	7.0	Q230
Germany	1970.0	16	10,395	2.7	Q183
Greece	1938.0	15	6,96	3.6	Q41
Hungary	1972.0	10	4,819	5.2	Q28
Iceland	1928.0	3	12,407	12.1	Q189
Ireland	1932.0	6	650	0.9	Q27
Italy	1922.0	25	15	5.0	Q38
Kazakhstan	1985.0	13	18,876	0.7	Q232
Kosovo	1986.0	2	1,014.88	9.3	Q1246
Latvia	1973.0	4	2,065	3.2	Q211
Lithuania	1974.0	5	1,554	2.4	Q37
Malta	2007.0	1	2.5	0.69	Q233
Montenegro	1952.0	5	1,096	7.9	Q236
Netherlands	1930.0	21	1,251	3.0	Q55
North Macedonia	1948.0	3	974	3.8	Q221
Norway	1962.0	47	24,06	6.3	Q20
Poland	1932.0	23	3,149	1.0	Q36
Portugal	1971.0	1	702	0.8	Q45
Romania	1935.0	14	3,158	1.3	Q218
Russia	1983.0	48	141,2	0.82	Q159
Serbia	1960.0	5	1,775	2.3	Q403
Slovakia	1949.0	9	3,69	7.5	Q214
Slovenia	1961.0	1	838	4.1	Q215
Spain	1918.0	16	3,845	0.8	Q29
Sweden	1909.0	30	7,199	1.6	Q34
Switzerland	1914.0	1	170	0.4	Q39
Turkey	1958.0	43	8,481	1.0	Q43
Ukraine	1980.0	17	7,02	1.2	Q212
United Kingdom	1951.0	15	19,989	8.2	Q145
Belize	1986.0	18	1,701	7.4	Q242
Canada	1885.0	47	377	3.78	Q16
Costa Rica	1955.0	29	12,913	25.1	Q800
Dominica	1975.0	3	107	7.01	Q784
Haiti	1983.0	16	88	0.31	Q790
Mexico	1917.0	67	14,32	0.73	Q96
Nicaragua	1979.0	3	25,327	0.2	Q811
United States	1872.0	62	210	2.19	Q30
Argentina	1922.0	37	38,452	1.38	Q414
Bolivia	1939.0	13	65,91	6.0	Q750
Brazil	1937.0	72	250	2968.0	Q155
Chile	1926.0	41	146,046	19.3	Q298
Colombia	1960.0	60	169,545	12.5	Q739
Ecuador	1959.0	12	34,733	12.2	Q736
Paraguay	1948.0	15	60,662	14.9	Q733
Peru	1961.0	15	79,665	6.2	Q419
Venezuela	1937.0	46	199,418	21.76	Q717
Australia	1879.0	685	335,062	4.36	Q408
New Zealand	1887.0	13	28,873	10.8	Q664
