Country	Both sexes	Male	Female	ID
Afghanistan	19965	10702	9263	Q889
Albania	5138	2903	2235	Q222
Algeria	25166	12619	12547	Q262
Angola	8455	3952	4503	Q916
Antigua and Barbuda	134	72	62	Q781
Argentina	65657	34104	31554	Q414
Armenia	7953	4399	3554	Q399
Australia	45749	25603	20146	Q408
Austria	20899	11202	9697	Q40
Azerbaijan	10136	5900	4236	Q227
Bahamas	532	286	246	Q778
Bahrain	456	249	207	Q398
Bangladesh	99620	54768	44852	Q902
Barbados	732	394	338	Q244
Belarus	18808	10684	8124	Q184
Belgium	28807	16036	12771	Q31
Belize	287	168	120	Q242
Benin	3918	1715	2203	Q962
Bhutan	458	258	200	Q917
Bolivia (Plurinational State of)	7948	3462	4486	Q750
Bosnia and Herzegovina	7262	4307	2955	Q225
Botswana	1099	577	522	Q963
Brazil	233851	125107	108743	Q155
Brunei Darussalam	402	215	187	Q921
Bulgaria	19367	11413	7954	Q219
Burkina Faso	7307	2919	4388	Q965
Burundi	6585	2922	3664	Q967
Cabo Verde	310	140	170	Q1011
Cambodia	13067	6710	6357	Q424
Cameroon	11576	5576	5999	Q1009
Canada	78306	41065	37241	Q16
Central African Republic	2397	1139	1258	Q929
Chad	5325	2422	2903	Q657
Chile	27958	14579	13379	Q298
China	2369538	1566574	802964	Q148
Colombia	56239	28003	28237	Q739
Comoros	467	204	263	Q970
Congo	1814	953	862	Q971
Costa Rica	5774	3145	2630	Q800
Côte d'Ivoire	10442	5407	5035	Q1008
Croatia	14151	8150	6001	Q224
Cuba	24510	14237	10273	Q241
Cyprus	1929	1161	768	Q229
Czechia	27725	15381	12343	Q213
Democratic People's Republic of Korea	42483	21705	20778	Q423
Democratic Republic of the Congo	38769	18927	19841	Q974
Denmark	16506	8704	7801	Q35
Djibouti	549	239	310	Q977
Dominican Republic	10479	5785	4693	Q786
Ecuador	13973	6730	7243	Q736
Egypt	77673	42804	34868	Q79
El Salvador	6605	2845	3760	Q792
Equatorial Guinea	475	241	234	Q983
Eritrea	2715	1052	1663	Q986
Estonia	3959	2122	1837	Q191
Eswatini	742	389	353	Q1050
Ethiopia	50913	18916	31998	Q115
Fiji	613	276	338	Q712
Finland	12374	6599	5775	Q33
France	173396	99394	74002	Q142
Gabon	757	402	355	Q1000
Gambia	587	337	250	Q1005
Georgia	7040	3830	3210	Q230
Germany	235379	129084	106295	Q183
Ghana	11923	6005	5917	Q117
Greece	31408	19150	12258	Q41
Grenada	155	84	71	Q769
Guatemala	7993	3603	4390	Q774
Guinea	4921	2432	2489	Q1006
Guinea-Bissau	719	333	387	Q1007
Guyana	548	230	319	Q734
Haiti	6824	3293	3530	Q790
Honduras	5502	2535	2968	Q783
Hungary	33009	18049	14960	Q28
Iceland	654	334	320	Q189
India	815148	422514	392633	Q668
Indonesia	216307	115704	100603	Q252
Iran (Islamic Republic of)	59741	34345	25396	Q794
Iraq	21151	10761	10390	Q796
Ireland	9169	4754	4414	Q27
Israel	12135	6316	5819	Q801
Italy	173529	96685	76844	Q38
Jamaica	3910	2326	1584	Q766
Japan	399687	231983	167704	Q17
Jordan	4446	2468	1978	Q810
Kazakhstan	25981	13506	12476	Q232
Kenya	27375	13029	14346	Q114
Kiribati	75	35	40	Q710
Kuwait	1682	925	757	Q817
Kyrgyzstan	3938	2059	1879	Q813
Lao People's Democratic Republic	5469	3223	2246	Q819
Latvia	5939	3174	2765	Q211
Lebanon	6101	3337	2764	Q822
Lesotho	1277	662	614	Q1013
Liberia	1874	861	1013	Q1014
Libya	4039	2289	1751	Q1016
Lithuania	8186	4531	3655	Q37
Luxembourg	1137	625	512	Q32
Madagascar	14977	7925	7052	Q1019
Malawi	12316	6304	6013	Q1020
Malaysia	24490	12857	11634	Q833
Maldives	220	133	87	Q826
Mali	7765	2881	4883	Q912
Malta	949	528	421	Q233
Mauritania	1581	717	864	Q1025
Mauritius	1227	581	646	Q1027
Mexico	80054	39130	40924	Q96
Micronesia (Federated States of)	75	39	36	Q702
Mongolia	3993	2313	1680	Q711
Montenegro	1421	830	591	Q236
Morocco	25995	14486	11509	Q1028
Mozambique	20781	9718	11063	Q1029
Myanmar	53965	29205	24759	Q836
Namibia	992	533	459	Q1030
Nepal	17049	8051	8998	Q837
Netherlands	47314	25746	21569	Q55
New Zealand	9081	4849	4233	Q664
Nicaragua	4122	2025	2097	Q811
Niger	5569	2646	2924	Q1032
Nigeria	81551	35993	45558	Q1033
Norway	11368	6130	5238	Q20
Oman	1270	822	448	Q842
Pakistan	117145	56597	60548	Q843
Panama	3516	1890	1625	Q804
Papua New Guinea	6793	3125	3668	Q691
Paraguay	5779	3144	2635	Q733
Peru	28549	13560	14989	Q419
Philippines	65916	31743	34173	Q928
Poland	106886	59350	47536	Q36
Portugal	28172	16941	11232	Q45
Qatar	640	440	199	Q846
Republic of Korea	84573	52527	32046	Q884
Republic of Moldova	7119	4137	2982	Q217
North Macedonia	3989	2416	1572	Q221
Romania	52259	30959	21301	Q218
Russian Federation	359090	193631	165459	Q159
Rwanda	8529	4234	4295	Q1037
Saint Lucia	256	139	117	Q760
Saint Vincent and the Grenadines	166	98	69	Q757
Samoa	144	75	69	Q683
Sao Tome and Principe	111	56	54	Q1039
Saudi Arabia	10845	6116	4729	Q851
Senegal	5880	2535	3345	Q1041
Serbia	23521	13612	9909	Q403
Seychelles	143	86	57	Q1042
Sierra Leone	2512	1101	1412	Q1044
Singapore	8435	4671	3764	Q334
Slovakia	14672	8418	6254	Q214
Slovenia	6266	3560	2706	Q215
Solomon Islands	368	173	195	Q685
Somalia	6028	2502	3526	Q1045
South Africa	50805	25257	25548	Q258
South Sudan	8321	3992	4329	Q958
Spain	110013	67096	42917	Q29
Sri Lanka	20406	10716	9691	Q854
Sudan	17653	9173	8480	Q1049
Suriname	627	328	299	Q730
Sweden	23324	12255	11069	Q34
Switzerland	18188	10081	8107	Q39
Syrian Arab Republic	14195	7489	6706	Q858
Tajikistan	4555	2424	2131	Q863
Thailand	94760	55397	39363	Q869
Timor-Leste	838	448	389	Q574
Togo	3336	1431	1905	Q945
Tonga	122	66	56	Q678
Trinidad and Tobago	1874	987	887	Q754
Tunisia	8323	5219	3104	Q948
Turkey	102561	65383	37178	Q43
Turkmenistan	4528	2452	2076	Q874
Uganda	25573	13618	11955	Q1036
Ukraine	97076	54159	42917	Q212
United Arab Emirates	1803	1083	720	Q878
United Kingdom of Great Britain and Northern Ireland	168188	89353	78835	Q145
United Republic of Tanzania	27207	13086	14121	Q924
United States of America	627709	331774	295935	Q30
Uruguay	8615	4706	3908	Q77
Uzbekistan	13846	6734	7113	Q265
Vanuatu	200	109	92	Q686
Venezuela (Bolivarian Republic of)	28570	14565	14005	Q717
Viet Nam	102283	57150	45133	Q881
Yemen	10454	5225	5229	Q805
Zambia	8024	3661	4363	Q953
Zimbabwe	8872	4136	4736	Q954
