Country	Total	ID
Afghanistan	-14.9	Q889
Albania	148.8	Q222
Algeria	0	Q262
Angola	44.4	Q916
Argentina	1669.2	Q414
Armenia	86.7	Q399
Azerbaijan	246.7	Q227
Bangladesh	1952.1	Q902
Belarus	-124	Q184
Belize	13	Q242
Benin	44.5	Q962
Bhutan	41.4	Q917
Bolivia	613.6	Q750
Bosnia and Herzegovina	109.4	Q225
Botswana	-85.4	Q963
Brazil	737.8	Q155
Bulgaria	-133.9	Q219
Burkina Faso	240.6	Q965
Burundi	0.4	Q967
Cabo Verde	27.9	Q1011
Cambodia	64.8	Q424
Cameroon	857.6	Q1009
Central African Republic	35.7	Q929
Chad	-14.4	Q657
China	379.4	Q148
Colombia	1696.7	Q739
Comoros	0.3	Q970
Congo, Dem. Rep.	68.9	Q974
Congo, Rep.	6.9	Q971
Costa Rica	1.4	Q800
Cote d'Ivoire	425	Q1008
Djibouti	42.2	Q977
Dominica	-4	Q784
Dominican Republic	252.8	Q786
Ecuador	799.1	Q736
Egypt, Arab Rep.	1217.4	Q79
El Salvador	104.1	Q792
Eritrea	-3.8	Q986
Ethiopia	1703.2	Q115
Fiji	29.1	Q712
Gabon	330.8	Q1000
Gambia, The	36.3	Q1005
Georgia	211.3	Q230
Ghana	91	Q117
Grenada	24.8	Q769
Guatemala	67.6	Q774
Guinea	110.6	Q1006
Guinea-Bissau	68.4	Q1007
Guyana	64.4	Q734
Haiti	-1.6	Q790
Honduras	202.5	Q783
India	1747.5	Q668
Indonesia	1663.4	Q252
Iran, Islamic Rep.	-67.1	Q794
Jamaica	18	Q766
Jordan	370.6	Q810
Kazakhstan	-280.9	Q232
Kenya	1509.9	Q114
Kosovo	5.4	Q1246
Kyrgyz Republic	32.3	Q813
Lao PDR	13.3	Q819
Lebanon	52.7	Q822
Lesotho	21.1	Q1013
Liberia	99.7	Q1014
North Macedonia	-38.6	Q221
Madagascar	130.9	Q1019
Malawi	137.8	Q1020
Maldives	69	Q826
Mali	382.5	Q912
Mauritania	-45.2	Q1025
Mauritius	-42.2	Q1027
Mexico	273.1	Q96
Moldova	99.8	Q217
Mongolia	260.3	Q711
Montenegro	-32.6	Q236
Morocco	45.9	Q1028
Mozambique	231.3	Q1029
Myanmar	206.8	Q836
Nepal	647.2	Q837
Nicaragua	410.6	Q811
Niger	184.9	Q1032
Nigeria	1040	Q1033
Pakistan	480.2	Q843
Papua New Guinea	372.5	Q691
Paraguay	292.7	Q733
Peru	-425.9	Q419
Philippines	1058.7	Q928
Romania	-2036.2	Q218
Russian Federation	-128.8	Q159
Rwanda	424.6	Q1037
Samoa	-2	Q683
Sao Tome and Principe	2.9	Q1039
Senegal	242.8	Q1041
Serbia	-116.8	Q403
Sierra Leone	21.6	Q1044
Solomon Islands	2.4	Q685
Somalia	0	Q1045
South Africa	-168.5	Q258
Sri Lanka	332.8	Q854
St. Lucia	-7.9	Q760
St. Vincent and the Grenadines	-4.3	Q757
Sudan	27	Q1049
Eswatini	18.1	Q1050
Syrian Arab Republic	1.3	Q858
Tajikistan	60.8	Q863
Tanzania	690.2	Q924
Thailand	51.7	Q869
Timor-Leste	35.4	Q574
Togo	89	Q945
Tonga	4	Q678
Tunisia	448.5	Q948
Turkey	706.8	Q43
Turkmenistan	-5.8	Q874
Uganda	285.6	Q1036
Ukraine	-561.4	Q212
Uzbekistan	1574.6	Q265
Vanuatu	27.1	Q686
Venezuela, RB	317.7	Q717
Vietnam	844.8	Q881
Yemen, Rep.	-51.5	Q805
Zambia	229.9	Q953
Zimbabwe	-40.8	Q954
