Country	Income (2010)	Income (2019)	ID
Afghanistan	28	307	Q889
Albania	-120	-156	Q222
Algeria	-387	-2592	Q262
Angola	-8087	-7516	Q916
Antigua and Barbuda	-31	-96	Q781
Argentina	-14548	-17328	Q414
Armenia	458	228	Q399
Aruba	-140	-210	Q21203
Australia	-49293	-39158	Q408
Austria	3330	-241	Q40
Azerbaijan	-3467	-2061	Q227
Bahamas, The	-235	-682	Q778
Bahrain	-2373	-2076	Q398
Bangladesh	-1454	-2544	Q902
Belarus	-1115	-1910	Q184
Belgium	7065	634	Q31
Belize	-158	-181	Q242
Benin	-54	-55	Q962
Bermuda	1419	1672	Q23635
Bhutan	-72	-221	Q917
Bolivia	-889	-795	Q750
Bosnia and Herzegovina	280	-32	Q225
Botswana	-639	-1287	Q963
Brazil	-70245	-56059	Q155
Brunei Darussalam	-100	362	Q921
Bulgaria	-1337	-1882	Q219
Burkina Faso	-6	-481	Q965
Burundi	-11	6	Q967
Cabo Verde	-79	-42	Q1011
Cambodia	-399	-1590	Q424
Cameroon	-239	-741	Q1009
Canada	-23449	-3475	Q16
Chile	-15477	-12241	Q298
China	-25899	-33037	Q148
Hong Kong SAR, China	4840	18908	Q8646
Macao SAR, China	-3043	-4787	Q14773
Colombia	-11228	-10309	Q739
Comoros	-1	7	Q970
Congo, Dem. Rep.	-1178	-1687	Q974
Costa Rica	-1186	-3591	Q800
Cote d'Ivoire	-915	-1629	Q1008
Croatia	-2038	-923	Q224
Curacao	-18	35	Q25279
Cyprus	-383	-1308	Q229
Czech Republic	-12971	-14097	Q213
Denmark	5246	9264	Q35
Djibouti	17	-29	Q977
Dominica	-9	1	Q784
Dominican Republic	-1927	-4274	Q786
Ecuador	-1037	-3106	Q736
Egypt, Arab Rep.	-5912	-11593	Q79
El Salvador	-538	-1306	Q792
Estonia	-1048	-647	Q191
Eswatini	-226	-451	Q1050
Ethiopia	-63	-334	Q115
Fiji	-99	-452	Q712
Finland	2423	-607	Q33
France	71312	61524	Q142
Gambia, The	-8	-19	Q1005
Georgia	-218	-704	Q230
Germany	68902	103238	Q183
Ghana	-582	-3922	Q117
Greece	-7625	-1572	Q41
Grenada	-40	-111	Q769
Guatemala	-1034	-1275	Q774
Guinea	-77	-182	Q1006
Guinea-Bissau	-2	-51	Q1007
Guyana	13	-99	Q734
Haiti	22	53	Q790
Honduras	-850	-1901	Q783
Hungary	-5971	-5813	Q28
Iceland	-2141	447	Q189
India	-15602	-29386	Q668
Indonesia	-20698	-33773	Q252
Iraq	1593	-1155	Q796
Ireland	-34295	-88949	Q27
Israel	-4566	-831	Q801
Italy	-5109	16597	Q38
Jamaica	-495	-596	Q766
Japan	155086	192610	Q17
Jordan	-214	-199	Q810
Kazakhstan	-19376	-22290	Q232
Kenya	-148	-820	Q114
Kiribati	73	169	Q710
Korea, Rep.	-693	12199	Q884
Kosovo	90	167	Q1246
Kuwait	8462	21910	Q817
Kyrgyz Republic	-332	-256	Q813
Lao PDR	-83	-571	Q819
Latvia	199	-457	Q211
Lebanon	-509	-314	Q822
Lesotho	660	527	Q1013
Liberia	-1106	-109	Q1014
Libya	-30	913	Q1016
Lithuania	-239	-1579	Q37
Luxembourg	-11398	-21726	Q32
Madagascar	-149	-399	Q1019
Malawi	-190	-165	Q1020
Malaysia	-8021	-12765	Q833
Maldives	-311	-492	Q826
Mali	-419	-510	Q912
Malta	-458	-1399	Q233
Marshall Islands	36	56	Q709
Mauritania	-178	44	Q1025
Mauritius	-10	1491	Q1027
Mexico	-12417	-37175	Q96
Moldova	506	576	Q217
Mongolia	-598	-1569	Q711
Montenegro	-27	19	Q236
Morocco	-1242	-1913	Q1028
Mozambique	-359	-296	Q1029
Myanmar	-1722	-1616	Q836
Namibia	-277	-346	Q1030
Nepal	93	213	Q837
Netherlands	3393	3059	Q55
New Zealand	-6790	-5880	Q664
Nicaragua	-250	-310	Q811
Niger	-47	-193	Q1032
Nigeria	-19440	-15070	Q1033
North Macedonia	-131	-502	Q221
Norway	4858	16793	Q20
Oman	-3832	-5278	Q842
Pakistan	-3187	-6202	Q843
Palau	5	-3	Q695
Panama	-2311	-4403	Q804
Papua New Guinea	-598	-616	Q691
Paraguay	-1305	-1360	Q733
Peru	-11225	-11814	Q419
Philippines	677	5336	Q928
Poland	-15591	-26044	Q36
Portugal	-7660	-5832	Q45
Qatar	-13271	-4410	Q846
Romania	-1905	-3412	Q218
Russian Federation	-47105	-53351	Q159
Rwanda	-51	-302	Q1037
Samoa	-24	-36	Q683
Sao Tome and Principe	0	-3	Q1039
Saudi Arabia	7044	7971	Q851
Senegal	-150	-601	Q1041
Serbia	-867	-2773	Q403
Seychelles	-12	-89	Q1042
Sierra Leone	-49	-112	Q1044
Singapore	-2591	-34338	Q334
Sint Maarten (Dutch part)	-18	-26	Q26273
Slovak Republic	-2498	-2203	Q214
Slovenia	-699	-784	Q215
Solomon Islands	-44	-13	Q685
South Africa	-7996	-9933	Q258
Spain	-20541	2790	Q29
Sri Lanka	-617	-2399	Q854
St. Kitts and Nevis	-29	-56	Q763
St. Lucia	-40	-124	Q760
St. Vincent and the Grenadines	-12	-8	Q757
Sudan	-4167	-1812	Q1049
Suriname	-104	-413	Q730
Sweden	13690	13362	Q34
Switzerland	34179	13887	Q39
Tajikistan	1328	1331	Q863
Tanzania	-578	-870	Q924
Thailand	-14314	-19247	Q869
Timor-Leste	2435	1126	Q574
Togo	-23	19	Q945
Tonga	2	40	Q678
Trinidad and Tobago	-1080	-669	Q754
Tunisia	-1925	-963	Q948
Turkey	-6515	-12522	Q43
Uganda	-262	-731	Q1036
Ukraine	-2009	4753	Q212
United Kingdom	1764	-38573	Q145
United States	168218	256997	Q30
Uruguay	-1501	-3073	Q77
Vanuatu	-22	7	Q686
Vietnam	-4564	-15818	Q881
West Bank and Gaza	599	2394	Q407199
Zambia	-1363	-298	Q953
Zimbabwe	-71	-161	Q954
