Country	Net barter	ID
Afghanistan	163.5	Q889
Albania	93.4	Q222
Algeria	155.4	Q262
American Samoa	173.2	Q16641
Angola	109.7	Q916
Antigua and Barbuda	62.9	Q781
Argentina	155.2	Q414
Armenia	123.4	Q399
Aruba	93.7	Q21203
Australia	148	Q408
Austria	88.6	Q40
Azerbaijan	99.9	Q227
Bahamas, The	78.3	Q778
Bahrain	116.9	Q398
Bangladesh	69	Q902
Barbados	124.1	Q244
Belarus	93	Q184
Belgium	96.7	Q31
Belize	103.7	Q242
Benin	125	Q962
Bermuda	106	Q23635
Bhutan	112.7	Q917
Bolivia	92.2	Q750
Bosnia and Herzegovina	103.7	Q225
Botswana	91.2	Q963
Brazil	109.6	Q155
Brunei Darussalam	115.4	Q921
Bulgaria	112.8	Q219
Burkina Faso	145.6	Q965
Burundi	155.7	Q967
Cabo Verde	112.4	Q1011
Cambodia	76.6	Q424
Cameroon	139	Q1009
Canada	105	Q16
Cayman Islands	62.8	Q5785
Central African Republic	77.9	Q929
Chad	113.5	Q657
Chile	196.9	Q298
China	92.3	Q148
Hong Kong SAR, China	97.5	Q8646
Macao SAR, China	88.1	Q14773
Colombia	111.3	Q739
Comoros	128.5	Q970
Congo, Dem. Rep.	112.4	Q974
Congo, Rep.	138	Q971
Costa Rica	99.9	Q800
Cote d'Ivoire	173.7	Q1008
Croatia	99.1	Q224
Cuba	180.9	Q241
Cyprus	90.2	Q229
Czech Republic	105.8	Q213
Denmark	100.8	Q35
Djibouti	99.7	Q977
Dominica	111.3	Q784
Dominican Republic	111.7	Q786
Ecuador	162.7	Q736
Egypt, Arab Rep.	146.4	Q79
El Salvador	206.9	Q792
Equatorial Guinea	119.8	Q983
Eritrea	79.6	Q986
Estonia	95.9	Q191
Ethiopia	144.7	Q115
Faroe Islands	119.7	Q4628
Fiji	113.3	Q712
Finland	92.5	Q33
France	90.6	Q142
French Polynesia	91.7	Q30971
Gabon	137.5	Q1000
Gambia, The	101.4	Q1005
Georgia	142.7	Q230
