Country	Expenditures $ (2012)	Expenditures $ (2018)	Expenditures % (2012)	Expenditures % (2018)	ID
Afghanistan	110	226	1.1	2.8	Q889
Albania	1374	1750	23.5	25.5	Q222
Angola	288	762	0.6	2.9	Q916
Antigua and Barbuda	49	113	7.1	10.1	Q781
Argentina	8466	13092	10.2	15.1	Q414
Armenia	874	1458	17	21.9	Q399
Aruba	294,00	358,00	10.2	16,00	Q21203
Australia	35.226,00	42.351,00	10.6	13.7	Q408
Austria	9.987,00	14.256,00	4.8	6,00	Q40
Azerbaijan	2617	2453	15	13.9	Q227
Bahamas, The	384,00	536,00	7.8	10.4	Q778
Bahrain	975,00	4.023,00	3.8	14.8	Q398
Bangladesh	889,00	1.208,00	2.4	1.8	Q902
Belarus	948	1159	1.9	2.8	Q184
Belgium	22.357,00	20.830,00	5.4	4.6	Q31
Belize	39	50	3.8	4.4	Q242
Bermuda	327,00	340,00	18.2	16,00	Q23635
Bhutan	69	79	5.7	6.3	Q917
Bolivia	502,00	1.081,00	5.1	8.7	Q750
Bosnia and Herzegovina	196	366	2	3.2	Q225
Botswana	332	269	3.4	3.7	Q963
Brazil	26008	22229	8.6	8.6	Q155
Brunei Darussalam	591,00	585,00	8.7	10.3	Q921
Bulgaria	1.096,00	2.247,00	3.2	5.4	Q219
Burundi	25	23	2.7	2.5	Q967
Cabo Verde	135	97	11.3	7.3	Q1011
Cambodia	406	1079	3.8	4.9	Q424
Cameroon	668	915	8.2	10.9	Q1009
Canada	35.032,00	33.581,00	5.9	5.7	Q16
Chile	2.400,00	3.086,00	2.7	3.6	Q298
China	101977	277345	5.2	10.9	Q148
Hong Kong SAR, China	20.077,00	26.498,00	3.6	3.9	Q8646
Macao SAR, China	1.155,00	1.411,00	8.1	7.7	Q14773
Colombia	4363	5625	6.3	8.9	Q739
Comoros	36	45	11.3	12.8	Q970
Congo, Dem. Rep.	108	115	1	0.6	Q974
Costa Rica	647	1162	3.9	5.9	Q800
Croatia	962,00	1.737,00	4.1	5.5	Q224
Curacao	357,00	535,00	11.4	18.9	Q25279
Cyprus	1.318,00	1.551,00	9.2	8.6	Q229
Czech Republic	4.556,00	6.074,00	3.1	3.4	Q213
Denmark	9.600,00	10.485,00	6	5.9	Q35
Djibouti	30	22	4.1	0.5	Q977
Dominica	12	30	4.8	7	Q784
Dominican Republic	690,00	957,00	3.3	4.1	Q786
Ecuador	944	1043	3.4	4	Q736
Egypt, Arab Rep.	3.037,00	2.897,00	4.4	3.8	Q79
El Salvador	287	490	2.7	3.9	Q792
Estonia	796,00	1.651,00	4.1	7.6	Q191
Ethiopia	181	613	1.3	3.1	Q115
Fiji	110	160	4.3	5.2	Q712
Finland	5.843,00	7.268,00	5.6	6.7	Q33
France	50.068,00	57.925,00	6,00	6.2	Q142
Gambia, The	13	10	3.3	1.7	Q1005
Georgia	471	960	5.2	8.9	Q230
Germany	96.196,00	104.204,00	6.8	6.4	Q183
Ghana	976	1329	4.4	5.7	Q117
Greece	3.005,00	3.910,00	4.3	4.6	Q41
Grenada	11	41	2.8	6.4	Q769
Guatemala	920	1121	5.1	5.3	Q774
Guinea	41	416	1.3	9.9	Q1006
Guinea-Bissau	25	75	9.6	16.3	Q1007
Guyana	82	80	3.3	2.6	Q734
Haiti	473,00	599,00	11.3	10.6	Q790
Honduras	549	519	5.3	4.4	Q783
Hungary	2.457,00	3.280,00	2.4	2.6	Q28
Iceland	780,00	1.829,00	10.8	16	Q189
India	14107	25790	2.4	4	Q668
Indonesia	9055	11629	4.3	5.3	Q252
Iraq	2363	7855	3.7	13.8	Q796
Ireland	5.999,00	7.390,00	3.4	2.2	Q27
Israel	5.008,00	9.765,00	5.4	9.1	Q801
Italy	26.239,00	37.644,00	4.6	6.2	Q38
Jamaica	418	503	5.4	6.3	Q766
Japan	40.967,00	28.096,00	4	3	Q17
Jordan	1257	1493	5.5	6.6	Q810
Kazakhstan	3609	2852	5.9	6.2	Q232
Korea, Rep.	22.934,00	34.769,00	3.5	5.4	Q884
Kuwait	10.073,00	14.318,00	22.2	21	Q817
Kyrgyz Republic	529	453	8.2	7.7	Q813
Lao PDR	614	949	16.2	13	Q819
Latvia	680,00	778,00	3.7	3.7	Q211
Lebanon	4511	6395	14.1	19.5	Q822
Lesotho	252	339	9.3	14	Q1013
Liberia	2	8	0.1	0.6	Q1014
Lithuania	925,00	1.195,00	2.8	2.8	Q37
Luxembourg	3.094,00	3.290,00	3.6	3	Q32
North Macedonia	153	282	2.3	3.1	Q221
Madagascar	235	309	5.9	6.4	Q1019
Malawi	96	136	3.8	4.6	Q1020
Malaysia	13165	13248	6.1	6	Q833
Maldives	207	433	9.6	10.6	Q826
Malta	339,00	518,00	2.3	2.9	Q233
Marshall Islands	26,00	31,00	13.7	18	Q709
Mauritania	101	38	2.4	1.2	Q1025
Mauritius	394,00	723,00	5.2	9.6	Q1027
Mexico	10735	14073	2.7	2.8	Q96
Moldova	396	438	7	6.9	Q217
Mongolia	558	822	6.3	9.7	Q711
Montenegro	67	73	2.5	2	Q236
Morocco	2095	3018	4.5	5.4	Q1028
Mozambique	247	135	2	1.3	Q1029
Myanmar	265	118	2.9	0.6	Q836
Namibia	53	69	0.8	1.1	Q1030
Nepal	562,00	918,00	8.2	6.3	Q837
Netherlands	20.094,00	25.952,00	3.4	3.9	Q55
New Zealand	3.715,00	4.603,00	7.4	8	Q664
Nicaragua	241,00	349,00	3.4	5.2	Q811
Nigeria	9240	13218	11.4	18.5	Q1033
Norway	18.131,00	18.592,00	12.9	13.2	Q20
Oman	1.644,00	3.210,00	4.8	9.1	Q842
Pakistan	1851	2899	3.8	4.2	Q843
Panama	591	1307	1.8	4.5	Q804
Paraguay	363	549	3	4	Q733
Peru	1.900,00	3.417,00	4,00	6.6	Q419
Philippines	7140	12474	9	9.6	Q928
Poland	9.129,00	10.608,00	4.1	3.5	Q36
Portugal	4.482,00	6.524,00	5.4	6.3	Q45
Qatar	10.702,00	11.754,00	19.6	17.9	Q846
Romania	2.108,00	5.088,00	2.9	4.7	Q218
Russian Federation	48.096,00	38.791,00	10.8	11.3	Q159
Rwanda	133	377	5.6	12	Q1037
Samoa	22	4	5.6	1	Q683
Sao Tome and Principe	3	18	2.2	8.9	Q1039
Saudi Arabia	17.986,00	17.932,00	8.4	8.6	Q851
Serbia	1188	1837	5.4	6.2	Q403
Seychelles	58,00	102,00	4.1	5.5	Q1042
Sierra Leone	32	61	1.3	3.8	Q1044
Singapore	23.139,00	25.346,00	4.5	4.6	Q334
Sint Maarten (Dutch part)	120,00	105,00	11.6	8.5	Q26273
Slovak Republic	2.309,00	2.823,00	2.8	2.8	Q214
Slovenia	1.508,00	1.755,00	4.6	4.2	Q215
Solomon Islands	68	53	10.7	7.1	Q685
South Africa	7.145,00	6.348,00	5.8	5.8	Q258
Spain	15.395,00	26.670,00	4	5.8	Q29
Sri Lanka	1.219,00	2.487,00	5.6	9.3	Q854
St. Kitts and Nevis	15,00	59,00	4.3	9.9	Q763
St. Lucia	45	87	5.9	8.7	Q760
St. Vincent and the Grenadines	14	48	3.4	10.6	Q757
Sudan	699	13	6.8	0.2	Q1049
Suriname	58,00	104,00	2.2	4.9	Q730
Eswatini	53	43	2.7	2.1	Q1050
Sweden	13.954,00	18.056,00	6.3	7.4	Q34
Switzerland	17.980,00	20.722,00	4.7	5.4	Q39
Tajikistan	37	24	0.7	0.8	Q863
Tanzania	1003	818	7.9	8.3	Q924
Thailand	8.095,00	14.675,00	3	5.2	Q869
Timor-Leste	92	131	5.5	12.4	Q574
Tonga	29	41	10	12.8	Q678
Trinidad and Tobago	223,00	149,00	1.9	1.6	Q754
Tunisia	673,00	954,00	2.6	3.9	Q948
Turkey	4.585,00	4.993,00	1.8	2	Q43
Uganda	642	334	8.3	3.9	Q1036
Ukraine	5536	8287	5.5	11.8	Q212
United Kingdom	61.323,00	68.888,00	7.3	7.5	Q145
United States	129.902,00	186.508,00	4.7	6	Q30
Uruguay	1.043,00	1.309,00	6.3	10	Q77
Vanuatu	43	21	10.8	4.6	Q686
Vietnam	1.856,00	5.910,00	1.6	2.4	Q881
West Bank and Gaza	646	755	10.3	8.6	Q407199
Zambia	303	478	3.3	4.7	Q953
