Country	Residents	Nonresidents	ID
Albania	15	3	Q222
Algeria	152	521	Q262
Andorra	1	10	Q228
Antigua and Barbuda	5	5	Q781
Argentina	425	3242	Q414
Armenia	101	4	Q399
Australia	2757	27200	Q408
Austria	2039	168	Q40
Azerbaijan	155	16	Q227
Bahamas, The	4	48	Q778
Bahrain	11	219	Q398
Bangladesh	69	299	Q902
Belarus	453	94	Q184
Belgium	892	218	Q31
Bhutan	4	3	Q917
Bolivia	59	277	Q750
Bosnia and Herzegovina	84	12	Q225
Botswana	3	3	Q963
Brazil	4980	19877	Q155
Brunei Darussalam	24	97	Q921
Bulgaria	180	18	Q219
Cambodia	3	159	Q424
Canada	4349	31812	Q16
Cabo Verde	3	1	Q1011
Chile	406	2694	Q298
China	1393815	148187	Q148
Hong Kong SAR, China	314	15672	Q8646
Macao SAR, China	1	54	Q14773
Colombia	415	1808	Q739
Costa Rica	7	491	Q800
Croatia	121	15	Q224
Cuba	29	126	Q241
Cyprus	4	4	Q229
Czech Republic	678	54	Q213
Denmark	1262	239	Q35
Dominican Republic	17	211	Q786
Ecuador	34	371	Q736
Egypt, Arab Rep.	997	1258	Q79
El Salvador	3	136	Q792
Estonia	24	6	Q191
Ethiopia	13	49	Q115
Finland	1387	100	Q33
France	14303	1919	Q142
Georgia	103	157	Q230
Germany	46617	21281	Q183
Ghana	13	39	Q117
Greece	430	149	Q41
Guatemala	6	228	Q774
Guyana	2	18	Q734
Honduras	8	148	Q783
Hungary	407	36	Q28
Iceland	56	10	Q189
India	16289	33766	Q668
Indonesia	1407	8347	Q252
Iran, Islamic Rep.	11908	915	Q794
Iraq	653	77	Q796
Ireland	76	32	Q27
Israel	1506	5857	Q801
Italy	8921	900	Q38
Jamaica	26	53	Q766
Japan	253630	59937	Q17
Jordan	24	109	Q810
Kazakhstan	789	193	Q232
Kenya	244	42	Q114
Korea, Rep.	162561	47431	Q884
Kuwait	1	256	Q817
Kyrgyz Republic	137	9	Q813
Lao PDR	1	58	Q819
Latvia	86	24	Q211
Lebanon	110	194	Q822
Lithuania	81	24	Q37
Luxembourg	152	243	Q32
Madagascar	9	37	Q1019
Malawi	3	1	Q1020
Malaysia	1116	6179	Q833
Malta	3	1	Q233
Mauritius	16	13	Q1027
Mexico	1555	14869	Q96
Moldova	92	21	Q217
Monaco	4	11	Q235
Mongolia	82	79	Q711
Morocco	187	2350	Q1028
Mozambique	34	13	Q1029
Namibia	21	15	Q1030
Nepal	20	43	Q837
Netherlands	2111	394	Q55
New Zealand	1017	5221	Q664
Nigeria	120	218	Q1033
Norway	1082	592	Q20
Oman	4	387	Q842
Pakistan	306	586	Q843
Panama	135	362	Q804
Papua New Guinea	1	46	Q691
Peru	89	1133	Q419
Philippines	529	3771	Q928
Poland	4207	115	Q36
Portugal	661	29	Q45
Qatar	19	574	Q846
Romania	1100	47	Q218
Russian Federation	24926	13031	Q159
Rwanda	6	1	Q1037
Samoa	1	3	Q683
San Marino	14	681	Q238
Saudi Arabia	1078	2321	Q851
Serbia	163	11	Q403
Singapore	1575	10270	Q334
Slovak Republic	217	14	Q214
Slovenia	255	23	Q215
South Africa	657	6258	Q258
Spain	1525	149	Q29
Sri Lanka	343	260	Q854
Sudan	349	31	Q1049
Sweden	1838	442	Q34
Switzerland	1283	332	Q39
Syrian Arab Republic	103	45	Q858
Tanzania	25	1	Q924
Thailand	904	7245	Q869
Trinidad and Tobago	4	135	Q754
Tunisia	180	271	Q948
Turkey	7156	310	Q43
Ukraine	2107	1861	Q212
United Arab Emirates	56	1727	Q878
United Kingdom	12865	8076	Q145
United States	285095	312046	Q30
Uruguay	23	500	Q77
Uzbekistan	470	180	Q265
Venezuela, RB	96	338	Q717
Vietnam	646	5425	Q881
Yemen, Rep.	15	13	Q805
Zambia	12	10	Q953
Zimbabwe	8	5	Q954
