Country	Received	Paid	ID
Afghanistan	804	235	Q889
Albania	1458	115	Q222
Algeria	1792	69	Q262
Angola	2	682	Q916
Antigua and Barbuda	25	57	Q781
Argentina	516	969	Q414
Armenia	1488	341	Q399
Aruba	37,00	112,00	Q21203
Australia	1.861,00	7.195,00	Q408
Austria	3.139,00	5.759,00	Q40
Azerbaijan	1226	580	Q227
Bangladesh	15.562,00	58,00	Q902
Barbados	108,00	52,00	Q244
Belarus	1445	158	Q184
Belgium	12.316,00	5.581,00	Q31
Belize	93	43	Q242
Benin	199	94	Q962
Bermuda	1.444,00	198,00	Q23635
Bhutan	58	58	Q917
Bolivia	1.388,00	252,00	Q750
Bosnia and Herzegovina	2122	84	Q225
Botswana	32	85	Q963
Brazil	2933	2253	Q155
Bulgaria	2.395,00	221,00	Q219
Burkina Faso	456	209	Q965
Burundi	48	19	Q967
Cabo Verde	233	41	Q1011
Cambodia	1433	258	Q424
Cameroon	334	89	Q1009
Canada	1.352,00	6.629,00	Q16
Cayman Islands	16,00	396,00	Q5785
Chile	66,00	572,00	Q298
China	24306	16548	Q148
Hong Kong SAR, China	425,00	934,00	Q8646
Macao SAR, China	23,00	1.537,00	Q14773
Colombia	6360	313	Q739
Comoros	163	2	Q970
Congo, Dem. Rep.	1823	914	Q974
Congo, Rep.	8	402	Q971
Costa Rica	534	507	Q800
Cote d'Ivoire	332	919	Q1008
Croatia	3.808,00	533,00	Q224
Curacao	155,00	140,00	Q25279
Cyprus	498,00	811,00	Q229
Czech Republic	3.913,00	2.758,00	Q213
Denmark	1.376,00	3.392,00	Q35
Dominica	49	10	Q784
Dominican Republic	6.814,00	736,00	Q786
Ecuador	3039	467	Q736
Egypt, Arab Rep.	25.516,00	515,00	Q79
El Salvador	5388	190	Q792
Estonia	566,00	234,00	Q191
Eswatini	126	24	Q1050
Ethiopia	436,00	9,00	Q115
Fiji	285,00	16,00	Q712
Finland	950,00	1.011,00	Q33
France	27.010,00	15.178,00	Q142
