Country	Ages 0-14	Ages 15-64	Ages 65+	ID
Afghanistan	42	55	3	Q889
Albania	17	68	14	Q222
Algeria	31	63	7	Q262
Angola	47	51	2	Q916
Antigua and Barbuda	22	69	9	Q781
Argentina	25	64	11	Q414
Armenia	21	68	11	Q399
Aruba	18	68	14	Q21203
Australia	19	65	16	Q408
Austria	14	67	19	Q40
Azerbaijan	23	70	6	Q227
Bahamas, The	22	70	7	Q778
Bahrain	19	79	3	Q398
Bangladesh	27	68	5	Q902
Barbados	17	67	16	Q244
Belarus	17	68	15	Q184
Belgium	17	64	19	Q31
Belize	30	65	5	Q242
Benin	42	55	3	Q962
Bhutan	25	69	6	Q917
Bolivia	31	62	7	Q750
Bosnia and Herzegovina	15	68	17	Q225
Botswana	34	62	4	Q963
Brazil	21	70	9	Q155
Brunei Darussalam	23	72	5	Q921
Bulgaria	15	64	21	Q219
Burkina Faso	45	53	2	Q965
Burundi	45	52	2	Q967
Cabo Verde	28	67	5	Q1011
Cambodia	31	64	5	Q424
Cameroon	42	55	3	Q1009
Canada	16	67	18	Q16
Central African Republic	44	53	3	Q929
Chad	47	51	2	Q657
Channel Islands	15	67	18	Q42314
Chile	19	69	12	Q298
China	18	71	11	Q148
Hong Kong SAR, China	12	70	17	Q8646
Macao SAR, China	14	75	11	Q14773
Colombia	23	69	9	Q739
Comoros	39	58	3	Q970
Congo, Dem. Rep.	46	51	3	Q974
Congo, Rep.	42	56	3	Q971
Costa Rica	21	69	10	Q800
Cote d'Ivoire	42	55	3	Q1008
Croatia	15	65	21	Q224
Cuba	16	68	16	Q241
Curacao	18	64	17	Q25279
Cyprus	17	69	14	Q229
Czech Republic	16	64	20	Q213
Denmark	16	64	20	Q35
Djibouti	29	66	5	Q977
Dominican Republic	28	65	7	Q786
Ecuador	28	65	7	Q736
Egypt, Arab Rep.	34	61	5	Q79
El Salvador	27	65	8	Q792
Equatorial Guinea	37	61	2	Q983
Estonia	16	64	20	Q191
Eswatini	38	58	4	Q1050
Ethiopia	40	56	4	Q115
Fiji	29	65	6	Q712
Finland	16	62	22	Q33
France	18	62	20	Q142
French Polynesia	23	69	9	Q30971
Gabon	37	59	4	Q1000
Gambia, The	44	53	3	Q1005
Georgia	20	65	15	Q230
Germany	14	65	22	Q183
Ghana	37	60	3	Q117
Greece	14	64	22	Q41
Grenada	24	67	10	Q769
Guam	24	66	10	Q16635
Guatemala	34	61	5	Q774
Guinea	43	54	3	Q1006
Guinea-Bissau	42	55	3	Q1007
Guyana	28	65	7	Q734
Haiti	33	62	5	Q790
Honduras	31	64	5	Q783
Hungary	14	66	20	Q28
Iceland	20	65	15	Q189
India	27	67	6	Q668
Indonesia	26	68	6	Q252
Iran, Islamic Rep.	25	69	6	Q794
Iraq	38	59	3	Q796
Ireland	21	65	14	Q27
Israel	28	60	12	Q801
Italy	13	64	23	Q38
Jamaica	24	68	9	Q766
Japan	13	59	28	Q17
Jordan	34	63	4	Q810
Kazakhstan	29	63	8	Q232
Kenya	39	58	2	Q114
Kiribati	36	60	4	Q710
Korea, Dem. Peopleâ€™s Rep.	20	71	9	Q423
Korea, Rep.	13	72	15	Q884
Kuwait	22	76	3	Q817
Kyrgyz Republic	33	63	5	Q813
Lao PDR	32	64	4	Q819
Latvia	16	63	20	Q211
Lebanon	26	67	7	Q822
Lesotho	32	63	5	Q1013
Liberia	41	56	3	Q1014
Libya	28	67	4	Q1016
Lithuania	15	65	20	Q37
Luxembourg	16	70	14	Q32
Madagascar	40	57	3	Q1019
Malawi	43	54	3	Q1020
Malaysia	24	69	7	Q833
Maldives	20	76	4	Q826
Mali	47	50	2	Q912
Malta	14	65	21	Q233
Mauritania	40	57	3	Q1025
Mauritius	17	71	12	Q1027
Mexico	26	66	7	Q96
Micronesia, Fed. Sts.	31	64	4	Q702
Moldova	16	72	12	Q217
Mongolia	31	65	4	Q711
Montenegro	18	66	15	Q236
Morocco	27	66	7	Q1028
Mozambique	44	53	3	Q1029
Myanmar	26	68	6	Q836
Namibia	37	59	4	Q1030
Nepal	30	65	6	Q837
Netherlands	16	65	20	Q55
New Caledonia	22	68	9	Q33788
New Zealand	20	64	16	Q664
Nicaragua	30	65	5	Q811
Niger	50	48	3	Q1032
Nigeria	44	54	3	Q1033
North Macedonia	16	70	14	Q221
Norway	17	65	17	Q20
Oman	22	75	2	Q842
Pakistan	35	61	4	Q843
Panama	27	65	8	Q804
Papua New Guinea	35	61	4	Q691
Paraguay	29	64	7	Q733
Peru	25	66	8	Q419
Philippines	30	64	5	Q928
Poland	15	67	18	Q36
Portugal	13	64	22	Q45
Puerto Rico	16	64	20	Q1183
Qatar	14	85	2	Q846
Romania	16	66	19	Q218
Russian Federation	18	67	15	Q159
Rwanda	40	57	3	Q1037
Samoa	38	57	5	Q683
Sao Tome and Principe	42	55	3	Q1039
Saudi Arabia	25	72	3	Q851
Senegal	43	54	3	Q1041
Serbia	16	66	19	Q403
Seychelles	24	68	8	Q1042
Sierra Leone	41	56	3	Q1044
Singapore	12	75	12	Q334
Slovak Republic	16	68	16	Q214
Slovenia	15	65	20	Q215
Solomon Islands	40	56	4	Q685
Somalia	46	51	3	Q1045
South Africa	29	66	5	Q258
South Sudan	42	55	3	Q958
Spain	15	66	20	Q29
Sri Lanka	24	65	11	Q854
St. Lucia	18	72	10	Q760
St. Vincent and the Grenadines	22	68	10	Q757
Sudan	40	56	4	Q1049
Suriname	27	66	7	Q730
Sweden	18	62	20	Q34
Switzerland	15	66	19	Q39
Syrian Arab Republic	31	64	5	Q858
Tajikistan	37	60	3	Q863
Tanzania	44	54	3	Q924
Thailand	17	71	12	Q869
Timor-Leste	37	58	4	Q574
Togo	41	56	3	Q945
Tonga	35	59	6	Q678
Trinidad and Tobago	20	69	11	Q754
Tunisia	24	67	9	Q948
Turkey	24	67	9	Q43
Turkmenistan	31	65	5	Q874
Uganda	47	52	2	Q1036
Ukraine	16	67	17	Q212
United Arab Emirates	15	84	1	Q878
United Kingdom	18	64	19	Q145
United States	19	65	16	Q30
Uruguay	20	65	15	Q77
Uzbekistan	29	67	5	Q265
Vanuatu	39	58	4	Q686
Venezuela, RB	27	65	8	Q717
Vietnam	23	69	8	Q881
Virgin Islands (U.S.)	19	61	20	Q11703
West Bank and Gaza	39	58	3	Q407199
Yemen, Rep.	39	58	3	Q805
Zambia	44	53	2	Q953
Zimbabwe	42	55	3	Q954
