Country	Population density	ID
Afghanistan	57	Q889
Albania	105	Q222
Algeria	18	Q262
American Samoa	277	Q16641
Andorra	164	Q228
Angola	25	Q916
Antigua and Barbuda	219	Q781
Argentina	16	Q414
Armenia	104	Q399
Aruba	588	Q21203
Australia	3	Q408
Austria	107	Q40
Azerbaijan	120	Q227
Bahamas, The	39	Q778
Bahrain	2,017	Q398
Bangladesh	1,24	Q902
Barbados	667	Q244
Belarus	47	Q184
Belgium	377	Q31
Belize	17	Q242
Benin	102	Q962
Bermuda	1,184	Q23635
Bhutan	20	Q917
Bolivia	10	Q750
Bosnia and Herzegovina	65	Q225
Botswana	4	Q963
Brazil	25	Q155
Brunei Darussalam	81	Q921
Bulgaria	65	Q219
Burkina Faso	72	Q965
Burundi	435	Q967
Cambodia	92	Q424
Cameroon	53	Q1009
Canada	4	Q16
Cabo Verde	135	Q1011
Cayman Islands	267	Q5785
Central African Republic	7	Q929
Chad	12	Q657
Channel Islands	861	Q42314
Chile	25	Q298
China	148	Q148
Hong Kong SAR, China	7,096	Q8646
Macao SAR, China	20,778	Q14773
Colombia	45	Q739
Comoros	447	Q970
Congo, Dem. Rep.	37	Q974
Congo, Rep.	15	Q971
Costa Rica	98	Q800
Cote d'Ivoire	79	Q1008
Croatia	73	Q224
Cuba	109	Q241
Curacao	361	Q25279
Cyprus	129	Q229
Czech Republic	138	Q213
Denmark	138	Q35
Djibouti	41	Q977
Dominica	96	Q784
Dominican Republic	220	Q786
Ecuador	69	Q736
Egypt, Arab Rep.	99	Q79
El Salvador	310	Q792
Equatorial Guinea	47	Q983
Estonia	30	Q191
Eswatini	66	Q1050
Ethiopia	109	Q115
Faroe Islands	35	Q4628
Fiji	48	Q712
Finland	18	Q33
France	122	Q142
French Polynesia	76	Q30971
Gabon	8	Q1000
Gambia, The	225	Q1005
Georgia	65	Q230
Germany	237	Q183
Ghana	131	Q117
Greece	83	Q41
Greenland	0	Q223
Grenada	328	Q769
Guam	307	Q16635
Guatemala	153	Q774
Guinea	51	Q1006
Guinea-Bissau	67	Q1007
Guyana	4	Q734
Haiti	404	Q790
Honduras	86	Q783
Hungary	108	Q28
Iceland	4	Q189
India	455	Q668
Indonesia	148	Q252
Iran, Islamic Rep.	50	Q794
Iraq	89	Q796
Ireland	71	Q27
Isle of Man	148	Q9676
Israel	410	Q801
Italy	205	Q38
Jamaica	271	Q766
Japan	347	Q17
Jordan	112	Q810
Kazakhstan	7	Q232
Kenya	90	Q114
Kiribati	143	Q710
Korea, Dem. People’s Rep.	212	Q423
Korea, Rep.	529	Q884
Kosovo	165	Q1246
Kuwait	232	Q817
Kyrgyz Republic	33	Q813
Lao PDR	31	Q819
Latvia	31	Q211
Lebanon	669	Q822
Lesotho	69	Q1013
Liberia	50	Q1014
Libya	4	Q1016
Liechtenstein	237	Q347
Lithuania	45	Q37
Luxembourg	250	Q32
Madagascar	45	Q1019
Malawi	192	Q1020
Malaysia	96	Q833
Maldives	1,719	Q826
Mali	16	Q912
Malta	1,514	Q233
Marshall Islands	325	Q709
Mauritania	4	Q1025
Mauritius	623	Q1027
Mexico	65	Q96
Micronesia, Fed. Sts.	161	Q702
Moldova	94	Q217
Monaco	19,196	Q235
Mongolia	2	Q711
Montenegro	46	Q236
Morocco	81	Q1028
Mozambique	38	Q1029
Myanmar	82	Q836
Namibia	3	Q1030
Nauru	635	Q697
Nepal	196	Q837
Netherlands	511	Q55
New Caledonia	16	Q33788
New Zealand	18	Q664
Nicaragua	54	Q811
Niger	18	Q1032
Nigeria	215	Q1033
North Macedonia	83	Q221
Northern Mariana Islands	124	Q16644
Norway	15	Q20
Oman	16	Q842
Pakistan	275	Q843
Palau	39	Q695
Panama	56	Q804
Papua New Guinea	19	Q691
Paraguay	18	Q733
Peru	25	Q419
Philippines	358	Q928
Poland	124	Q36
Portugal	112	Q45
Puerto Rico	360	Q1183
Qatar	240	Q846
Romania	85	Q218
Russian Federation	9	Q159
Rwanda	499	Q1037
Samoa	69	Q683
San Marino	563	Q238
Sao Tome and Principe	220	Q1039
Saudi Arabia	16	Q851
Senegal	82	Q1041
Serbia	80	Q403
Seychelles	210	Q1042
Sierra Leone	106	Q1044
Singapore	7,953	Q334
Sint Maarten (Dutch part)	1,193	Q26273
Slovak Republic	113	Q214
Slovenia	103	Q215
Solomon Islands	23	Q685
Somalia	24	Q1045
South Africa	48	Q258
Spain	94	Q29
Sri Lanka	346	Q854
St. Kitts and Nevis	202	Q763
St. Lucia	298	Q760
St. Martin (French part)	672	Q126125
St. Vincent and the Grenadines	283	Q757
Suriname	4	Q730
Sweden	25	Q34
Switzerland	215	Q39
Syrian Arab Republic	92	Q858
Tajikistan	66	Q863
Tanzania	64	Q924
Thailand	136	Q869
Timor-Leste	85	Q574
Togo	145	Q945
Tonga	143	Q678
Trinidad and Tobago	271	Q754
Tunisia	74	Q948
Turkey	107	Q43
Turkmenistan	12	Q874
Turks and Caicos Islands	40	Q18221
Tuvalu	384	Q672
Uganda	213	Q1036
Ukraine	77	Q212
United Arab Emirates	136	Q878
United Kingdom	275	Q145
United States	36	Q30
Uruguay	20	Q77
Uzbekistan	77	Q265
Vanuatu	24	Q686
Venezuela, RB	33	Q717
Vietnam	308	Q881
Virgin Islands (U.S.)	306	Q11703
West Bank and Gaza	759	Q407199
Yemen, Rep.	54	Q805
Zambia	23	Q953
Zimbabwe	37	Q954
