Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	51	76	Q889
Albania	2018	87	98	Q222
Algeria	2013	88	96	Q262
Angola	2016	57	98	Q916
Armenia	2016	99	100	Q399
Bangladesh	2014	36	90	Q902
Barbados	2012	81	100	Q244
Belarus	2012	98	100	Q184
Belize	2016	99	97	Q242
Benin	2018	64	96	Q962
Bhutan	2010	96	99	Q917
Bolivia	2008	79	97	Q750
Burkina Faso	2018	79	90	Q965
Burundi	2017	98	99	Q967
Cambodia	2014	91	99	Q424
Cameroon	2014	58	98	Q1009
Central African Republic	2010	53	90	Q929
Chad	2015	60	86	Q657
Colombia	2015	92	100	Q739
Comoros	2012	87	94	Q970
Congo, Dem. Rep.	2014	80	96	Q974
Congo, Rep.	2016	80	100	Q971
Costa Rica	2011	96	99	Q800
Cote d'Ivoire	2016	86	96	Q1008
Dominican Republic	2014	98	99	Q786
Egypt, Arab Rep.	2014	86	96	Q79
El Salvador	2014	94	99	Q792
Eswatini	2014	99	99	Q1050
Ethiopia	2016	48	88	Q115
Gabon	2012	86	97	Q1000
Gambia, The	2018	99	98	Q1005
Ghana	2016	94	98	Q117
Guatemala	2015	86	98	Q774
Guinea	2018	68	95	Q1006
Guinea-Bissau	2014	90	98	Q1007
Guyana	2014	76	99	Q734
Haiti	2017	81	99	Q790
Honduras	2012	94	99	Q783
India	2016	58	94	Q668
Indonesia	2017	92	100	Q252
Iraq	2018	77	95	Q796
Jamaica	2011	97	99	Q766
Jordan	2018	97	98	Q810
Kazakhstan	2015	99	100	Q232
Kenya	2015	89	98	Q114
Kosovo	2014	95	99	Q1246
Kyrgyz Republic	2018	100	100	Q813
Lao PDR	2017	52	97	Q819
Lesotho	2018	87	95	Q1013
Liberia	2016	94	100	Q1014
Madagascar	2016	75	96	Q1019
Malawi	2017	97	98	Q1020
Maldives	2017	98	100	Q826
Mali	2018	69	97	Q912
Mauritania	2015	75	97	Q1025
Mexico	2015	97	100	Q96
Moldova	2012	95	99	Q217
Mongolia	2018	99	100	Q711
Montenegro	2013	84	95	Q236
Mozambique	2018	93	99	Q1029
Myanmar	2016	70	99	Q836
Namibia	2013	95	97	Q1030
Nepal	2016	77	95	Q837
Niger	2012	73	96	Q1032
Nigeria	2018	40	93	Q1033
North Macedonia	2011	97	100	Q221
Pakistan	2018	68	98	Q843
Papua New Guinea	2018	56	94	Q691
Paraguay	2016	98	100	Q733
Peru	2012	86	100	Q419
Philippines	2017	85	99	Q928
Rwanda	2017	96	100	Q1037
Sao Tome and Principe	2014	95	100	Q1039
Senegal	2017	94	99	Q1041
Serbia	2014	98	95	Q403
Sierra Leone	2017	96	99	Q1044
South Africa	2016	95	92	Q258
South Sudan	2010	21	68	Q958
Sudan	2014	62	97	Q1049
Suriname	2018	89	78	Q730
Tajikistan	2017	86	96	Q863
Tanzania	2017	96	100	Q924
Thailand	2016	98	100	Q869
Timor-Leste	2016	75	95	Q574
Togo	2017	21	94	Q945
Tunisia	2018	97	97	Q948
Turkey	2013	93	100	Q43
Turkmenistan	2016	100	100	Q874
Uganda	2016	96	98	Q1036
Ukraine	2012	99	99	Q212
Vietnam	2014	81	100	Q881
West Bank and Gaza	2014	100	99	Q407199
Yemen, Rep.	2013	39	88	Q805
Zambia	2014	92	99	Q953
Zimbabwe	2015	88	98	Q954
