Country	GNI	Exports	ID
Albania	31.1	89.3	Q222
Algeria	0.8	3.2	Q262
Angola	37.9	91.6	Q916
Argentina	34.2	206.9	Q414
Armenia	43.9	98.6	Q399
Azerbaijan	30.3	49.7	Q227
Bangladesh	9.6	62	Q902
Belarus	39.6	52.9	Q184
Belize	72.2	119.4	Q242
Benin	20	74.6	Q962
Bhutan	85.9	246.1	Q917
Bolivia	23.8	88.9	Q750
Bosnia and Herzegovina	25.3	57	Q225
Botswana	7.2	17.2	Q963
Brazil	10.4	63.9	Q155
Bulgaria	18.6	28	Q219
Cabo Verde	79.5	154.5	Q1011
Cambodia	23.8	28.7	Q424
China	1.5	7	Q148
Colombia	27.7	147.5	Q739
Congo, Dem. Rep.	8.7	24.4	Q974
Costa Rica	25.7	69	Q800
Dominica	51.7	151.4	Q784
Dominican Republic	32.1	120	Q786
Ecuador	36.1	153	Q736
Egypt, Arab Rep.	30.2	140.7	Q79
El Salvador	48.8	154.5	Q792
Fiji	13.5	25.3	Q712
Georgia	39.2	59.5	Q230
Grenada	44.4	73.6	Q769
Guatemala	11.2	58.4	Q774
Guinea	8	20	Q1006
Haiti	15.7	82.2	Q790
Honduras	30.6	91.2	Q783
India	6.5	31.5	Q668
Indonesia	21.5	99.8	Q252
Jamaica	92.1	228.8	Q766
Jordan	41.8	109.2	Q810
Kazakhstan	17	36.3	Q232
Kenya	25.1	177.7	Q114
Kosovo	5.9	19.9	Q1246
Kyrgyz Republic	42.9	128	Q813
Lao PDR	44.8	121.9	Q819
Lebanon	67.1	161.2	Q822
Lesotho	23.3	42.9	Q1013
North Macedonia	32.8	51.3	Q221
Madagascar	17.9	47.7	Q1019
Maldives	24.3	31.9	Q826
Mauritius	9.1	10.3	Q1027
Mexico	29	70.1	Q96
Moldova	12.4	33.4	Q217
Mongolia	64.6	94.2	Q711
Montenegro	56.3	114.9	Q236
Morocco	28.7	76.2	Q1028
Mozambique	68	154.4	Q1029
Myanmar	21.2	86.1	Q836
Nicaragua	38.5	87.9	Q811
Nigeria	4.9	26.7	Q1033
Pakistan	19.8	211.4	Q843
Papua New Guinea	9.6	20.5	Q691
Paraguay	16.4	44.6	Q733
Peru	11.7	42.9	Q419
Philippines	11.8	46.1	Q928
Romania	18.1	40.6	Q218
Russian Federation	14.9	43.1	Q159
Rwanda	23.2	104.9	Q1037
Samoa	41.8	111.7	Q683
Sao Tome and Principe	51.7	213.8	Q1039
Serbia	35.1	65.3	Q403
Solomon Islands	6.1	11.2	Q685
South Africa	24.6	74.3	Q258
Sri Lanka	39.8	167.6	Q854
St. Lucia	31.3	43.8	Q760
St. Vincent and the Grenadines	34.3	92.8	Q757
Sudan	54.1	400.5	Q1049
Eswatini	8.1	18.4	Q1050
Tajikistan	29.8	98.8	Q863
Thailand	5.9	8.3	Q869
Timor-Leste	4.4	10.3	Q574
Tonga	34.2	101.5	Q678
Tunisia	59.5	114.8	Q948
Turkey	18.1	59.4	Q43
Uganda	20.1	94.7	Q1036
Ukraine	42.1	75.8	Q212
Uzbekistan	13.6	40.8	Q265
Vietnam	21	18.7	Q881
Zambia	37.3	96.6	Q953
Zimbabwe	18.4	110.6	Q954
