Country	Stunting, height for age	ID
Afghanistan	38.2	Q889
Albania	11.3	Q222
Algeria	11.7	Q262
Angola	37.6	Q916
Argentina	7.9	Q414
Armenia	9.4	Q399
Azerbaijan	17.8	Q227
Bangladesh	30.8	Q902
Barbados	7.7	Q244
Belize	15.0	Q242
Benin	32.2	Q962
Bolivia	16.1	Q750
Bosnia and Herzegovina	8.9	Q225
Bulgaria	7.0	Q219
Burkina Faso	24.9	Q965
Burundi	54.2	Q967
Cambodia	32.4	Q424
Cameroon	28.9	Q1009
Central African Republic	40.8	Q929
Chad	39.8	Q657
Chile	1.8	Q298
China	8.1	Q148
Colombia	12.7	Q739
Comoros	31.1	Q970
Congo, Dem. Rep.	42.7	Q974
Congo, Rep.	21.2	Q971
Cote d'Ivoire	21.6	Q1008
Djibouti	33.5	Q977
Dominican Republic	7.1	Q786
Ecuador	23.9	Q736
Egypt, Arab Rep.	22.3	Q79
El Salvador	13.6	Q792
Equatorial Guinea	26.2	Q983
Eswatini	25.5	Q1050
Ethiopia	36.8	Q115
Gabon	17.0	Q1000
Gambia, The	13.6	Q1005
Germany	1.7	Q183
Ghana	17.5	Q117
Guatemala	46.7	Q774
Guinea	30.3	Q1006
Guinea-Bissau	27.6	Q1007
Guyana	11.3	Q734
Haiti	21.9	Q790
Honduras	22.6	Q783
India	34.7	Q668
Indonesia	30.5	Q252
Iran, Islamic Rep.	6.8	Q794
Iraq	12.6	Q796
Jamaica	6.0	Q766
Jordan	7.8	Q810
Kazakhstan	8.0	Q232
Kenya	26.2	Q114
Korea, Dem. People’s Rep.	19.1	Q423
Kuwait	6.4	Q817
Kyrgyz Republic	11.8	Q813
Lao PDR	33.1	Q819
Lesotho	34.6	Q1013
Liberia	30.1	Q1014
Libya	38.1	Q1016
Madagascar	41.6	Q1019
Malawi	39.0	Q1020
Malaysia	20.7	Q833
Mali	26.9	Q912
Marshall Islands	34.8	Q709
Mauritania	22.8	Q1025
Mexico	10.0	Q96
Moldova	6.4	Q217
Mongolia	9.4	Q711
Montenegro	9.4	Q236
Morocco	15.1	Q1028
Mozambique	42.3	Q1029
Myanmar	29.4	Q836
Namibia	22.7	Q1030
Nepal	36.0	Q837
Nicaragua	17.3	Q811
Niger	48.5	Q1032
Nigeria	36.8	Q1033
North Macedonia	4.9	Q221
Oman	11.4	Q842
Pakistan	37.6	Q843
Paraguay	5.6	Q733
Peru	12.2	Q419
Philippines	30.3	Q928
Poland	2.6	Q36
Rwanda	36.9	Q1037
Samoa	4.9	Q683
Sao Tome and Principe	17.2	Q1039
Senegal	18.8	Q1041
Serbia	6.0	Q403
Seychelles	7.9	Q1042
Sierra Leone	29.5	Q1044
Solomon Islands	31.7	Q685
South Africa	27.4	Q258
Sri Lanka	17.3	Q854
St. Lucia	2.5	Q760
Sudan	38.2	Q1049
Tajikistan	17.5	Q863
Tanzania	31.8	Q924
Thailand	10.5	Q869
Timor-Leste	51.7	Q574
Togo	23.8	Q945
Tonga	8.1	Q678
Trinidad and Tobago	9.2	Q754
Tunisia	8.4	Q948
Turkey	6.0	Q43
Turkmenistan	11.5	Q874
Uganda	28.9	Q1036
United States	3.5	Q30
Uruguay	10.7	Q77
Uzbekistan	10.8	Q265
Vanuatu	28.9	Q686
Vietnam	23.8	Q881
West Bank and Gaza	7.4	Q407199
Yemen, Rep.	46.4	Q805
Zambia	34.6	Q953
Zimbabwe	23.5	Q954
