Country	Survey year	Poorest quintile	Richest quintile	ID
Albania	2018	2	1	Q222
Angola	2016	27	8	Q916
Armenia	2016	4	3	Q399
Bangladesh	2014	45	17	Q902
Belize	2016	5	3	Q242
Benin	2018	21	12	Q962
Bhutan	2010	16	7	Q917
Bolivia	2008	8	2	Q750
Burkina Faso	2010	32	16	Q965
Burundi	2017	42	13	Q967
Cambodia	2014	31	13	Q424
Cameroon	2014	27	3	Q1009
Central African Republic	2010	26	19	Q929
Chad	2015	29	22	Q657
Colombia	2010	6	2	Q739
Comoros	2012	20	9	Q970
Congo, Dem. Rep.	2014	29	8	Q974
Congo, Rep.	2016	17	9	Q971
Cote d'Ivoire	2016	17	7	Q1008
Dominican Republic	2014	7	3	Q786
Egypt, Arab Rep.	2014	6	5	Q79
El Salvador	2014	7	2	Q792
Eswatini	2014	8	2	Q1050
Ethiopia	2016	31	14	Q115
Gabon	2012	10	2	Q1000
Gambia, The	2018	17	11	Q1005
Ghana	2014	16	6	Q117
Guatemala	2015	20	4	Q774
Guinea	2018	19	9	Q1006
Guinea-Bissau	2014	19	9	Q1007
Guyana	2014	12	3	Q734
Haiti	2017	15	5	Q790
Honduras	2012	13	3	Q783
India	2016	49	20	Q668
Iraq	2018	5	2	Q796
Jordan	2018	5	0	Q810
Kenya	2014	20	4	Q114
Kosovo	2014	2	1	Q1246
Kyrgyz Republic	2018	1	1	Q813
Lao PDR	2017	31	8	Q819
Lesotho	2018	14	5	Q1013
Liberia	2013	18	9	Q1014
Malawi	2016	14	7	Q1020
Maldives	2017	17	12	Q826
Mali	2018	24	11	Q912
Mauritania	2015	33	12	Q1025
Mexico	2015	7	2	Q96
Moldova	2012	4	1	Q217
Mongolia	2018	2	2	Q711
Montenegro	2013	0	0	Q236
Mozambique	2015	23	6	Q1029
Myanmar	2016	24	13	Q836
Namibia	2013	19	5	Q1030
Nepal	2016	33	11	Q837
Niger	2012	41	26	Q1032
Nigeria	2018	36	10	Q1033
North Macedonia	2011	2	0	Q221
Pakistan	2018	39	11	Q843
Paraguay	2016	2	0	Q733
Peru	2012	7	1	Q419
Rwanda	2015	13	3	Q1037
Sao Tome and Principe	2014	13	8	Q1039
Senegal	2017	22	6	Q1041
Serbia	2010	5	1	Q403
Sierra Leone	2017	15	7	Q1044
South Africa	2016	4	3	Q258
South Sudan	2010	32	21	Q958
Sudan	2014	40	18	Q1049
Suriname	2018	7	8	Q730
Tajikistan	2017	8	8	Q863
Tanzania	2016	17	7	Q924
Thailand	2016	10	5	Q869
Timor-Leste	2016	45	29	Q574
Togo	2014	20	7	Q945
Tunisia	2018	2	1	Q948
Turkmenistan	2016	4	5	Q874
Uganda	2016	15	4	Q1036
Vietnam	2014	21	3	Q881
West Bank and Gaza	2014	2	2	Q407199
Yemen, Rep.	2013	54	22	Q805
Zambia	2014	20	9	Q953
Zimbabwe	2015	11	5	Q954
