Country	Male	Female	ID
Afghanistan	4	4.2	Q889
Albania	17.4	15.4	Q222
Algeria	12.9	12	Q262
Angola	3.1	3.6	Q916
Armenia	14.6	12.7	Q399
Azerbaijan	15.1	12.8	Q227
Bangladesh	1.6	1.5	Q902
Barbados	11.3	13.3	Q244
Belize	8	6.5	Q242
Benin	1.8	1.9	Q962
Bolivia	11.1	9.2	Q750
Bosnia and Herzegovina	16.7	18	Q225
Burkina Faso	1	1	Q965
Burundi	1.5	1.2	Q967
Cambodia	2.6	1.8	Q424
Cameroon	7.1	6.2	Q1009
Central African Republic	2.2	1.8	Q929
Chad	2.8	2.8	Q657
Colombia	6.7	4.7	Q739
Comoros	11.2	10	Q970
Congo, Dem. Rep.	4.5	4.4	Q974
Congo, Rep.	4.8	7	Q971
Cote d'Ivoire	1.8	1.1	Q1008
Djibouti	7.8	8.5	Q977
Dominican Republic	7.9	7.3	Q786
Ecuador	8.4	7.6	Q736
Egypt, Arab Rep.	16.3	15	Q79
El Salvador	6.2	6.6	Q792
Ethiopia	3.1	2.8	Q115
Gabon	9.2	6.2	Q1000
Gambia, The	2.9	2.1	Q1005
Ghana	3.6	1.6	Q117
Guatemala	5.1	4.8	Q774
Guinea	5.7	5.6	Q1006
Guinea-Bissau	2.7	1.9	Q1007
Guyana	5.7	4.8	Q734
Haiti	4	2.8	Q790
Honduras	5.5	4.8	Q783
India	2.4	2.4	Q668
Iraq	6.3	5.7	Q796
Jamaica	7.7	9	Q766
Jordan	5.6	3.8	Q810
Kazakhstan	8.7	10	Q232
Kenya	4.7	3.5	Q114
Kyrgyz Republic	6.8	7.1	Q813
Lao PDR	3.9	3.1	Q819
Lesotho	7.3	5.8	Q1013
Liberia	3.5	1.9	Q1014
North Macedonia	13.4	11.4	Q221
Madagascar	1.6	1.2	Q1019
Malawi	2.7	2.4	Q1020
Mali	2.2	1.8	Q912
Marshall Islands	4.9	3.2	Q709
Mauritania	1.4	1.6	Q1025
Mexico	5.3	5.3	Q96
Moldova	6	3.7	Q217
Mongolia	11.2	9.8	Q711
Montenegro	24.7	19.6	Q236
Morocco	12.4	9.3	Q1028
Mozambique	7.6	6.4	Q1029
Myanmar	1.9	1.1	Q836
Namibia	3.8	4.2	Q1030
Nepal	1.3	1	Q837
Nicaragua	8.6	7.9	Q811
Niger	1.2	1	Q1032
Nigeria	2.3	1.8	Q1033
Pakistan	2.3	2.6	Q843
Paraguay	13	11.9	Q733
Peru	9.2	7.8	Q419
Philippines	3.4	3.2	Q928
Rwanda	6.3	4.9	Q1037
Samoa	6.2	4.4	Q683
Sao Tome and Principe	2.6	2.2	Q1039
Senegal	2.7	2.5	Q1041
Serbia	15.6	12	Q403
Sierra Leone	2.2	1.8	Q1044
Solomon Islands	4.6	4.4	Q685
South Africa	15.5	11	Q258
Sri Lanka	0.7	0.4	Q854
St. Lucia	8.9	3.8	Q760
Sudan	3.2	2.8	Q1049
Eswatini	9	8.9	Q1050
Tajikistan	3.5	3.2	Q863
Tanzania	3.8	3.6	Q924
Thailand	8.8	7.5	Q869
Timor-Leste	1.5	1.7	Q574
Togo	1.8	2.2	Q945
Trinidad and Tobago	13	9.8	Q754
Tunisia	18	16.5	Q948
Turkey	11.9	10.2	Q43
Turkmenistan	6	5.7	Q874
Uganda	4.9	2.6	Q1036
Uzbekistan	5.4	3.6	Q265
Vanuatu	5.2	4.7	Q686
West Bank and Gaza	9.1	7.1	Q407199
Yemen, Rep.	2.4	2.5	Q805
Zambia	5.4	5	Q953
Zimbabwe	2.9	2.2	Q954
