Country	Male	Female	ID
Albania	51	7	Q222
Algeria	30	1	Q262
Andorra	38	29	Q228
Argentina	28	16	Q414
Armenia	52	2	Q399
Australia	17	13	Q408
Austria	31	28	Q40
Azerbaijan	43	0	Q227
Bahamas, The	20	3	Q778
Bahrain	38	6	Q398
Bangladesh	45	1	Q902
Barbados	15	2	Q244
Belarus	46	11	Q184
Belgium	31	25	Q31
Benin	12	1	Q962
Bosnia and Herzegovina	48	30	Q225
Botswana	34	6	Q963
Brazil	18	10	Q155
Brunei Darussalam	31	2	Q921
Bulgaria	44	30	Q219
Burkina Faso	24	2	Q965
Cabo Verde	17	2	Q1011
Cambodia	34	2	Q424
Canada	17	12	Q16
Chile	42	34	Q298
China	48	2	Q148
Colombia	14	5	Q739
Comoros	24	4	Q970
Congo, Rep.	52	2	Q971
Costa Rica	17	6	Q800
Croatia	40	34	Q224
Cuba	53	17	Q241
Cyprus	53	20	Q229
Czech Republic	38	31	Q213
Denmark	19	19	Q35
Djibouti	25	2	Q977
Dominican Republic	19	9	Q786
Ecuador	12	2	Q736
Egypt, Arab Rep.	50	0	Q79
El Salvador	19	3	Q792
Eritrea	11	0	Q986
Estonia	39	25	Q191
Eswatini	17	2	Q1050
Ethiopia	9	0	Q115
Fiji	35	10	Q712
Finland	23	18	Q33
France	36	30	Q142
Gambia, The	31	1	Q1005
Georgia	56	5	Q230
Germany	33	28	Q183
Ghana	8	0	Q117
Greece	52	35	Q41
Haiti	23	3	Q790
Hungary	35	27	Q28
Iceland	15	14	Q189
India	21	2	Q668
Indonesia	76	3	Q252
Iran, Islamic Rep.	21	1	Q794
Ireland	26	23	Q27
Israel	35	15	Q801
Italy	28	20	Q38
Jamaica	29	5	Q766
Japan	34	11	Q17
Kazakhstan	43	7	Q232
Kenya	20	1	Q114
Kiribati	59	36	Q710
Korea, Rep.	41	6	Q884
Kuwait	37	3	Q817
Kyrgyz Republic	51	4	Q813
Lao PDR	51	7	Q819
Latvia	51	26	Q211
Lebanon	41	27	Q822
Lesotho	54	0	Q1013
Liberia	18	2	Q1014
Lithuania	38	21	Q37
Luxembourg	26	21	Q32
Malawi	25	4	Q1020
Malaysia	42	1	Q833
Maldives	55	2	Q826
Mali	23	2	Q912
Malta	30	21	Q233
Mauritius	41	3	Q1027
Mexico	21	7	Q96
Moldova	45	6	Q217
Mongolia	47	6	Q711
Montenegro	48	44	Q236
Morocco	47	1	Q1028
Mozambique	29	5	Q1029
Myanmar	35	6	Q836
Namibia	34	10	Q1030
Nepal	38	10	Q837
Netherlands	27	24	Q55
New Zealand	17	15	Q664
Niger	15	0	Q1032
Nigeria	11	1	Q1033
Norway	21	20	Q20
Oman	16	1	Q842
Pakistan	37	3	Q843
Palau	23	8	Q695
Panama	10	2	Q804
Papua New Guinea	49	24	Q691
Paraguay	22	5	Q733
Philippines	41	8	Q928
Poland	33	23	Q36
Portugal	30	16	Q45
Qatar	27	1	Q846
Romania	37	23	Q218
Russian Federation	58	23	Q159
Rwanda	21	5	Q1037
Samoa	38	17	Q683
Saudi Arabia	25	2	Q851
Senegal	17	0	Q1041
Serbia	40	38	Q403
Seychelles	36	7	Q1042
Sierra Leone	41	9	Q1044
Singapore	28	5	Q334
Slovak Republic	38	23	Q214
Slovenia	25	20	Q215
South Africa	33	8	Q258
Spain	31	27	Q29
Sri Lanka	27	0	Q854
Suriname	43	7	Q730
Sweden	19	19	Q34
Switzerland	29	23	Q39
Tanzania	27	3	Q924
Thailand	39	2	Q869
Timor-Leste	78	6	Q574
Togo	14	1	Q945
Tonga	44	12	Q678
Tunisia	66	1	Q948
Turkey	41	14	Q43
Uganda	17	3	Q1036
Ukraine	47	14	Q212
United Arab Emirates	37	1	Q878
United Kingdom	25	20	Q145
United States	25	19	Q30
Uruguay	20	14	Q77
Uzbekistan	25	1	Q265
Vanuatu	35	3	Q686
Vietnam	46	1	Q881
Yemen, Rep.	29	8	Q805
Zambia	25	3	Q953
Zimbabwe	31	2	Q954
