Country	Property rights and rule-based governance	Quality of budgetary and financial management	Efficiency of revenue mobilization	Quality of public administration	Transparency, accountability, and corruption in the public sector	Average	ID
Afghanistan	2.0	3.5	3.0	2.5	2.0	2.6	Q889
Bangladesh	2.5	3.0	2.5	2.5	2.5	2.6	Q902
Benin	3.5	3.5	3.5	3.0	3.5	3.4	Q962
Bhutan	4.0	4.0	3.5	4.0	4.5	4.0	Q917
Burkina Faso	3.0	3.5	3.0	3.0	3.5	3.2	Q965
Burundi	2.0	2.5	3.0	2.5	1.5	2.3	Q967
Cabo Verde	4.0	3.5	4.0	4.0	4.5	4.0	Q1011
Cambodia	2.5	3.0	3.5	2.5	1.5	2.6	Q424
Cameroon	2.5	3.5	3.5	3.0	2.5	3.0	Q1009
Central African Republic	2.0	2.5	2.5	2.5	2.5	2.4	Q929
Chad	2.5	2.5	2.5	2.5	2.5	2.5	Q657
Comoros	3.0	2.5	2.5	2.0	2.5	2.5	Q970
Congo, Dem. Rep.	2.0	2.5	3.0	3.0	2.0	2.5	Q974
Congo, Rep.	2.5	3.0	3.0	3.0	2.0	2.7	Q971
Cote d'Ivoire	3.5	4.0	3.5	3.0	3.5	3.5	Q1008
Djibouti	3.0	3.0	3.5	3.5	2.5	3.1	Q977
Dominica	4.0	3.5	3.5	3.5	4.0	3.7	Q784
Eritrea	2.5	2.0	3.0	2.5	2.5	2.5	Q986
Ethiopia	3.0	3.5	3.5	4.0	3.0	3.4	Q115
Gambia, The	3.0	3.0	3.5	3.0	2.5	3.0	Q1005
Ghana	4.0	3.5	3.5	3.5	3.5	3.6	Q117
Grenada	3.5	3.0	4.0	3.5	4.0	3.6	Q769
Guinea	2.5	3.0	3.5	3.0	2.5	2.9	Q1006
Guinea-Bissau	2.0	2.0	2.5	2.0	1.5	2.0	Q1007
Guyana	3.0	3.5	3.5	3.0	3.0	3.2	Q734
Haiti	2.0	2.0	2.5	2.5	2.5	2.3	Q790
Honduras	2.5	3.5	3.5	3.0	2.5	3.0	Q783
Kenya	3.0	3.5	4.0	3.5	3.0	3.4	Q114
Kiribati	4.0	2.5	3.5	3.0	3.5	3.3	Q710
Kosovo	3.0	4.0	3.5	3.0	3.0	3.3	Q1246
Kyrgyz Republic	3.0	3.5	3.5	3.0	3.0	3.2	Q813
Lao PDR	3.0	3.0	3.0	2.5	2.5	2.8	Q819
Lesotho	3.5	2.5	4.0	2.5	3.0	3.1	Q1013
Liberia	2.5	3.0	3.0	2.5	2.5	2.7	Q1014
Madagascar	2.5	2.5	3.5	2.5	2.5	2.7	Q1019
Malawi	3.0	3.0	4.0	2.5	2.5	3.0	Q1020
Maldives	3.0	3.0	4.0	3.0	3.0	3.2	Q826
Mali	2.5	4.0	3.5	2.5	3.0	3.1	Q912
Marshall Islands	3.5	2.5	2.5	2.0	3.5	2.8	Q709
Mauritania	3.0	3.5	4.0	3.0	3.0	3.3	Q1025
Micronesia, Fed. Sts.	3.0	2.5	2.5	2.5	3.5	2.8	Q702
Moldova	3.5	4.0	3.5	3.0	2.5	3.3	Q217
Mongolia	3.0	3.5	3.5	3.5	3.0	3.3	Q711
Mozambique	2.5	3.5	4.0	3.0	2.5	3.1	Q1029
Myanmar	2.0	3.5	3.5	2.5	2.5	2.8	Q836
Nepal	3.0	2.5	3.5	2.5	3.0	2.9	Q837
Nicaragua	2.5	3.5	3.5	3.0	2.5	3.0	Q811
Niger	3.0	3.0	3.5	3.0	3.0	3.1	Q1032
Nigeria	2.5	3.0	3.0	2.5	3.0	2.8	Q1033
Pakistan	3.0	3.5	3.5	3.0	3.0	3.2	Q843
Papua New Guinea	2.0	3.0	3.5	2.5	2.5	2.7	Q691
Rwanda	3.5	4.0	4.0	4.0	3.5	3.8	Q1037
Samoa	4.5	4.0	4.5	4.0	4.0	4.2	Q683
Sao Tome and Principe	3.0	3.0	3.0	3.0	3.5	3.1	Q1039
Senegal	3.5	3.5	3.5	3.5	3.5	3.5	Q1041
Sierra Leone	3.0	3.5	3.5	3.0	3.0	3.2	Q1044
Solomon Islands	3.0	2.5	3.0	2.0	3.0	2.7	Q685
Somalia	1.0	2.5	2.5	2.0	2.0	2.0	Q1045
South Sudan	1.5	1.0	2.0	1.0	1.5	1.4	Q958
St. Lucia	4.0	3.0	4.0	3.5	4.5	3.8	Q760
St. Vincent and the Grenadines	4.0	3.0	4.0	3.5	4.0	3.7	Q757
Sudan	2.0	2.5	2.5	2.0	1.5	2.1	Q1049
Tajikistan	2.5	3.0	3.5	3.0	2.0	2.8	Q863
Tanzania	3.0	3.0	3.0	3.0	3.0	3.0	Q924
Timor-Leste	2.0	3.0	3.0	2.0	3.0	2.6	Q574
Togo	3.0	3.0	3.5	3.0	3.0	3.1	Q945
Tonga	4.0	3.5	4.0	3.5	3.5	3.7	Q678
Tuvalu	3.5	3.0	3.0	2.5	3.5	3.1	Q672
Uganda	3.5	3.5	3.5	3.0	2.5	3.2	Q1036
Uzbekistan	3.0	4.0	4.5	3.0	2.5	3.4	Q265
Vanuatu	3.5	3.0	3.5	3.0	3.0	3.2	Q686
Yemen, Rep.	1.5	1.5	2.5	1.5	1.5	1.7	Q805
Zambia	3.0	3.0	3.5	3.0	2.5	3.0	Q953
Zimbabwe	2.0	3.0	4.0	3.0	2.5	2.9	Q954
