Country	Rail lines	Passengers carried	Goods hauled	ID
Algeria	4016	1550	1009	Q262
Armenia	686	25	689	Q399
Austria	4953	12019	16052	Q40
Azerbaijan	2132	467	4633	Q227
Bangladesh	2877	10040	1053	Q902
Belarus	5459	6295	48538	Q184
Bosnia and Herzegovina	1018	29	1114	Q225
Bulgaria	4030	1437	2860	Q219
Cameroon	1004	262124	842	Q1009
Canada	48150	1535	540141	Q16
China	67278	685213	2146466	Q148
Congo, Dem. Rep.	3641	23	194	Q974
Croatia	2605	745	2012	Q224
Czech Republic	9408	7778	11819	Q213
Finland	5926	4271	10319	Q33
Gabon	810	174	3276	Q1000
Georgia	1285	597	2963	Q230
Germany	33488	77500	70614	Q183
Hungary	7752	5781	447	Q28
India	67368	1149835	620175	Q668
Iran, Islamic Rep.	9021	13270	30299	Q794
Ireland	1888	2122	100	Q27
Israel	1495	2765	1381	Q801
Italy	16788	44306	9969	Q38
Japan	16976	197254	21265	Q17
Kazakhstan	16040	19241	206258	Q232
Korea, Rep.	4192	21935	8229	Q884
Kyrgyz Republic	424	43	935	Q813
Latvia	1860	42	9971	Q211
Lithuania	1911	468	15414	Q37
North Macedonia	683	59	277	Q221
Moldova	1151	77	971	Q217
Mongolia	1810	973	13493	Q711
Montenegro	249	60	169	Q236
Morocco	2109	4923	3896	Q1028
Pakistan	7791	22476	5031	Q843
Poland	18513	9466	28720	Q36
Romania	10765	5366	9223	Q218
Russian Federation	85545	122920	2491876	Q159
Serbia	3736	377	3288	Q403
Slovak Republic	3626	3760	7008	Q214
Slovenia	1209	650	4447	Q215
Spain	15559	26990	6649	Q29
Sri Lanka	1562	7407	127	Q854
Switzerland	4036	19193	8492	Q39
Tajikistan	620	28	165	Q863
Tunisia	2165	1164	664	Q948
Turkey	10207	4566	12058	Q43
Turkmenistan	7680	2340	13327	Q874
Ukraine	21626	28001	191914	Q212
United States	150966	10660	2445132	Q30
Uzbekistan	4642	4294	22940	Q265
Vietnam	2367	3657	3574	Q881
