Country	Index (2018)	Index (2019)	ID
Algeria	93.3	95.3	Q262
Antigua and Barbuda	107.8	110.6	Q781
Armenia	100.5	103	Q399
Australia	89.9	85.9	Q408
Austria	102.8	101.6	Q40
Bahamas, The	100.4	101.8	Q778
Bahrain	109.3	111.8	Q398
Belgium	101.5	99.9	Q31
Belize	99.8	100	Q242
Bolivia	143.3	149.7	Q750
Brazil	71	69.6	Q155
Bulgaria	101.3	101.8	Q219
Burundi	118.7	114.1	Q967
Cameroon	97.9	96.7	Q1009
Canada	82.3	81.5	Q16
Central African Republic	127.9	127.3	Q929
Chile	97.1	92.4	Q298
China	121.7	120.7	Q148
Hong Kong SAR, China	121.1	127.2	Q8646
Colombia	77.2	72.6	Q739
Congo, Dem. Rep.	111.2	141.3	Q974
Costa Rica	105.7	106.4	Q800
Cote d'Ivoire	97.2	93.2	Q1008
Croatia	95.4	94	Q224
Cyprus	90.1	87.9	Q229
Czech Republic	99.1	99.4	Q213
Denmark	97.2	95.4	Q35
Dominica	101.7	102.9	Q784
Dominican Republic	90.1	89	Q786
Equatorial Guinea	104.4	102	Q983
Fiji	112.7	113.3	Q712
Finland	98.6	97	Q33
France	95.4	93.7	Q142
Gabon	103	102.5	Q1000
Gambia, The	89.1	93.1	Q1005
Georgia	98.2	93.4	Q230
Germany	97	95.4	Q183
Ghana	73.7	72	Q117
Greece	90.8	88.8	Q41
Grenada	95.3	96	Q769
Guyana	105.2	107.9	Q734
Hungary	90.1	88.9	Q28
Iceland	139.9	130.5	Q189
Iran, Islamic Rep.	91.2	126.2	Q794
Ireland	90.8	88.2	Q27
Israel	106	108.6	Q801
Italy	96.8	94.4	Q38
Japan	74.4	76.5	Q17
Korea, Rep.	155.4	146.9	Q884
Latvia	102.8	102.8	Q211
Lesotho	80.6	78.2	Q1013
Luxembourg	100.3	99.5	Q32
North Macedonia	99.8	98.3	Q221
Malawi	76.8	86.1	Q1020
Malaysia	88.7	87.4	Q833
Malta	94.4	92.7	Q233
Mexico	81	83.7	Q96
Moldova	122.4	124.9	Q217
Morocco	99.4	99.9	Q1028
Netherlands	99.4	99.3	Q55
New Zealand	102.9	101.3	Q664
Nicaragua	95.6	95.5	Q811
Nigeria	109.1	122.7	Q1033
Norway	86.1	83.7	Q20
Pakistan	107.1	97.1	Q843
Papua New Guinea	121.2	124.7	Q691
Paraguay	113.5	110.1	Q733
Philippines	100.5	105.3	Q928
Poland	93.4	92.1	Q36
Portugal	97.7	96.1	Q45
Romania	97.7	97.3	Q218
Russian Federation	84.5	86.6	Q159
Samoa	104.4	105.1	Q683
Saudi Arabia	113.4	112.2	Q851
Sierra Leone	101.7	104.8	Q1044
Singapore	106.2	106.3	Q334
Slovak Republic	99.9	100.1	Q214
Solomon Islands	126.5	127.1	Q685
South Africa	80.8	77.9	Q258
Spain	97.5	95.6	Q29
St. Kitts and Nevis	96.9	96.6	Q763
St. Lucia	102.2	102.9	Q760
St. Vincent and the Grenadines	103.9	105.8	Q757
Sweden	89.2	85.6	Q34
Switzerland	103.1	104.1	Q39
Togo	95.8	93.4	Q945
Trinidad and Tobago	126.3	128.8	Q754
Tunisia	79.1	78.3	Q948
Uganda	90.2	92.5	Q1036
Ukraine	79.5	91.6	Q212
United Kingdom	98.8	98.3	Q145
United States	113	116.1	Q30
Uruguay	116.7	113.1	Q77
Zambia	89.1	78.7	Q953
