Country	Population	Christian	Muslim	Irreligion	Hindu	Buddhist	Folk religion	Other religion	Jewish	ID
Angola	19,080,000	17,267,400	100.000	973,08	0	0	801,36	0	0	Q916
Cameroon	19,600,000	13,778,800	7,692.300	1,038,800	0	0	646,8	529,2	0	Q1009
Central African Republic	4,400,000	3,938,000	862.000	44	0	0	44	0	0	Q929
Chad	11,230,000	4,559,380	9,200.000	280,75	0	0	157,22	11,23	0	Q657
Congo, Democratic Republic of the	65,970,000	63,199,260	12,492.000	1,187,460	30	0	461,79	65,97	0	Q974
Congo, Republic of the	4,040,000	3,470,360	108.000	363,6	0	0	113,12	44,44	0	Q971
Equatorial Guinea	700	620,9	80.000	35	0	0	11,9	3,5	0	Q983
Gabon	1,510,000	1,155,150	169,12	84,56	0	0	90,6	10,57	0	Q1000
São Tomé and Príncipe	170	139,74	6	21,42	0	0	4,93	4,08	0	Q1039
Burundi	8,380,000	7,667,700	1,184.452	0	0	0	477,66	0	0	Q967
Comoros	730,62	5	725,62	0	0	0	0	0	0	Q970
Djibouti	890	20,47	862	1,78	0	0	2,67	0	1,78	Q977
Eritrea	5,250,000	1,053,254	3,100,000	5,25	0	0	21	0	0	Q986
Ethiopia	82,950,000	52,092,600	35,600,000	50	0	0	2,156,700	0	25	Q115
Kenya	40,510,000	34,352,480	3,929,470	1,012,750	40,51	0	688,67	486,12	0	Q114
Madagascar	20,710,000	17,665,630	621,3	1,428,990	10	0	931,95	20	0	Q1019
Malawi	14,900,000	12,322,300	1,937,000	372,5	0	0	253,3	0	0	Q1020
Mauritius	1,300,000	328,9	217,1	7,8	733,2	0	9,1	3,9	0	Q1027
Mayotte	200	1,4	197,2	400	0	0	1	0	0	Q17063
Mozambique	23,390,000	13,262,130	4,210,200	4,186,810	0	0	1,730,860	0	0	Q1029
Réunion	850	744,6	35,7	17	38,25	1,7	3,4	9,35	0	Q17070
Rwanda	10,620,000	9,919,080	576,04	382,32	0	0	106,2	21,24	0	Q1037
Seychelles	90	84,6	1,038	1,89	1,89	0	0	540	0	Q1042
Somalia	9,330,000	100	9,311,340	0	0	0	0	0	0	Q1045
South Sudan	9,950,000	6,019,750	2,464,692	49,75	0	0	3,273,550	0	0	Q958
Tanzania	44,840,000	27,531,760	15,783,680	627,76	44,84	0	807,12	30	0	Q924
Uganda	33,420,000	28,975,140	3,843,300	167,1	100,26	0	300,78	33,42	0	Q1036
Zambia	13,090,000	12,775,840	170	65,45	13,09	0	39,27	117,81	0	Q953
Zimbabwe	12,570,000	10,935,900	120	993,03	0	0	477,66	37,71	10	Q954
Algeria	43,851,044	400	43,000,000	0	0	0	10	0	140	Q262
Egypt	81,120,000	9,486,120	76,982,880	0	0	0	0	0	1	Q79
Libya	6,360,000	171,72	6,143,760	12,72	0	19,08	0	0	0	Q1016
Morocco	31,950,000	20	31,918,050	0	0	0	0	3,2	2,2	Q1028
Sudan	33,600,000	1,814,400	30,475,200	336	0	0	940,8	0	0	Q1049
Tunisia	10,480,000	20,96	10,427,600	20,96	0	0	0	0	1,1	Q948
Botswana	2,010,000	1,449,210	8,04	414,06	6,03	0	120,6	12,06	0	Q963
Eswatini	1,190,000	1,048,390	2,4	120,19	1,19	0	11,9	4,76	0	Q1050
Lesotho	2,170,000	2,100,560	3	67,27	0	0	2,17	0	0	Q1013
Namibia	2,280,000	2,223,000	6,84	43,32	0	0	4,56	0	0	Q1030
South Africa	50,130,000	40,705,560	1,200,000	613,624	753,524	100,26	200,52	150,39	50,13	Q258
Anguilla	20	18,12	60	800	80	0	580	320	20	Q25228
Antigua and Barbuda	90	83,7	540	1,53	180	0	3,24	900	0	Q781
Aruba	110	101,09	300	6,6	0	110	1,43	110	440	Q21203
Bahamas	340	326,4	340	10,54	0	0	1,02	1,02	0	Q778
Barbados	270	257,04	2,7	5,13	1,08	0	0	3,78	0	Q244
Cayman Islands	60	50,1	240	5,64	540	0	2,7	360	450	Q5785
Cuba	11,260,000	6,665,920	11,116	2,589,800	22,52	0	1,959,240	0	0	Q241
Dominica	70	66,08	70	350	0	70	2,1	1,19	0	Q784
Dominican Republic	9,930,000	8,738,400	2	1,082,370	0	0	89,37	9,93	0	Q786
Grenada	100	96,6	300	1	700	0	1,3	200	0	Q769
Guadeloupe	460	441,14	1,84	11,5	2,3	0	1,84	1,84	0	Q3118683
Haiti	9,990,000	8,681,310	5	1,058,940	0	0	219,78	29,97	0	Q790
Jamaica	2,740,000	2,115,280	5,624	471,28	0	0	123,3	27,4	0	Q766
Martinique	410	395,65	820	9,43	820	0	820	2,46	0	Q17054
Montserrat	5	4,675	100	240	5	0	10	75	0	Q13353
Puerto Rico	3,750,000	3,626,250	1	71,25	0	11,25	30	3,75	0	Q1183
Saint Kitts and Nevis	50	47,3	150	800	750	0	650	400	0	Q763
Saint Lucia	170	154,87	170	10,2	510	0	850	3,4	0	Q760
Saint Vincent and the Grenadines	110	97,57	1,65	2,75	3,74	0	2,2	2,2	0	Q757
Trinidad and Tobago	1,340,000	883,06	80	25,46	304,18	4,02	25,46	18,76	0	Q754
Turks and Caicos Islands	40	36,84	40	1,84	0	0	1,08	240	0	Q18221
British Virgin Islands	20	16,9	240	780	240	0	1,68	160	0	Q25305
U.S. Virgin Islands	110	104,28	110	4,07	440	0	0	660	330	Q11703
Belize	310	271,56	310	27,59	620	1,55	4,65	310	3,1	Q242
Costa Rica	4,660,000	4,235,940	1,5	368,14	0	0	37,28	13,98	0	Q800
El Salvador	6,190,000	5,459,580	2	680,9	0	0	30,95	18,57	0	Q792
Guatemala	14,390,000	13,699,280	1,2	589,99	0	0	86,34	10	0	Q774
Honduras	7,600,000	6,657,600	7,6	798	0	7,6	83,6	45,6	0	Q783
Nicaragua	5,790,000	4,967,820	1	723,75	0	0	81,06	5,79	0	Q811
