Country	Total	ID
Afghanistan	18.4	Q889
Albania	38.6	Q222
Algeria	0.1	Q262
American Samoa	0.9	Q16641
Andorra	19.7	Q228
Angola	49.6	Q916
Antigua and Barbuda	0	Q781
Argentina	10	Q414
Armenia	15.8	Q399
Aruba	6.7	Q21203
Australia	9.2	Q408
Austria	34.4	Q40
Azerbaijan	2.3	Q227
Bahamas, The	1.2	Q778
Bahrain	0	Q398
Bangladesh	34.7	Q902
Barbados	2.8	Q244
Belarus	6.8	Q184
Belgium	9.2	Q31
Belize	35	Q242
Benin	50.9	Q962
Bermuda	2.4	Q23635
Bhutan	86.9	Q917
Bolivia	17.5	Q750
Bosnia and Herzegovina	40.8	Q225
Botswana	28.9	Q963
Brazil	43.8	Q155
Brunei Darussalam	0	Q921
Bulgaria	17.7	Q219
Burkina Faso	74.2	Q965
Burundi	95.7	Q967
Cabo Verde	26.6	Q1011
Cambodia	64.9	Q424
Cameroon	76.5	Q1009
Canada	22	Q16
Cayman Islands	0	Q5785
Central African Republic	76.6	Q929
Chad	89.4	Q657
Chile	24.9	Q298
China	12.4	Q148
Hong Kong SAR, China	0.9	Q8646
Macao SAR, China	7.1	Q14773
Colombia	23.6	Q739
Comoros	45.3	Q970
Congo, Dem. Rep.	95.8	Q974
Congo, Rep.	62.4	Q971
Costa Rica	38.7	Q800
Cote d'Ivoire	64.5	Q1008
Croatia	33.1	Q224
Cuba	19.3	Q241
Curacao	0.3	Q25279
Cyprus	9.9	Q229
Czech Republic	14.8	Q213
Denmark	33.2	Q35
Djibouti	15.4	Q977
Dominica	7.8	Q784
Dominican Republic	16.5	Q786
Ecuador	13.8	Q736
Egypt, Arab Rep.	5.7	Q79
El Salvador	24.4	Q792
Equatorial Guinea	7.8	Q983
Eritrea	79.8	Q986
Estonia	27.5	Q191
Eswatini	66.1	Q1050
Ethiopia	92.2	Q115
Faroe Islands	7.5	Q4628
Fiji	31.3	Q712
Finland	43.2	Q33
France	13.5	Q142
French Polynesia	9.8	Q30971
Gabon	82	Q1000
Gambia, The	51.5	Q1005
Georgia	28.7	Q230
Germany	14.2	Q183
Ghana	41.4	Q117
Greece	17.2	Q41
Greenland	15.5	Q223
Grenada	10.9	Q769
Guam	0	Q16635
Guatemala	63.7	Q774
Guinea	76.3	Q1006
Guinea-Bissau	86.9	Q1007
Guyana	25.3	Q734
Haiti	76.1	Q790
Honduras	51.5	Q783
Hungary	15.6	Q28
Iceland	77	Q189
India	36	Q668
Indonesia	36.9	Q252
Iran, Islamic Rep.	0.9	Q794
Iraq	0.8	Q796
Ireland	9.1	Q27
Isle of Man	4.2	Q9676
Israel	3.7	Q801
Italy	16.5	Q38
