Country	Time required	ID
Afghanistan	2	Q889
Albania	2	Q222
Algeria	1.3	Q262
Antigua and Barbuda	3	Q781
Argentina	2.4	Q414
Armenia	1.9	Q399
Australia	1	Q408
Austria	1.1	Q40
Azerbaijan	1.5	Q227
Bahamas, The	3	Q778
Bahrain	2.5	Q398
Bangladesh	4	Q902
Barbados	1.8	Q244
Belarus	1.5	Q184
Belgium	0.9	Q31
Belize	2	Q242
Benin	4	Q962
Bolivia	1.8	Q750
Bosnia and Herzegovina	3.3	Q225
Botswana	1.7	Q963
Brazil	4	Q155
Brunei Darussalam	2.5	Q921
Bulgaria	3.3	Q219
Burkina Faso	4	Q965
Burundi	5	Q967
Cambodia	6	Q424
Cameroon	2.8	Q1009
Canada	0.8	Q16
Central African Republic	4.8	Q929
Chad	4	Q657
Chile	2	Q298
China	1.7	Q148
Hong Kong SAR, China	0.8	Q8646
Colombia	1.7	Q739
Congo, Rep.	3.3	Q971
Costa Rica	3	Q800
Cote d'Ivoire	2.2	Q1008
Croatia	3.1	Q224
Cyprus	1.5	Q229
Czech Republic	2.1	Q213
Denmark	1	Q35
Djibouti	1.5	Q977
Dominica	4	Q784
Dominican Republic	3.5	Q786
Ecuador	5.3	Q736
Egypt, Arab Rep.	2.5	Q79
El Salvador	3.5	Q792
Estonia	3	Q191
Ethiopia	3	Q115
Fiji	1.8	Q712
Finland	0.9	Q33
France	1.9	Q142
Gabon	5	Q1000
Gambia, The	2	Q1005
Georgia	2	Q230
Germany	1.2	Q183
Ghana	1.9	Q117
Greece	3.5	Q41
Guatemala	3	Q774
Guinea	3.8	Q1006
Guyana	3	Q734
Honduras	3.8	Q783
Hungary	2	Q28
Iceland	1	Q189
India	1.6	Q668
Indonesia	1.1	Q252
Iran, Islamic Rep.	1.5	Q794
Ireland	0.4	Q27
Israel	2	Q801
Italy	1.8	Q38
Jamaica	1.1	Q766
Japan	0.6	Q17
Jordan	3	Q810
Kazakhstan	1.5	Q232
Kenya	4.5	Q114
Korea, Rep.	1.5	Q884
Kosovo	2	Q1246
Kuwait	4.2	Q817
Kyrgyz Republic	1.5	Q813
Latvia	1.5	Q211
Lebanon	3	Q822
Lesotho	2.6	Q1013
Liberia	3	Q1014
Liechtenstein	1.5	Q347
Lithuania	2.3	Q37
Luxembourg	2	Q32
North Macedonia	1.5	Q221
Madagascar	3	Q1019
Malawi	2.6	Q1020
Malaysia	1	Q833
Maldives	1.5	Q826
Mali	3.6	Q912
Malta	3	Q233
Marshall Islands	2	Q709
Mauritius	1.7	Q1027
Mexico	1.8	Q96
Micronesia, Fed. Sts.	5.3	Q702
Moldova	2.8	Q217
Mongolia	4	Q711
Montenegro	1.4	Q236
Morocco	3.5	Q1028
Mozambique	1.5	Q1029
Myanmar	5	Q836
Namibia	2.5	Q1030
Nepal	2	Q837
Netherlands	1.1	Q55
New Zealand	1.3	Q664
Nicaragua	2.2	Q811
Niger	5	Q1032
Nigeria	2	Q1033
Norway	0.9	Q20
Oman	3	Q842
Pakistan	2.6	Q843
Palau	2	Q695
Panama	2.5	Q804
Papua New Guinea	3	Q691
Paraguay	3.9	Q733
Peru	3.1	Q419
Philippines	2.7	Q928
Poland	3	Q36
Portugal	3	Q45
Puerto Rico	2.5	Q1183
Qatar	2.8	Q846
Romania	3.3	Q218
Russian Federation	2	Q159
Rwanda	2.5	Q1037
Samoa	2	Q683
San Marino	2.3	Q238
Senegal	3	Q1041
Serbia	2	Q403
Seychelles	2	Q1042
Sierra Leone	2.3	Q1044
Singapore	0.8	Q334
Slovak Republic	4	Q214
Slovenia	0.8	Q215
Solomon Islands	1	Q685
South Africa	2	Q258
Spain	1.5	Q29
Sri Lanka	1.7	Q854
St. Lucia	2	Q760
Sudan	2	Q1049
Suriname	5	Q730
Eswatini	2	Q1050
Sweden	2	Q34
Switzerland	3	Q39
Syrian Arab Republic	4.1	Q858
Tajikistan	1.7	Q863
Tanzania	3	Q924
Thailand	1.5	Q869
Togo	3	Q945
Tonga	2.7	Q678
Trinidad and Tobago	2.5	Q754
Tunisia	1.3	Q948
Turkey	5	Q43
Uganda	2.2	Q1036
Ukraine	2.9	Q212
United Arab Emirates	3.2	Q878
United Kingdom	1	Q145
United States	1	Q30
Uruguay	1.8	Q77
Uzbekistan	2	Q265
Vanuatu	2.6	Q686
Venezuela, RB	4	Q717
Vietnam	5	Q881
Yemen, Rep.	3	Q805
Zambia	1	Q953
Zimbabwe	3.3	Q954
