Country	Survey Year	Crime	ID
Afghanistan	2014	24.2	Q889
Albania	2019	4.5	Q222
Angola	2010	12.4	Q916
Antigua and Barbuda	2010	2.6	Q781
Argentina	2017	1.8	Q414
Armenia	2013	5.3	Q399
Azerbaijan	2013	2.9	Q227
Bahamas, The	2010	1.7	Q778
Bangladesh	2013	3.9	Q902
Barbados	2010	0.6	Q244
Belarus	2018	2	Q184
Belize	2010	1	Q242
Benin	2016	3.1	Q962
Bhutan	2015	7.1	Q917
Bolivia	2017	5.9	Q750
Bosnia and Herzegovina	2019	1.5	Q225
Botswana	2010	3.1	Q963
Brazil	2009	6.9	Q155
Bulgaria	2019	2.6	Q219
Burkina Faso	2009	3.1	Q965
Burundi	2014	3.8	Q967
Cambodia	2016	3.2	Q424
Cameroon	2016	8.9	Q1009
Cabo Verde	2009	3.9	Q1011
Central African Republic	2011	12	Q929
Chad	2018	9.5	Q657
Chile	2010	1.7	Q298
China	2012	0.5	Q148
Colombia	2017	1.9	Q739
Congo, Dem. Rep.	2013	8.3	Q974
Congo, Rep.	2009	16.9	Q971
Costa Rica	2010	1.3	Q800
Cote d'Ivoire	2016	10.1	Q1008
Croatia	2019	1.4	Q224
Cyprus	2019	6.2	Q229
Czech Republic	2019	0.9	Q213
Djibouti	2013	4.4	Q977
Dominican Republic	2016	6.6	Q786
Ecuador	2017	2.3	Q736
Egypt, Arab Rep.	2016	17	Q79
El Salvador	2016	3.3	Q792
Estonia	2019	1.1	Q191
Ethiopia	2015	3.4	Q115
Fiji	2009	3.6	Q712
Gabon	2009	3.5	Q1000
Gambia, The	2018	7	Q1005
Georgia	2019	1.3	Q230
Ghana	2013	7.8	Q117
Greece	2018	1.1	Q41
Grenada	2010	4.6	Q769
Guatemala	2017	4	Q774
Guinea	2016	9.6	Q1006
Guinea-Bissau	2006	3.3	Q1007
Guyana	2010	2.5	Q734
Honduras	2016	7.2	Q783
Hungary	2019	1.3	Q28
India	2014	2.7	Q668
Indonesia	2015	9.2	Q252
Iraq	2011	10	Q796
Israel	2013	1.2	Q801
Italy	2019	3.6	Q38
Jamaica	2010	3.4	Q766
Jordan	2019	1.1	Q810
Kazakhstan	2019	4.1	Q232
Kenya	2018	4.9	Q114
Kosovo	2019	10.5	Q1246
Kyrgyz Republic	2019	5.9	Q813
Lao PDR	2018	2.3	Q819
Latvia	2019	0.9	Q211
Lebanon	2019	9.1	Q822
Lesotho	2016	17.3	Q1013
Liberia	2017	9.3	Q1014
Lithuania	2019	0.9	Q37
North Macedonia	2019	2	Q221
Madagascar	2013	5.3	Q1019
Malawi	2014	8.5	Q1020
Malaysia	2015	8.5	Q833
Mali	2016	4	Q912
Malta	2019	1.6	Q233
Mauritania	2014	7.8	Q1025
Mauritius	2009	10.5	Q1027
Mexico	2010	3.6	Q96
Micronesia, Fed. Sts.	2009	4.6	Q702
Moldova	2019	2.3	Q217
Mongolia	2019	1.1	Q711
Montenegro	2019	0.9	Q236
Morocco	2019	11.1	Q1028
Mozambique	2018	8	Q1029
Myanmar	2016	1.1	Q836
Namibia	2014	12.5	Q1030
Nepal	2013	10.2	Q837
Nicaragua	2016	3.5	Q811
Niger	2017	4.5	Q1032
Nigeria	2014	13.6	Q1033
Pakistan	2013	6.5	Q843
Panama	2010	5.6	Q804
Papua New Guinea	2015	4.8	Q691
Paraguay	2017	2.3	Q733
Peru	2017	2.8	Q419
Philippines	2015	1.3	Q928
Poland	2019	3.4	Q36
Portugal	2019	3.6	Q45
Romania	2013	2.8	Q218
Russian Federation	2019	1.7	Q159
Rwanda	2019	6.8	Q1037
Samoa	2009	10.3	Q683
Senegal	2014	5.3	Q1041
Serbia	2019	1.3	Q403
Sierra Leone	2017	11.7	Q1044
Slovak Republic	2019	1.9	Q214
Slovenia	2019	2.1	Q215
Solomon Islands	2015	2.6	Q685
South Africa	2007	2.4	Q258
South Sudan	2014	10.8	Q958
Sri Lanka	2011	1.8	Q854
St. Kitts and Nevis	2010	2.7	Q763
St. Lucia	2010	1.6	Q760
St. Vincent and the Grenadines	2010	4.7	Q757
Sudan	2014	4.5	Q1049
Suriname	2018	8.4	Q730
Eswatini	2016	7.1	Q1050
Sweden	2014	0.8	Q34
Tajikistan	2019	4.5	Q863
Tanzania	2013	6.8	Q924
Thailand	2016	0.8	Q869
Timor-Leste	2015	15.2	Q574
Togo	2016	7.3	Q945
Tonga	2009	4	Q678
Trinidad and Tobago	2010	1.7	Q754
Tunisia	2013	9.8	Q948
Turkey	2019	2.5	Q43
Uganda	2013	7.2	Q1036
Ukraine	2019	3.5	Q212
Uruguay	2017	2.1	Q77
Uzbekistan	2019	6.8	Q265
Vanuatu	2009	6.4	Q686
Venezuela, RB	2010	3.6	Q717
Vietnam	2015	3.5	Q881
West Bank and Gaza	2019	7.5	Q407199
Yemen, Rep.	2013	4.9	Q805
Zambia	2019	4.2	Q953
Zimbabwe	2016	4.6	Q954
