Country	Annual (%)	ID
Afghanistan	2.1	Q889
Albania	-2.6	Q222
Algeria	-0.1	Q262
American Samoa	-0.1	Q16641
Andorra	0.7	Q228
Angola	1.3	Q916
Antigua and Barbuda	1	Q781
Argentina	-0.5	Q414
Armenia	0.1	Q399
Aruba	0.2	Q21203
Australia	0.8	Q408
Austria	0	Q40
Azerbaijan	0.1	Q227
Bahamas, The	0.4	Q778
Bahrain	4	Q398
Bangladesh	-0.2	Q902
Barbados	0.2	Q244
Belarus	-2.3	Q184
Belgium	-1.5	Q31
Belize	1.7	Q242
Benin	1.7	Q962
Bhutan	0	Q917
Bolivia	0.3	Q750
Bosnia and Herzegovina	-1.5	Q225
Botswana	-0.2	Q963
Brazil	-1.1	Q155
Brunei Darussalam	-0.4	Q921
Bulgaria	-2.1	Q219
Burkina Faso	2	Q965
Burundi	2.8	Q967
Cabo Verde	-0.2	Q1011
Cambodia	1	Q424
Cameroon	1.3	Q1009
Canada	1.1	Q16
Central African Republic	0.9	Q929
Chad	2.8	Q657
Channel Islands	1.1	Q42314
Chile	0.8	Q298
China	-2.4	Q148
Colombia	-0.2	Q739
Comoros	2	Q970
Congo, Dem. Rep.	2.2	Q974
Congo, Rep.	1.2	Q971
Costa Rica	-2.7	Q800
Cote d'Ivoire	1.6	Q1008
Croatia	-1.5	Q224
Cuba	-0.3	Q241
Curacao	0.3	Q25279
Cyprus	0.9	Q229
Czech Republic	-0.1	Q213
Denmark	-0.5	Q35
Djibouti	1	Q977
Dominica	-0.8	Q784
Dominican Republic	-3	Q786
Ecuador	1.3	Q736
Egypt, Arab Rep.	2	Q79
El Salvador	-2.1	Q792
Equatorial Guinea	1.9	Q983
Estonia	-0.2	Q191
Eswatini	0.8	Q1050
Ethiopia	2	Q115
Faroe Islands	0.1	Q4628
Fiji	-0.5	Q712
Finland	-0.3	Q33
France	-1.2	Q142
French Polynesia	0.4	Q30971
Gabon	-1	Q1000
Gambia, The	1.2	Q1005
Georgia	-1	Q230
Germany	0.1	Q183
Ghana	0.7	Q117
Greece	-1.8	Q41
Greenland	-2.1	Q223
Grenada	0.4	Q769
Guam	-0.6	Q16635
Guatemala	0.8	Q774
Guinea	2.3	Q1006
Guinea-Bissau	1.8	Q1007
Guyana	0.4	Q734
Haiti	-0.8	Q790
Honduras	0.2	Q783
Hungary	-1.1	Q28
Iceland	2	Q189
India	0.4	Q668
Indonesia	-0.3	Q252
Iran, Islamic Rep.	-0.6	Q794
Iraq	1.7	Q796
Ireland	0.6	Q27
Isle of Man	0.3	Q9676
Israel	0.9	Q801
Italy	-1.2	Q38
Jamaica	-0.2	Q766
Japan	-1.2	Q17
Jordan	-0.7	Q810
Kazakhstan	1.1	Q232
Kenya	1.7	Q114
Kiribati	-0.2	Q710
Korea, Dem. Peopleâ€™s Rep.	-0.1	Q423
Korea, Rep.	0.7	Q884
Kyrgyz Republic	1.7	Q813
Lao PDR	0.6	Q819
Latvia	-1	Q211
Lebanon	-0.9	Q822
Lesotho	0.2	Q1013
Liberia	1.5	Q1014
Libya	0.1	Q1016
Liechtenstein	0.3	Q347
Lithuania	-1.5	Q37
Luxembourg	-0.8	Q32
North Macedonia	-0.5	Q221
Madagascar	1.6	Q1019
Malawi	2.4	Q1020
Malaysia	-1.1	Q833
Maldives	3.1	Q826
Mali	1.7	Q912
Malta	2.3	Q233
Marshall Islands	-1.1	Q709
Mauritania	1	Q1025
Mauritius	0.1	Q1027
Mexico	-0.3	Q96
Micronesia, Fed. Sts.	0.9	Q702
Moldova	-1.9	Q217
Mongolia	1.5	Q711
Montenegro	-1	Q236
Morocco	-0.2	Q1028
Mozambique	2.1	Q1029
Myanmar	0.2	Q836
