Country	Savings %	ID
Afghanistan	2.6	Q889
Albania	3.3	Q222
Algeria	4.5	Q262
American Samoa	11.8	Q16641
Andorra	2.4	Q228
Angola	3.6	Q916
Antigua and Barbuda	2.3	Q781
Argentina	5	Q414
Armenia	2.3	Q399
Aruba	6.5	Q21203
Australia	5	Q408
Austria	5.2	Q40
Azerbaijan	2.6	Q227
Bahamas, The	3.8	Q778
Bahrain	2.9	Q398
Bangladesh	1.2	Q902
Barbados	5	Q244
Belarus	4.7	Q184
Belgium	6.1	Q31
Belize	6.4	Q242
Benin	4	Q962
Bermuda	2.1	Q23635
Bhutan	6.8	Q917
Bolivia	6.1	Q750
Botswana	9.5	Q963
Brazil	6.1	Q155
Brunei Darussalam	4	Q921
Bulgaria	3.9	Q219
Burkina Faso	4.3	Q965
Burundi	5.2	Q967
Cabo Verde	5.2	Q1011
Cambodia	2	Q424
Cameroon	2.7	Q1009
Canada	4.9	Q16
Central African Republic	1.2	Q929
Chad	1.8	Q657
Chile	4.6	Q298
China	1.8	Q148
Hong Kong SAR, China	2.8	Q8646
Macao SAR, China	2.7	Q14773
Colombia	4.1	Q739
Comoros	2.5	Q970
Congo, Dem. Rep.	2.1	Q974
Congo, Rep.	2.5	Q971
Costa Rica	7.2	Q800
Cote d'Ivoire	4.3	Q1008
Croatia	4.5	Q224
Cuba	13	Q241
Curacao	5	Q25279
Cyprus	6.2	Q229
Czech Republic	5.6	Q213
Denmark	6.9	Q35
Djibouti	7.4	Q977
Dominica	5	Q784
Dominican Republic	2.5	Q786
Ecuador	3.9	Q736
Egypt, Arab Rep.	4.4	Q79
El Salvador	3.6	Q792
Equatorial Guinea	1	Q983
Eritrea	1.7	Q986
Estonia	4.9	Q191
Eswatini	6.8	Q1050
Ethiopia	3.1	Q115
Fiji	4	Q712
Finland	6.3	Q33
France	4.9	Q142
French Polynesia	0.5	Q30971
Gabon	3.1	Q1000
Gambia, The	2.7	Q1005
Georgia	1.8	Q230
Germany	4.4	Q183
Ghana	4.2	Q117
Greece	3.1	Q41
Grenada	3.8	Q769
Guam	8.3	Q16635
Guatemala	2.8	Q774
Guinea	2.3	Q1006
Guinea-Bissau	1.2	Q1007
Guyana	2.9	Q734
Haiti	1.5	Q790
Honduras	6.3	Q783
Hungary	4.5	Q28
Iceland	7.4	Q189
India	3.1	Q668
Indonesia	3.3	Q252
Iran, Islamic Rep.	3.6	Q794
Iraq	4.6	Q796
Ireland	4.2	Q27
Israel	5.3	Q801
Italy	3.7	Q38
Jamaica	5.6	Q766
Japan	2.7	Q17
Jordan	3.2	Q810
Kazakhstan	3	Q232
Kenya	4.9	Q114
Kiribati	6.1	Q710
Korea, Rep.	4.6	Q884
Kuwait	3.2	Q817
Kyrgyz Republic	5.4	Q813
Lao PDR	2.6	Q819
Latvia	4.3	Q211
Lebanon	2.1	Q822
Lesotho	5.5	Q1013
Liberia	3.7	Q1014
Libya	2.1	Q1016
Liechtenstein	3.1	Q347
Lithuania	3.9	Q37
Luxembourg	5.5	Q32
Madagascar	2.1	Q1019
Malawi	4.6	Q1020
Malaysia	4.4	Q833
