Country	Exports (2010)	Exports (2019)	ID
Afghanistan	4	15	Q889
Albania	64	62	Q222
Algeria	6	5	Q262
Angola	84	84	Q916
Antigua and Barbuda	64	79	Q781
Argentina	39	37	Q414
Armenia	64	65	Q399
Aruba	81	87	Q21203
Australia	62	65	Q408
Austria	36	31	Q40
Azerbaijan	27	48	Q227
Bahamas, The	87	91	Q778
Bahrain	32	36	Q398
Bangladesh	7	12	Q902
Barbados	80	75	Q244
Belarus	9	9	Q184
Belgium	12	8	Q31
Belize	81	83	Q242
Benin	43	34	Q962
Bermuda	33	39	Q23635
Bhutan	60	64	Q917
Bolivia	45	56	Q750
Bosnia and Herzegovina	35	50	Q225
Botswana	73	64	Q963
Brazil	18	18	Q155
Brunei Darussalam	28	36	Q921
Bulgaria	51	41	Q219
Burkina Faso	27	24	Q965
Burundi	24	16	Q967
Cabo Verde	57	71	Q1011
Cambodia	79	82	Q424
Cameroon	13	29	Q1009
Canada	21	27	Q16
Chile	15	30	Q298
China	39	15	Q148
Hong Kong SAR, China	28	29	Q8646
Macao SAR, China	94	93	Q14773
Colombia	56	58	Q739
Comoros	63	73	Q970
Congo, Dem. Rep.	4	68	Q974
Congo, Rep.	7	18	Q971
Costa Rica	45	42	Q800
Cote d'Ivoire	20	43	Q1008
Croatia	67	70	Q224
Curacao	35	43	Q25279
Cyprus	23	24	Q229
Czech Republic	33	24	Q213
Denmark	9	12	Q35
Djibouti	12	8	Q977
Dominica	72	80	Q784
Dominican Republic	82	83	Q786
Ecuador	57	73	Q736
Egypt, Arab Rep.	53	54	Q79
El Salvador	27	42	Q792
Estonia	23	22	Q191
Eswatini	20	17	Q1050
Ethiopia	27	21	Q115
Fiji	69	64	Q712
Finland	15	10	Q33
France	23	23	Q142
French Polynesia	52	57	Q30971
Gambia, The	56	78	Q1005
Georgia	42	72	Q230
Germany	15	12	Q183
Ghana	46	12	Q117
Greece	33	45	Q41
Grenada	74	91	Q769
Guatemala	46	35	Q774
Guinea	3	6	Q1006
Guinea-Bissau	31	53	Q1007
Guyana	32	18	Q734
Haiti	95	94	Q790
Honduras	30	24	Q783
Hungary	29	24	Q28
Iceland	27	48	Q189
India	12	14	Q668
Indonesia	43	55	Q252
Iraq	75	51	Q796
Ireland	5	2	Q27
Israel	19	14	Q801
Italy	39	41	Q38
Jamaica	77	82	Q766
Japan	10	23	Q17
Jordan	69	75	Q810
Kazakhstan	26	33	Q232
Kenya	27	24	Q114
Kiribati	41	44	Q710
Korea, Rep.	13	20	Q884
Kosovo	64	80	Q1246
Kuwait	3	6	Q817
Kyrgyz Republic	27	57	Q813
Lao PDR	78	80	Q819
Latvia	16	16	Q211
Lebanon	49	54	Q822
Lesotho	55	80	Q1013
Lithuania	22	12	Q37
Luxembourg	7	4	Q32
Madagascar	34	54	Q1019
Malawi	41	23	Q1020
Malaysia	52	49	Q833
Maldives	95	91	Q826
Mali	58	47	Q912
Malta	11	11	Q233
Marshall Islands	48	23	Q709
Mauritania	38	4	Q1025
Mauritius	48	59	Q1027
Mexico	78	82	Q96
Moldova	22	26	Q217
Mongolia	51	42	Q711
Montenegro	68	65	Q236
Morocco	47	44	Q1028
Mozambique	44	31	Q1029
Myanmar	21	37	Q836
Namibia	50	54	Q1030
Nepal	59	43	Q837
Netherlands	9	10	Q55
New Caledonia	31	46	Q33788
New Zealand	57	63	Q664
Nicaragua	43	44	Q811
Niger	89	44	Q1032
Nigeria	22	45	Q1033
North Macedonia	20	22	Q221
Norway	11	13	Q20
Oman	43	39	Q842
Pakistan	10	11	Q843
Palau	89	89	Q695
Panama	27	33	Q804
Papua New Guinea	1	1	Q691
Paraguay	38	39	Q733
Peru	64	57	Q419
Philippines	15	24	Q928
Poland	27	19	Q36
Portugal	44	52	Q45
Qatar	21	30	Q846
Romania	11	12	Q218
Russian Federation	18	18	Q159
Rwanda	83	58	Q1037
Samoa	71	72	Q683
Sao Tome and Principe	85	97	Q1039
Saudi Arabia	65	70	Q851
Senegal	48	41	Q1041
Serbia	23	21	Q403
Seychelles	62	53	Q1042
Sierra Leone	46	37	Q1044
Singapore	14	10	Q334
Sint Maarten (Dutch part)	80	69	Q26273
Slovak Republic	35	27	Q214
Slovenia	42	32	Q215
Solomon Islands	49	57	Q685
South Africa	58	58	Q258
Spain	51	51	Q29
Sri Lanka	23	53	Q854
St. Kitts and Nevis	69	84	Q763
St. Lucia	84	94	Q760
St. Vincent and the Grenadines	63	86	Q757
Sudan	39	70	Q1049
Suriname	29	43	Q730
Sweden	16	20	Q34
Switzerland	16	14	Q39
Tajikistan	1	6	Q863
Tanzania	63	61	Q924
Thailand	59	74	Q869
Timor-Leste	78	93	Q574
Togo	23	26	Q945
Tonga	55	61	Q678
Trinidad and Tobago	52	54	Q754
Tunisia	50	47	Q948
Turkey	63	47	Q43
Uganda	76	68	Q1036
Ukraine	21	10	Q212
United Kingdom	12	12	Q145
United States	25	26	Q30
Uruguay	57	45	Q77
Vanuatu	80	80	Q686
Venezuela, RB	51	38	Q717
West Bank and Gaza	79	44	Q407199
Yemen, Rep.	79	32	Q805
Zambia	86	81	Q953
Zimbabwe	47	40	Q954
