Country	Score	Basic Human Needs	Foundation of Well Being	Opportunity	ID
Norway	92.73	96.85	93.39	87.95	Q20
Denmark	92.11	96.11	91.58	88.66	Q35
Finland	91.89	96.22	91.29	88.15	Q33
New Zealand	91.64	97.22	92.57	85.13	Q664
Sweden	91.62	96.58	91.03	87.23	Q34
Switzerland	91.42	96.78	91.99	85.49	Q39
Canada	91.4	97.03	90.88	86.31	Q16
Australia	91.29	97.25	91.07	85.55	Q408
Iceland	91.09	98.07	92.81	82.39	Q189
Netherlands	91.06	96.48	91.18	85.53	Q55
Germany	90.56	96.14	89.02	86.53	Q183
Ireland	90.35	96.32	90.03	84.7	Q27
Japan	90.14	97.78	92.15	80.5	Q17
Luxembourg	89.56	95.72	91.84	81.13	Q32
Austria	89.5	96.03	91.84	80.63	Q40
Belgium	89.46	94.01	89.3	85.07	Q31
South Korea	89.06	96.92	90.12	80.13	Q884
France	88.78	94.48	90.78	81.09	Q142
Spain	88.71	95.27	89.71	81.15	Q29
United Kingdom	88.54	94.36	90.21	81.06	Q145
Portugal	87.79	95.69	88.12	79.57	Q45
Slovenia	87.71	95.62	88.85	78.64	Q215
Italy	87.36	93.19	88.59	80.3	Q38
Estonia	87.26	93.08	91.5	77.21	Q191
Czech Republic	86.69	95.45	86.79	77.83	Q213
Cyprus	86.64	93.4	89.66	76.84	Q229
Greece	85.78	93.78	85.11	78.46	Q41
United States	85.71	92.08	83.14	81.89	Q30
Singapore	85.46	97.66	86.13	72.58	Q334
Malta	84.89	93.25	87.98	73.43	Q233
