Country	assessment (2004)	assessment (2019)	ID
Afghanistan	20	40	Q889
Albania	100	90	Q222
Algeria	60	30	Q262
Angola	30	40	Q916
Antigua and Barbuda	40	60	Q781
Argentina	80	80	Q414
Armenia	80	90	Q399
Azerbaijan	80	80	Q227
Bangladesh	80	80	Q902
Belarus	80	80	Q184
Belize	60	60	Q242
Benin	50	80	Q962
Bhutan	60	60	Q917
Bolivia	60	60	Q750
Bosnia and Herzegovina	60	50	Q225
Botswana	80	60	Q963
Brazil	80	80	Q155
Bulgaria	80	80	Q219
Burkina Faso	80	40	Q965
Burundi	20	60	Q967
Cambodia	60	70	Q424
Cameroon	30	40	Q1009
Cabo Verde	90	60	Q1011
Central African Republic	50	10	Q929
Chad	50	60	Q657
Chile	100	80	Q298
China	70	60	Q148
Colombia	80	70	Q739
Comoros	70	50	Q970
Congo, Dem. Rep.	10	20	Q974
Congo, Rep.	30	50	Q971
Costa Rica	70	90	Q800
Cote d'Ivoire	80	60	Q1008
Croatia	100	80	Q224
Djibouti	40	40	Q977
Dominica	60	40	Q784
Dominican Republic	60	50	Q786
Ecuador	80	40	Q736
Egypt, Arab Rep.	100	90	Q79
El Salvador	60	80	Q792
Equatorial Guinea	20	40	Q983
Eritrea	20	0	Q986
Ethiopia	80	70	Q115
Fiji	40	80	Q712
Gabon	50	40	Q1000
Gambia, The	80	70	Q1005
Georgia	80	80	Q230
Ghana	40	80	Q117
Grenada	60	60	Q769
Guatemala	100	60	Q774
Guinea	70	60	Q1006
Guinea-Bissau	30	70	Q1007
Guyana	30	50	Q734
Haiti	30	50	Q790
Honduras	80	40	Q783
Hungary	80	50	Q28
India	80	60	Q668
Indonesia	80	80	Q252
Iran, Islamic Rep.	50	80	Q794
Iraq	40	20	Q796
Jamaica	80	60	Q766
Jordan	70	70	Q810
Kazakhstan	80	70	Q232
Kenya	50	50	Q114
Kiribati	20	20	Q710
Kyrgyz Republic	100	100	Q813
Lao PDR	70	60	Q819
Lebanon	20	40	Q822
Lesotho	70	80	Q1013
Liberia	0	40	Q1014
Libya	0	0	Q1016
North Macedonia	80	80	Q221
Madagascar	60	50	Q1019
Malawi	60	80	Q1020
Malaysia	60	60	Q833
Maldives	70	60	Q826
Mali	60	80	Q912
Marshall Islands	30	20	Q709
Mauritania	60	40	Q1025
Mauritius	60	80	Q1027
Mexico	50	80	Q96
Micronesia, Fed. Sts.	20	50	Q702
Moldova	70	80	Q217
Mongolia	60	100	Q711
Montenegro	70	90	Q236
Morocco	80	60	Q1028
Mozambique	80	70	Q1029
Myanmar	50	70	Q836
Namibia	50	50	Q1030
Nepal	80	80	Q837
Nicaragua	80	30	Q811
Niger	60	70	Q1032
Nigeria	40	60	Q1033
Pakistan	80	70	Q843
Palau	40	60	Q695
Panama	80	80	Q804
Papua New Guinea	20	40	Q691
Paraguay	40	60	Q733
Peru	80	60	Q419
Philippines	80	100	Q928
Poland	80	80	Q36
Romania	100	80	Q218
Russian Federation	100	80	Q159
Rwanda	60	50	Q1037
Samoa	50	50	Q683
Sao Tome and Principe	60	60	Q1039
Senegal	80	70	Q1041
Serbia	70	90	Q403
Seychelles	70	60	Q1042
Sierra Leone	20	50	Q1044
Slovak Republic	90	50	Q214
Solomon Islands	20	40	Q685
Somalia	20	20	Q1045
South Africa	80	60	Q258
Sri Lanka	100	80	Q854
St. Kitts and Nevis	60	40	Q763
St. Lucia	60	70	Q760
St. Vincent and the Grenadines	60	60	Q757
Sudan	20	70	Q1049
Suriname	50	90	Q730
Eswatini	80	70	Q1050
Syrian Arab Republic	40	10	Q858
Tajikistan	100	70	Q863
Tanzania	70	70	Q924
Thailand	80	70	Q869
Timor-Leste	50	60	Q574
Togo	40	80	Q945
Tonga	60	50	Q678
Trinidad and Tobago	40	40	Q754
Tunisia	70	60	Q948
Turkey	80	70	Q43
Turkmenistan	70	20	Q874
Uganda	60	70	Q1036
Ukraine	80	40	Q212
Uruguay	100	80	Q77
Uzbekistan	60	40	Q265
Vanuatu	20	50	Q686
Venezuela, RB	80	60	Q717
Vietnam	80	90	Q881
Yemen, Rep.	50	0	Q805
Zambia	60	40	Q953
Zimbabwe	50	60	Q954
