Country	Most recent year	Tariff	ID
Albania	2017	100	Q222
Angola	2016	100	Q916
Antigua and Barbuda	2017	97.5	Q781
Argentina	2017	100	Q414
Armenia	2017	100	Q399
Australia	2017	97.2	Q408
Austria	2017	100	Q40
Bahrain	2017	72.2	Q398
Bangladesh	2016	17.2	Q902
Barbados	2013	97.5	Q244
Belgium	2017	100	Q31
Belize	2017	96.6	Q242
Benin	2017	39.8	Q962
Bolivia	2017	100	Q750
Botswana	2017	94.4	Q963
Brazil	2017	100	Q155
Brunei Darussalam	2017	95.5	Q921
Bulgaria	2017	100	Q219
Burkina Faso	2017	39.8	Q965
Burundi	2016	22.9	Q967
Cabo Verde	2015	100	Q1011
Cambodia	2016	100	Q424
Cameroon	2014	14.4	Q1009
Canada	2017	99.7	Q16
Central African Republic	2017	61.5	Q929
Chad	2016	13.6	Q657
Chile	2017	100	Q298
China	2017	100	Q148
Hong Kong SAR, China	2017	49.8	Q8646
Macao SAR, China	2017	28.1	Q14773
Colombia	2017	100	Q739
Congo, Dem. Rep.	2014	100	Q974
Congo, Rep.	2015	17.2	Q971
Costa Rica	2016	100	Q800
Cote d'Ivoire	2017	34.2	Q1008
Croatia	2017	100	Q224
Cuba	2017	32.4	Q241
Czech Republic	2017	100	Q213
Denmark	2017	100	Q35
Djibouti	2014	100	Q977
Dominica	2017	94.3	Q784
Dominican Republic	2017	100	Q786
Ecuador	2017	94.4	Q736
Egypt, Arab Rep.	2017	99.4	Q79
El Salvador	2017	100	Q792
Estonia	2017	100	Q191
Fiji	2017	51.5	Q712
Finland	2017	100	Q33
France	2017	100	Q142
Gabon	2016	96.9	Q1000
Gambia, The	2013	13.9	Q1005
Georgia	2016	100	Q230
Germany	2017	100	Q183
Ghana	2017	15.4	Q117
Greece	2017	100	Q41
Grenada	2016	100	Q769
Guatemala	2015	100	Q774
Guinea	2017	39.4	Q1006
Guinea-Bissau	2017	97.7	Q1007
Guyana	2017	100	Q734
Haiti	2016	88.1	Q790
Honduras	2015	100	Q783
Hungary	2017	100	Q28
Iceland	2017	95.3	Q189
India	2017	74.4	Q668
Indonesia	2017	96.5	Q252
Ireland	2017	100	Q27
Israel	2017	75.8	Q801
Italy	2017	100	Q38
Jamaica	2016	100	Q766
Japan	2017	99.7	Q17
Jordan	2017	100	Q810
Kazakhstan	2017	100	Q232
Kenya	2016	16.5	Q114
Korea, Rep.	2017	94.5	Q884
Kuwait	2017	99.9	Q817
Kyrgyz Republic	2017	99.9	Q813
Lao PDR	2017	100	Q819
Latvia	2017	100	Q211
Lesotho	2017	100	Q1013
Liechtenstein	2017	0	Q347
Lithuania	2017	100	Q37
Luxembourg	2017	100	Q32
North Macedonia	2017	100	Q221
Madagascar	2017	30.7	Q1019
Malawi	2016	34	Q1020
Malaysia	2016	83.6	Q833
Maldives	2017	95.1	Q826
Mali	2017	40.6	Q912
Malta	2017	100	Q233
Mauritania	2015	40.6	Q1025
Mauritius	2017	21.4	Q1027
Mexico	2017	100	Q96
Moldova	2016	100	Q217
Mongolia	2017	100	Q711
Montenegro	2017	0	Q236
Morocco	2017	100	Q1028
Mozambique	2016	13.8	Q1029
Myanmar	2015	18.8	Q836
Namibia	2017	94.4	Q1030
Nepal	2016	99.4	Q837
Netherlands	2017	100	Q55
New Zealand	2017	100	Q664
Nicaragua	2017	100	Q811
Niger	2017	96.8	Q1032
Nigeria	2016	20.1	Q1033
Norway	2017	100	Q20
Oman	2017	100	Q842
Pakistan	2016	98.7	Q843
Panama	2015	93.9	Q804
Papua New Guinea	2013	100	Q691
Paraguay	2017	100	Q733
Peru	2017	100	Q419
Philippines	2017	61.9	Q928
Poland	2017	100	Q36
Portugal	2017	100	Q45
Qatar	2017	100	Q846
Romania	2017	100	Q218
Russian Federation	2017	100	Q159
Rwanda	2016	100	Q1037
Samoa	2017	100	Q683
Saudi Arabia	2017	100	Q851
Senegal	2017	100	Q1041
Seychelles	2017	100	Q1042
Sierra Leone	2012	100	Q1044
Singapore	2017	72.2	Q334
Slovak Republic	2017	100	Q214
Slovenia	2017	100	Q215
Solomon Islands	2017	100	Q685
South Africa	2017	94.4	Q258
Spain	2017	100	Q29
Sri Lanka	2017	40.5	Q854
St. Kitts and Nevis	2017	97.5	Q763
St. Lucia	2016	99.8	Q760
St. Vincent and the Grenadines	2017	99.7	Q757
Suriname	2013	27.5	Q730
Eswatini	2017	90.9	Q1050
Sweden	2017	100	Q34
Switzerland	2017	99.7	Q39
Tajikistan	2017	100	Q863
Tanzania	2016	14.5	Q924
Thailand	2015	76.5	Q869
Togo	2017	15.2	Q945
Tonga	2017	100	Q678
Trinidad and Tobago	2013	100	Q754
Tunisia	2016	58.3	Q948
Turkey	2017	51.8	Q43
Uganda	2016	17	Q1036
Ukraine	2017	100	Q212
United Arab Emirates	2017	100	Q878
United Kingdom	2017	100	Q145
United States	2017	100	Q30
Uruguay	2017	100	Q77
Vanuatu	2017	100	Q686
Venezuela, RB	2017	100	Q717
Vietnam	2017	93.8	Q881
Yemen, Rep.	2017	100	Q805
Zambia	2016	17.8	Q953
Zimbabwe	2016	24.4	Q954
